fold,heldout_subjects,positive_rate,auc,ap,feature_family
0,"id03,id04",0.5365079365079365,0.4735551592769718,0.5144939889170659,listener_only_direction
1,"id08,id10",0.5024077046548957,0.4761517056580439,0.492269191124057,listener_only_direction
2,"id01,id07",0.4365079365079365,0.5138284250960308,0.4323539201539201,listener_only_direction
3,"id05,id06",0.5248447204968945,0.5382488301040337,0.5356676559226726,listener_only_direction
4,"id02,id09",0.4895666131621188,0.47155376842973507,0.46085361681972475,listener_only_direction
0,"id03,id04",0.5365079365079365,0.5034145254113642,0.5446528652580722,human_context_direction
1,"id08,id10",0.5024077046548957,0.5145779655776563,0.5201008709106426,human_context_direction
2,"id01,id07",0.4365079365079365,0.5112163892445583,0.456000521718321,human_context_direction
3,"id05,id06",0.5248447204968945,0.5480334145492517,0.5726607441606519,human_context_direction
4,"id02,id09",0.4895666131621188,0.4752500257758532,0.4754255707099845,human_context_direction
0,"id03,id04",0.5365079365079365,0.5263891140471751,0.5513112353601134,masked_pretext_direction
1,"id08,id10",0.5024077046548957,0.5310110275172627,0.528344168131401,masked_pretext_direction
2,"id01,id07",0.4365079365079365,0.5330038412291933,0.45378311953431827,masked_pretext_direction
3,"id05,id06",0.5248447204968945,0.5165864176045172,0.5343792365267686,masked_pretext_direction
4,"id02,id09",0.4895666131621188,0.5081709454582947,0.5054146426730592,masked_pretext_direction
0,"id03,id04",0.5365079365079365,0.5161658020588473,0.5406022541415577,responsibility_weighted_pretext_direction
1,"id08,id10",0.5024077046548957,0.5288364423374214,0.5280984794649908,responsibility_weighted_pretext_direction
2,"id01,id07",0.4365079365079365,0.5166862996158771,0.441293965430711,responsibility_weighted_pretext_direction
3,"id05,id06",0.5248447204968945,0.5116844568202035,0.5378644443005534,responsibility_weighted_pretext_direction
4,"id02,id09",0.4895666131621188,0.5076708939065884,0.49844213427154926,responsibility_weighted_pretext_direction
0,"id03,id04",0.5365079365079365,0.5183138121099132,0.5548787807605331,human_plus_masked_pretext_direction
1,"id08,id10",0.5024077046548957,0.5405956920540038,0.5284385030406181,human_plus_masked_pretext_direction
2,"id01,id07",0.4365079365079365,0.5134596670934699,0.441923401595341,human_plus_masked_pretext_direction
3,"id05,id06",0.5248447204968945,0.548265460030166,0.5886022569934722,human_plus_masked_pretext_direction
4,"id02,id09",0.4895666131621188,0.4597587380142283,0.46290282001044875,human_plus_masked_pretext_direction
0,"id03,id04",0.5365079365079365,0.6311400664667262,0.6501951936544128,action_geometry_reference
1,"id08,id10",0.5024077046548957,0.531335669380604,0.5381346470840956,action_geometry_reference
2,"id01,id07",0.4365079365079365,0.609280409731114,0.5251068466151134,action_geometry_reference
3,"id05,id06",0.5248447204968945,0.5608539273697646,0.5932131804301287,action_geometry_reference
4,"id02,id09",0.4895666131621188,0.6634292195071656,0.6342090053804987,action_geometry_reference
