module,task,target,components,context_feature_count,target_feature_count,component_corr,null_component_corr,component_corr_lift_vs_null,r2,null_r2,r2_lift_vs_null,valid_rows,context
routine_break,masked_context_to_routine_break_view,calendar_rhythm,4,94,28,0.1105843361538979,0.02991021966682171,0.08067411648707619,-0.09144720562717781,-0.13142956498442934,0.03998235935725153,,NA
routine_break,masked_context_to_routine_break_view,phone_behavior,4,59,203,0.37383205737484815,0.02664321384248182,0.34718884353236634,0.16102983086313194,-0.06276595203850865,0.2237957829016406,,NA
routine_break,masked_context_to_routine_break_view,body_activity_sleep,4,81,93,0.2196744626560191,0.015676903550789607,0.2039975591052295,0.06478745463947717,-0.12098355128754518,0.18577100592702234,,NA
routine_break,masked_context_to_routine_break_view,app_social_context,4,81,93,0.354501177809232,-0.016739696233005613,0.3712408740422376,0.1592321370834201,-0.12090453802480733,0.28013667510822743,,NA
routine_break,masked_context_to_routine_break_view,mobility_environment,4,81,93,0.40947830518391626,-0.01545512899159855,0.4249334341755148,0.1415923205295072,-0.12553496613613543,0.26712728666564267,,NA
routine_break,current_context_to_next_routine_break,next_episode_routine_break,8,99,510,0.23307775377367754,0.001824649521210553,0.23125310425246698,-0.0285090777021695,-0.1665031897752546,0.1379941120730851,690.0,NA
sleep_pressure,masked_context_to_sleep_pressure_family,night_disturbance,4,84,79,0.16085567362200995,-0.014263610886128328,0.17511928450813827,-0.061260249062024444,-0.10906361423716504,0.0478033651751406,,NA
sleep_pressure,masked_context_to_sleep_pressure_family,physiological_load,4,80,99,0.31366396259895113,0.002844808076156704,0.3108191545227944,0.10766100731844347,-0.1250806120961336,0.23274161941457708,,NA
sleep_pressure,masked_context_to_sleep_pressure_family,social_cognitive_arousal,4,68,159,0.5857394963488224,0.022691360302972165,0.5630481360458502,0.4114186289956297,-0.08771366142483511,0.4991322904204648,,NA
sleep_pressure,masked_context_to_sleep_pressure_family,rest_environment_stability,4,57,214,0.4449586316758143,-0.0186891161750634,0.4636477478508777,0.26980379869151744,-0.09689260454137834,0.36669640323289576,,NA
sleep_pressure,masked_context_to_sleep_pressure_family,calendar_routine_pressure,4,94,29,0.11726242510852233,0.0265745685640388,0.09068785654448352,-0.09056532754255738,-0.14143377240683552,0.05086844486427815,,NA
sleep_pressure,current_context_to_next_sleep_pressure,next_sleep_pressure_state,8,99,580,0.21589373376331966,0.011107806951461952,0.2047859268118577,-0.06598541864165633,-0.16192729381486484,0.09594187517320851,690.0,NA
cohort_relative,visible_context_to_cohort_relative_state,personal_vs_peer_state,8,99,98,0.5984833023388514,-0.07400553670508016,0.6724888390439315,0.32788474308792936,-0.24414481686175785,0.5720295599496872,,all_visible_context
cohort_relative,visible_context_to_cohort_relative_state,personal_vs_peer_state,8,94,98,0.5739068107489338,-0.08650008131453368,0.6604068920634675,0.2946082583255358,-0.24217140838337753,0.5367796667089133,,masked_without_calendar_rhythm
cohort_relative,visible_context_to_cohort_relative_state,personal_vs_peer_state,8,59,98,0.4740524031404264,-0.08199519111190813,0.5560475942523345,0.1956252359120317,-0.16584011935521742,0.3614653552672491,,masked_without_phone_behavior
cohort_relative,visible_context_to_cohort_relative_state,personal_vs_peer_state,8,81,98,0.529759516394481,-0.08459466170757463,0.6143541781020556,0.25572459801198866,-0.21530497498617907,0.4710295729981677,,masked_without_body_activity_sleep
cohort_relative,visible_context_to_cohort_relative_state,personal_vs_peer_state,8,81,98,0.5640177075033977,-0.09428570142277345,0.6583034089261712,0.30732239948458834,-0.21487057200862295,0.5221929714932113,,masked_without_app_social_context
cohort_relative,visible_context_to_cohort_relative_state,personal_vs_peer_state,8,81,98,0.552842951443034,-0.08318966884912343,0.6360326202921573,0.27634139119309153,-0.21148976710057324,0.48783115829366475,,masked_without_mobility_environment
cohort_relative,current_context_to_next_cohort_relative_state,next_personal_vs_peer_state,8,99,98,0.11148445214162417,-0.08249342632127403,0.1939778784628982,-0.12852734173095015,-0.2519105263152277,0.12338318458427755,690.0,all_visible_context
