split,feature_set,target,logloss,auc,uses_public_score,uses_train_labels,core_representation_frozen,evaluated_rows,probe_calibration_shrink
subject_heldout,multi_target_predicted_energy,S1,0.6827033748311293,0.4673925423111091,False,True,True,450,
subject_heldout,multi_target_predicted_energy,S2,0.7254330393063753,0.4076215734440556,False,True,True,450,
subject_heldout,multi_target_predicted_energy,S3,0.7346998095396943,0.44083362769339457,False,True,True,450,
subject_heldout,multi_target_predicted_energy,S4,0.7463365436006383,0.46610950777617455,False,True,True,450,
subject_heldout,multi_target_predicted_energy,all,0.7218924482312031,0.48374148067749256,False,True,True,450,
subject_heldout,multi_target_predicted_latent,Q1,0.7464661924935475,0.4678295569032615,False,True,True,450,
subject_heldout,multi_target_predicted_latent,Q2,0.7190899126464532,0.5309283521598684,False,True,True,450,
subject_heldout,multi_target_predicted_latent,Q3,0.7091998766619353,0.5377572016460905,False,True,True,450,
subject_heldout,multi_target_predicted_latent,S1,0.6757277702618565,0.4048427142889684,False,True,True,450,
subject_heldout,multi_target_predicted_latent,S2,0.6933686737012673,0.461750831503663,False,True,True,450,
subject_heldout,multi_target_predicted_latent,S3,0.6735382719097421,0.510552808194984,False,True,True,450,
subject_heldout,multi_target_predicted_latent,S4,0.7335323463907156,0.47406605739939073,False,True,True,450,
subject_heldout,multi_target_predicted_latent,all,0.7072747205807881,0.48396107458517523,False,True,True,450,
subject_heldout,multi_target_core_latent,Q1,0.7423881954077312,0.4741510440331088,False,True,True,450,
subject_heldout,multi_target_core_latent,Q2,0.7156330919915351,0.5335968379446641,False,True,True,450,
subject_heldout,multi_target_core_latent,Q3,0.7141173606680432,0.504074074074074,False,True,True,450,
subject_heldout,multi_target_core_latent,S1,0.7000946907625876,0.3964146602583085,False,True,True,450,
subject_heldout,multi_target_core_latent,S2,0.7220133525190623,0.4039042629508054,False,True,True,450,
subject_heldout,multi_target_core_latent,S3,0.7111854718599697,0.47999823383963264,False,True,True,450,
subject_heldout,multi_target_core_latent,S4,0.7263278839252572,0.4747474747474748,False,True,True,450,
subject_heldout,multi_target_core_latent,all,0.7188228638763122,0.4666980839782955,False,True,True,450,
subject_heldout,multi_target_safe_core,Q1,0.7451619482748827,0.4931155054226507,False,True,True,450,
subject_heldout,multi_target_safe_core,Q2,0.7500400304926697,0.48526313677494437,False,True,True,450,
