candidate_id,file,resolved_path,family,alpha,mode,changed_cells_vs_h042,changed_rows_vs_h042,q2_changed_vs_h042,q13_changed_vs_h042,s_changed_vs_h042,h050_overlap_cells,h056_overlap_cells,pred_delta_vs_h042,pred_delta_vs_h050,pred_delta_vs_h056,mean_gain_selected,mean_aux_selected,mean_row_strength_selected,Q1_changed_vs_h042,Q2_changed_vs_h042,Q3_changed_vs_h042,S1_changed_vs_h042,S2_changed_vs_h042,S3_changed_vs_h042,S4_changed_vs_h042,h057_score
h057_full_nonq2_a1p15_logit_7cde1a77,submission_h057_full_nonq2_a1p15_logit_7cde1a77.csv,/Users/kbsoo/Downloads/cl2/hitl/h057_q2row_fullvector_state_jepa/submission_h057_full_nonq2_a1p15_logit_7cde1a77.csv,full_nonq2,1.15,logit,270,45,0,90,180,23,180,-0.000194128669744132,-0.00013144527598427992,-5.833235760827155e-05,0.0012582413779712257,0.5443573544973545,0.912,45,0,45,45,45,45,45,0.7712500000000001
h057_full_nonq2_a0p85_logit_81c240d4,submission_h057_full_nonq2_a0p85_logit_81c240d4.csv,/Users/kbsoo/Downloads/cl2/hitl/h057_q2row_fullvector_state_jepa/submission_h057_full_nonq2_a0p85_logit_81c240d4.csv,full_nonq2,0.85,logit,270,45,0,90,180,23,180,-0.00019015549228731046,-0.00012747209852745838,-5.435918015145003e-05,0.0012324893018621974,0.5443573544973545,0.912,45,0,45,45,45,45,45,0.7387500000000001
h057_full_nonq2_a1p45_logit_7781cc7d,submission_h057_full_nonq2_a1p45_logit_7781cc7d.csv,/Users/kbsoo/Downloads/cl2/hitl/h057_q2row_fullvector_state_jepa/submission_h057_full_nonq2_a1p45_logit_7781cc7d.csv,full_nonq2,1.45,logit,270,45,0,90,180,23,180,-0.00016859721285725438,-0.00010591381909740232,-3.280090072139397e-05,0.001092759712963686,0.5443573544973545,0.912,45,0,45,45,45,45,45,0.6412500000000001
h057_full_nonq2_a0p55_logit_2b37bd98,submission_h057_full_nonq2_a0p55_logit_2b37bd98.csv,/Users/kbsoo/Downloads/cl2/hitl/h057_q2row_fullvector_state_jepa/submission_h057_full_nonq2_a0p55_logit_2b37bd98.csv,full_nonq2,0.55,logit,270,45,0,90,180,23,180,-0.00015492314629753792,-9.223975253768583e-05,-1.9126834161677482e-05,0.0010041315037803383,0.5443573544973545,0.912,45,0,45,45,45,45,45,0.6087500000000001
h057_q1_s_all_a1p15_logit_fe3d6207,submission_h057_q1_s_all_a1p15_logit_fe3d6207.csv,/Users/kbsoo/Downloads/cl2/hitl/h057_q2row_fullvector_state_jepa/submission_h057_q1_s_all_a1p15_logit_fe3d6207.csv,q1_s_all,1.15,logit,225,45,0,45,180,17,180,-0.00017666159205728478,-0.00011397819829743274,-4.086527992142438e-05,0.0013740346048899926,0.5736133333333334,0.912,45,0,0,45,45,45,45,0.54125
h057_q1_s_all_a0p85_logit_ff4909a3,submission_h057_q1_s_all_a0p85_logit_ff4909a3.csv,/Users/kbsoo/Downloads/cl2/hitl/h057_q2row_fullvector_state_jepa/submission_h057_q1_s_all_a0p85_logit_ff4909a3.csv,q1_s_all,0.85,logit,225,45,0,45,180,17,180,-0.00017268966447052582,-0.00011000627071067376,-3.689335233466539e-05,0.0013431418347707562,0.5736133333333334,0.912,45,0,0,45,45,45,45,0.50875
h057_q1_s_all_a1p45_logit_a6da2390,submission_h057_q1_s_all_a1p45_logit_a6da2390.csv,/Users/kbsoo/Downloads/cl2/hitl/h057_q2row_fullvector_state_jepa/submission_h057_q1_s_all_a1p45_logit_a6da2390.csv,q1_s_all,1.45,logit,225,45,0,45,180,17,180,-0.00015429705134943454,-9.16136575895825e-05,-1.8500739213574147e-05,0.0012000881771622688,0.5736133333333334,0.912,45,0,0,45,45,45,45,0.41125000000000006
h057_q3_s_all_a1p15_logit_9ed60a63,submission_h057_q3_s_all_a1p15_logit_9ed60a63.csv,/Users/kbsoo/Downloads/cl2/hitl/h057_q2row_fullvector_state_jepa/submission_h057_q3_s_all_a1p15_logit_9ed60a63.csv,q3_s_all,1.15,logit,225,45,0,45,180,6,180,-0.00015382402245554867,-9.114062869569662e-05,-1.8027710319688267e-05,0.0011964090635431565,0.547720253968254,0.912,0,0,45,45,45,45,45,0.37875
h057_q3_s_all_a0p85_logit_f7ec5e8b,submission_h057_q3_s_all_a0p85_logit_f7ec5e8b.csv,/Users/kbsoo/Downloads/cl2/hitl/h057_q2row_fullvector_state_jepa/submission_h057_q3_s_all_a0p85_logit_f7ec5e8b.csv,q3_s_all,0.85,logit,225,45,0,45,180,6,180,-0.00015087594941047355,-8.819255565062147e-05,-1.5079637274613111e-05,0.0011734796065259053,0.547720253968254,0.912,0,0,45,45,45,45,45,0.34625
h057_q1_s_all_a0p55_logit_46f690bf,submission_h057_q1_s_all_a0p55_logit_46f690bf.csv,/Users/kbsoo/Downloads/cl2/hitl/h057_q2row_fullvector_state_jepa/submission_h057_q1_s_all_a0p55_logit_46f690bf.csv,q1_s_all,0.55,logit,225,45,0,45,180,17,180,-0.00014065672532373165,-7.797333156387959e-05,-4.8604131878712375e-06,0.0010939967525179129,0.5736133333333334,0.912,45,0,0,45,45,45,45,0.31375000000000003
h057_q3_s_all_a1p45_logit_94d96b9b,submission_h057_q3_s_all_a1p45_logit_94d96b9b.csv,/Users/kbsoo/Downloads/cl2/hitl/h057_q2row_fullvector_state_jepa/submission_h057_q3_s_all_a1p45_logit_94d96b9b.csv,q3_s_all,1.45,logit,225,45,0,45,180,6,180,-0.00013335569435975607,-7.067230059990402e-05,2.440617776104326e-06,0.0010372109561314362,0.547720253968254,0.912,0,0,45,45,45,45,45,0.21625
h057_q3_s_all_a0p55_logit_a0ae834e,submission_h057_q3_s_all_a0p55_logit_a0ae834e.csv,/Users/kbsoo/Downloads/cl2/hitl/h057_q2row_fullvector_state_jepa/submission_h057_q3_s_all_a0p55_logit_a0ae834e.csv,q3_s_all,0.55,logit,225,45,0,45,180,6,180,-0.0001230578863459736,-6.037449258612153e-05,1.2738425789886819e-05,0.0009571168938020169,0.547720253968254,0.912,0,0,45,45,45,45,45,0.18375000000000008
h057_s_all_a1p15_logit_04a56dcb,submission_h057_s_all_a1p15_logit_04a56dcb.csv,/Users/kbsoo/Downloads/cl2/hitl/h057_q2row_fullvector_state_jepa/submission_h057_s_all_a1p15_logit_04a56dcb.csv,s_all,1.15,logit,180,45,0,0,180,0,180,-0.0001363569447687015,-7.367355100884944e-05,-5.606326328410937e-07,0.001325692518584598,0.5851309523809524,0.912,0,0,0,45,45,45,45,0.11624999999999995
h057_s_all_a0p85_logit_f0b906f2,submission_h057_s_all_a0p85_logit_f0b906f2.csv,/Users/kbsoo/Downloads/cl2/hitl/h057_q2row_fullvector_state_jepa/submission_h057_s_all_a0p85_logit_f0b906f2.csv,s_all,0.85,logit,180,45,0,0,180,0,180,-0.0001334101215936889,-7.072672783383682e-05,2.3861905421715347e-06,0.0012970428488275308,0.5851309523809524,0.912,0,0,0,45,45,45,45,0.08374999999999998
h057_s_all_a1p45_logit_8159ef09,submission_h057_s_all_a1p45_logit_8159ef09.csv,/Users/kbsoo/Downloads/cl2/hitl/h057_q2row_fullvector_state_jepa/submission_h057_s_all_a1p45_logit_8159ef09.csv,s_all,1.45,logit,180,45,0,0,180,0,180,-0.00011905553285193624,-5.637213909208419e-05,1.6740779283924153e-05,0.0011574843471716023,0.5851309523809524,0.912,0,0,0,45,45,45,45,-0.013750000000000054
h057_full_nonq2_a0p55_edge_66936c56,submission_h057_full_nonq2_a0p55_edge_66936c56.csv,/Users/kbsoo/Downloads/cl2/hitl/h057_q2row_fullvector_state_jepa/submission_h057_full_nonq2_a0p55_edge_66936c56.csv,full_nonq2,0.55,edge,270,45,0,90,180,23,180,0.005502471711697928,0.005565155105457781,0.005638268023833788,-0.03566416850174582,0.5443573544973545,0.912,45,0,45,45,45,45,45,-0.04125000000000002
h057_s_all_a0p55_logit_03de77b5,submission_h057_s_all_a0p55_logit_03de77b5.csv,/Users/kbsoo/Downloads/cl2/hitl/h057_q2row_fullvector_state_jepa/submission_h057_s_all_a0p55_logit_03de77b5.csv,s_all,0.55,logit,180,45,0,0,180,0,180,-0.00010879146537216734,-4.6108071612315293e-05,2.7004846763693066e-05,0.001057694802229405,0.5851309523809524,0.912,0,0,0,45,45,45,45,-0.04625000000000003
h057_q1_s_all_a0p55_edge_be7fb90a,submission_h057_q1_s_all_a0p55_edge_be7fb90a.csv,/Users/kbsoo/Downloads/cl2/hitl/h057_q2row_fullvector_state_jepa/submission_h057_q1_s_all_a0p55_edge_be7fb90a.csv,q1_s_all,0.55,edge,225,45,0,45,180,17,180,0.004395220698475023,0.0044579040922348755,0.004531017010610884,-0.03418504987702796,0.5736133333333334,0.912,45,0,0,45,45,45,45,-0.10874999999999992
h057_q3_s_all_a0p55_edge_333e4469,submission_h057_q3_s_all_a0p55_edge_333e4469.csv,/Users/kbsoo/Downloads/cl2/hitl/h057_q2row_fullvector_state_jepa/submission_h057_q3_s_all_a0p55_edge_333e4469.csv,q3_s_all,0.55,edge,225,45,0,45,180,6,180,0.004637837155055753,0.0047005205488156055,0.004773633467191614,-0.036072066761544744,0.547720253968254,0.912,0,0,45,45,45,45,45,-0.17375000000000002
h057_full_nonq2_a0p85_edge_e0ccf178,submission_h057_full_nonq2_a0p85_edge_e0ccf178.csv,/Users/kbsoo/Downloads/cl2/hitl/h057_q2row_fullvector_state_jepa/submission_h057_full_nonq2_a0p85_edge_e0ccf178.csv,full_nonq2,0.85,edge,270,45,0,90,180,23,180,0.012728939645273064,0.012791623039032913,0.012864735957408925,-0.08250238658973283,0.5443573544973545,0.912,45,0,45,45,45,45,45,-0.23625000000000002
h057_s_all_a0p55_edge_6a20797f,submission_h057_s_all_a0p55_edge_6a20797f.csv,/Users/kbsoo/Downloads/cl2/hitl/h057_q2row_fullvector_state_jepa/submission_h057_s_all_a0p55_edge_6a20797f.csv,s_all,0.55,edge,180,45,0,0,180,0,180,0.003530586141832849,0.003593269535592701,0.0036663824539687096,-0.034325143045597147,0.5851309523809524,0.912,0,0,0,45,45,45,45,-0.24125000000000013
