target,mode,median_score,cells,gain_sum,mean_gain,positive_gain_rate
Q2,all,0.6950000000000001,12,1.976823748523643,0.16473531237697026,0.75
Q2,high_surprise_listener,0.6950000000000001,6,1.3023966496669535,0.21706610827782558,0.8333333333333334
Q2,low_surprise_listener,0.6950000000000001,6,0.6744270988566894,0.1124045164761149,0.6666666666666666
Q3,all,0.397,9,1.168314109578631,0.1298126788420701,0.6666666666666666
Q3,high_surprise_listener,0.397,5,0.835428420604132,0.16708568412082642,0.8
Q3,low_surprise_listener,0.397,4,0.33288568897449894,0.08322142224362473,0.5
S2,all,0.3163333333333333,5,1.3614369514910036,0.2722873902982007,1.0
S2,high_surprise_listener,0.3163333333333333,3,0.8668073812941458,0.2889357937647153,1.0
S2,low_surprise_listener,0.3163333333333333,2,0.49462957019685777,0.24731478509842889,1.0
S3,all,0.604888888888889,13,0.9454718451027289,0.07272860346944068,0.6153846153846154
S3,high_surprise_listener,0.604888888888889,7,0.48554791464773245,0.06936398780681892,0.7142857142857143
S3,low_surprise_listener,0.604888888888889,6,0.45992393045499663,0.07665398840916611,0.5
S4,all,0.7367777777777778,5,-0.42500287012896504,-0.085000574025793,0.4
S4,high_surprise_listener,0.7367777777777778,3,-0.5246201335596805,-0.17487337785322685,0.3333333333333333
S4,low_surprise_listener,0.7367777777777778,2,0.09961726343071547,0.04980863171535774,0.5
