seed,train_days,val_days,final_train_loss,final_val_loss,best_val_loss,positive_mode,normalization,view,device,channels_selected,channel_groups_selected,embedding_dim,embedding_norm_mean,embedding_axis_std_mean,embedding_axis_std_min,embedding_effective_rank,subject_centroid_leakage,adjacent_cosine_mean,random_cosine_mean,temporal_locality_gap,train_sample_mean_l2,train_sample_std_l2
2026,574,126,7.210291624069214,8.165170669555664,8.165170669555664,adjacent_day,subject_channel_token,event+cross_modal,mps,13,"['cross_modal', 'event']",24,4.908829689025879,0.21715445816516876,0.09734328836202621,4.864883716520798,0.25857142857142856,0.9608803377635237,0.9455177389193272,0.01536259884419644,0.055978626012802124,0.05177914351224899
2026,574,126,7.447633504867554,8.992828369140625,8.610535621643066,adjacent_day,subject_channel_token,only_event,mps,11,['event'],24,4.891712665557861,0.27872779965400696,0.12903502583503723,3.7304097057734067,0.20714285714285716,0.9280702089053997,0.9118763320687888,0.016193876836610888,0.053302112966775894,0.07714127004146576
2026,574,126,7.47053587436676,9.148273468017578,8.762659072875977,adjacent_day,subject_channel_token,no_missingness,mps,89,"['ambience', 'body', 'cross_modal', 'event', 'gps_radio', 'light', 'phone']",24,4.8933000564575195,0.11640486866235733,0.03596622496843338,3.989593253890806,0.31,0.9892456832139388,0.9830240462137305,0.00622163700020828,0.08467712998390198,0.05935485288500786
2026,574,126,7.049007534980774,8.93847370147705,8.928013801574707,adjacent_day,subject_channel_token,event+missingness,mps,32,"['event', 'missingness']",24,4.903975009918213,0.215007483959198,0.07251252233982086,2.708769336626484,0.24571428571428572,0.9629889667034149,0.9386912863323654,0.024297680371049513,0.1062350943684578,0.2421492636203766
2026,574,126,7.238375782966614,8.935100555419922,8.935100555419922,adjacent_day,subject_channel_token,no_gps_radio,mps,92,"['ambience', 'body', 'cross_modal', 'event', 'light', 'missingness', 'phone']",24,4.893166542053223,0.1756543666124344,0.0777328610420227,4.539477417657489,0.24857142857142858,0.9726447939872742,0.9631134033203125,0.009531390666961737,0.13360151648521423,0.10423684865236282
2027,574,126,7.171955943107605,9.309873580932617,8.94888687133789,adjacent_day,subject_channel_token,event+cross_modal,mps,13,"['cross_modal', 'event']",24,4.906542778015137,0.23013222217559814,0.070113904774189,3.0453816858096427,0.23285714285714285,0.9489806684894838,0.9301107739192852,0.01886989457019861,0.06517373025417328,0.05064281448721886
2026,574,126,7.474809408187866,8.94993782043457,8.94993782043457,adjacent_day,subject_channel_token,no_phone,mps,97,"['ambience', 'body', 'cross_modal', 'event', 'gps_radio', 'light', 'missingness']",24,4.883122444152832,0.17058861255645752,0.07040669769048691,2.7398014549713214,0.22285714285714286,0.9760614926400392,0.9617756183596625,0.014285874280376643,0.09590740501880646,0.06759914755821228
2027,574,126,7.43680202960968,9.101512908935547,9.097091674804688,adjacent_day,subject_channel_token,only_event,mps,11,['event'],24,4.894592761993408,0.16500404477119446,0.09199053049087524,4.892411575296684,0.21285714285714286,0.9750473510527956,0.9678468604018723,0.007200490650923319,0.03967383876442909,0.047630466520786285
2026,574,126,7.7037034034729,9.209277153015137,9.107542037963867,adjacent_day,subject_channel_token,event_cross_missing,mps,34,"['cross_modal', 'event', 'missingness']",24,4.906930923461914,0.14412029087543488,0.04914717748761177,2.5300051667924928,0.19,0.9810704972433008,0.9729763796364052,0.008094117606895601,0.04506426677107811,0.10057369619607925
2027,574,126,7.501520037651062,9.390748977661133,9.352222442626953,adjacent_day,subject_channel_token,no_missingness,mps,89,"['ambience', 'body', 'cross_modal', 'event', 'gps_radio', 'light', 'phone']",24,4.889187812805176,0.17348062992095947,0.06563205271959305,3.578194116153312,0.2642857142857143,0.9771187196607175,0.9659245333809784,0.011194186279739116,0.09023543447256088,0.10838674008846283
2027,574,126,7.385365605354309,9.469278335571289,9.388177871704102,adjacent_day,subject_channel_token,no_gps_radio,mps,92,"['ambience', 'body', 'cross_modal', 'event', 'light', 'missingness', 'phone']",24,4.890254974365234,0.08889202028512955,0.032555367797613144,3.9734471699453113,0.26857142857142857,0.9933646060418392,0.9905451943045077,0.0028194117373314675,0.049215659499168396,0.04921700060367584
2027,574,126,7.574257850646973,9.533868789672852,9.508199691772461,adjacent_day,subject_channel_token,no_phone,mps,97,"['ambience', 'body', 'cross_modal', 'event', 'gps_radio', 'light', 'missingness']",24,4.913341522216797,0.14699997007846832,0.04259181395173073,3.1306886443986213,0.20857142857142857,0.9802198445451432,0.970768655123918,0.009451189421225248,0.1306227594614029,0.09689927101135254
2027,574,126,7.493673324584961,9.721123695373535,9.721123695373535,adjacent_day,subject_channel_token,event+missingness,mps,32,"['event', 'missingness']",24,4.899374485015869,0.28634950518608093,0.14819645881652832,2.2106755007341254,0.14,0.9301817591855491,0.9048643208500268,0.025317438335522358,0.12449684739112854,0.13323408365249634
2027,574,126,7.346719026565552,10.082498550415039,10.082498550415039,adjacent_day,subject_channel_token,event_cross_missing,mps,34,"['cross_modal', 'event', 'missingness']",24,4.907672882080078,0.12097448110580444,0.03604309633374214,2.81083903687498,0.19428571428571428,0.9867934832538383,0.9818730347398399,0.004920448513998421,0.08985863626003265,0.11541744321584702
