reference,top_fraction,k,reference_rows,overlap_rows,recall,random_recall_expectation,recall_lift_vs_random,precision,random_precision_expectation,precision_lift_vs_random,mean_selected_surprise_rank
row_state_vector_frontier,0.1,25,45,4,0.08888888888888889,0.1,-0.011111111111111113,0.16,0.18,-0.01999999999999999,0.9519999999999998
row_state_vector_frontier,0.15,38,45,5,0.1111111111111111,0.15,-0.03888888888888889,0.13157894736842105,0.18,-0.04842105263157895,0.9259999999999998
row_state_vector_frontier,0.2,50,45,7,0.15555555555555556,0.2,-0.04444444444444445,0.14,0.18,-0.03999999999999998,0.902
row_state_vector_frontier,0.25,62,45,11,0.24444444444444444,0.25,-0.005555555555555564,0.1774193548387097,0.18,-0.002580645161290307,0.878
row_state_vector_frontier,0.3,75,45,16,0.35555555555555557,0.3,0.05555555555555558,0.21333333333333335,0.18,0.033333333333333354,0.8520000000000001
frontier_active_silence,0.1,25,45,4,0.08888888888888889,0.1,-0.011111111111111113,0.16,0.18,-0.01999999999999999,0.9519999999999998
frontier_active_silence,0.15,38,45,5,0.1111111111111111,0.15,-0.03888888888888889,0.13157894736842105,0.18,-0.04842105263157895,0.9259999999999998
frontier_active_silence,0.2,50,45,7,0.15555555555555556,0.2,-0.04444444444444445,0.14,0.18,-0.03999999999999998,0.902
frontier_active_silence,0.25,62,45,11,0.24444444444444444,0.25,-0.005555555555555564,0.1774193548387097,0.18,-0.002580645161290307,0.878
frontier_active_silence,0.3,75,45,16,0.35555555555555557,0.3,0.05555555555555558,0.21333333333333335,0.18,0.033333333333333354,0.8520000000000001
