candidate_id,family,k_rows,alpha,mode,target_rule,max_per_subject,max_abs_seed_distance,selected_rows,selected_row_count,changed_cells_vs_h057,changed_rows_vs_h057,q2_changed_vs_h057,posterior_delta_vs_h057,mean_h065_row_score,mean_h064_row_score,mean_phase_route_gain,pre_rows,post_rows,phase_balance,episode_near_rate,selected_subjects,h050_null_rows_selected,h062_overlap_rows,h063_overlap_rows,h064_overlap_rows,mean_targets_per_row,target_specificity,Q1_changed_vs_h057,Q2_changed_vs_h057,Q3_changed_vs_h057,S1_changed_vs_h057,S2_changed_vs_h057,S3_changed_vs_h057,S4_changed_vs_h057,file,resolved_path,posterior_rank,h065_rank,context_rank,overlap_strength,size_score,family_penalty,h065_score
h065_phase_h064_core_r24_phase_top3_a1p0_prob_01759975,phase_h064_core,24,1.0,prob,phase_top3,8,3,"138,205,236,99,195,147,132,71,214,140,133,53,244,145,54,162,75,222,2,62,142,154,124,159",24,72,24,0,-8.703151099903176e-05,0.9859633333333333,0.6626167021643766,0.008421464987156785,10,14,0.4166666666666667,1.0,10,0,14,21,24,3.0,0.75,0,0,10,0,24,14,24,submission_h065_phase_h064_core_r24_phase_top3_a1p0_prob_01759975.csv,/Users/kbsoo/Downloads/cl2/hitl/h065_state_transition_phase_jepa/submission_h065_phase_h064_core_r24_phase_top3_a1p0_prob_01759975.csv,0.10648148148148148,0.8356481481481481,0.8356481481481481,0.8194444444444445,0.5333333333333333,0.0,0.6154444444444445
h065_phase_graph_near_r39_phase_top4_a0p75_logit_9dbe8b8b,phase_graph_near,48,0.75,logit,phase_top4,8,3,"138,205,236,99,195,147,132,71,214,140,133,53,244,145,54,162,75,222,2,62,142,154,124,159,92,113,245,38,219,6,73,192,89,55,122,107,153,137,104",39,156,39,0,-0.00015259597553851873,0.8796943589743589,0.615467298756763,0.007458051255351973,14,25,0.358974358974359,1.0,10,0,17,28,25,4.0,1.0,25,0,14,0,39,39,39,submission_h065_phase_graph_near_r39_phase_top4_a0p75_logit_9dbe8b8b.csv,/Users/kbsoo/Downloads/cl2/hitl/h065_state_transition_phase_jepa/submission_h065_phase_graph_near_r39_phase_top4_a0p75_logit_9dbe8b8b.csv,0.7268518518518519,0.2800925925925926,0.2800925925925926,0.5982905982905983,0.7666666666666666,0.0,0.6137763532763533
h065_phase_near_union_r36_phase_weighted_a1p15_logit_648f3af8,phase_near_union,36,1.15,logit,phase_weighted,8,3,"138,205,236,99,195,147,132,71,214,140,133,53,244,145,54,162,75,222,2,62,142,154,124,159,92,113,245,38,219,6,192,55,122,107,239,5",36,216,36,0,-0.00018576890799696397,0.8971933333333332,0.6197340113556433,0.007684510032744263,14,22,0.3888888888888889,1.0,10,0,17,30,25,6.0,0.5,36,0,36,36,36,36,36,submission_h065_phase_near_union_r36_phase_weighted_a1p15_logit_648f3af8.csv,/Users/kbsoo/Downloads/cl2/hitl/h065_state_transition_phase_jepa/submission_h065_phase_near_union_r36_phase_weighted_a1p15_logit_648f3af8.csv,0.9050925925925926,0.3912037037037037,0.3912037037037037,0.6666666666666666,0.9333333333333333,0.0,0.6123055555555555
h065_phase_near_union_r36_phase_weighted_gainpos_a1p15_logit_648f3af8,phase_near_union,36,1.15,logit,phase_weighted_gainpos,8,3,"138,205,236,99,195,147,132,71,214,140,133,53,244,145,54,162,75,222,2,62,142,154,124,159,92,113,245,38,219,6,192,55,122,107,239,5",36,216,36,0,-0.00018576890799696397,0.8971933333333332,0.6197340113556433,0.007684510032744263,14,22,0.3888888888888889,1.0,10,0,17,30,25,6.0,0.5,36,0,36,36,36,36,36,submission_h065_phase_near_union_r36_phase_weighted_gainpos_a1p15_logit_648f3af8.csv,/Users/kbsoo/Downloads/cl2/hitl/h065_state_transition_phase_jepa/submission_h065_phase_near_union_r36_phase_weighted_gainpos_a1p15_logit_648f3af8.csv,0.9050925925925926,0.3912037037037037,0.3912037037037037,0.6666666666666666,0.9333333333333333,0.0,0.6123055555555555
h065_phase_h064_core_r24_phase_top3_a1p15_logit_82b002be,phase_h064_core,24,1.15,logit,phase_top3,8,3,"138,205,236,99,195,147,132,71,214,140,133,53,244,145,54,162,75,222,2,62,142,154,124,159",24,72,24,0,-8.528550216766351e-05,0.9859633333333333,0.6626167021643766,0.008421464987156785,10,14,0.4166666666666667,1.0,10,0,14,21,24,3.0,0.75,0,0,10,0,24,14,24,submission_h065_phase_h064_core_r24_phase_top3_a1p15_logit_82b002be.csv,/Users/kbsoo/Downloads/cl2/hitl/h065_state_transition_phase_jepa/submission_h065_phase_h064_core_r24_phase_top3_a1p15_logit_82b002be.csv,0.08333333333333333,0.8356481481481481,0.8356481481481481,0.8194444444444445,0.5333333333333333,0.0,0.6103518518518518
h065_phase_near_union_r24_phase_top3_a1p15_logit_82b002be,phase_near_union,24,1.15,logit,phase_top3,8,3,"138,205,236,99,195,147,132,71,214,140,133,53,244,145,54,162,75,222,2,62,142,154,124,159",24,72,24,0,-8.528550216766351e-05,0.9859633333333333,0.6626167021643766,0.008421464987156785,10,14,0.4166666666666667,1.0,10,0,14,21,24,3.0,0.75,0,0,10,0,24,14,24,submission_h065_phase_near_union_r24_phase_top3_a1p15_logit_82b002be.csv,/Users/kbsoo/Downloads/cl2/hitl/h065_state_transition_phase_jepa/submission_h065_phase_near_union_r24_phase_top3_a1p15_logit_82b002be.csv,0.08333333333333333,0.8356481481481481,0.8356481481481481,0.8194444444444445,0.5333333333333333,0.0,0.6103518518518518
h065_phase_graph_near_r24_phase_top3_a1p15_logit_82b002be,phase_graph_near,24,1.15,logit,phase_top3,8,3,"138,205,236,99,195,147,132,71,214,140,133,53,244,145,54,162,75,222,2,62,142,154,124,159",24,72,24,0,-8.528550216766351e-05,0.9859633333333333,0.6626167021643766,0.008421464987156785,10,14,0.4166666666666667,1.0,10,0,14,21,24,3.0,0.75,0,0,10,0,24,14,24,submission_h065_phase_graph_near_r24_phase_top3_a1p15_logit_82b002be.csv,/Users/kbsoo/Downloads/cl2/hitl/h065_state_transition_phase_jepa/submission_h065_phase_graph_near_r24_phase_top3_a1p15_logit_82b002be.csv,0.08333333333333333,0.8356481481481481,0.8356481481481481,0.8194444444444445,0.5333333333333333,0.0,0.6103518518518518
h065_phase_near_union_r36_phase_weighted_a1p15_prob_92fc6990,phase_near_union,36,1.15,prob,phase_weighted,8,3,"138,205,236,99,195,147,132,71,214,140,133,53,244,145,54,162,75,222,2,62,142,154,124,159,92,113,245,38,219,6,192,55,122,107,239,5",36,216,36,0,-0.00018503122494543643,0.8971933333333332,0.6197340113556433,0.007684510032744263,14,22,0.3888888888888889,1.0,10,0,17,30,25,6.0,0.5,36,0,36,36,36,36,36,submission_h065_phase_near_union_r36_phase_weighted_a1p15_prob_92fc6990.csv,/Users/kbsoo/Downloads/cl2/hitl/h065_state_transition_phase_jepa/submission_h065_phase_near_union_r36_phase_weighted_a1p15_prob_92fc6990.csv,0.8958333333333334,0.3912037037037037,0.3912037037037037,0.6666666666666666,0.9333333333333333,0.0,0.6102685185185186
h065_phase_near_union_r36_phase_weighted_gainpos_a1p15_prob_92fc6990,phase_near_union,36,1.15,prob,phase_weighted_gainpos,8,3,"138,205,236,99,195,147,132,71,214,140,133,53,244,145,54,162,75,222,2,62,142,154,124,159,92,113,245,38,219,6,192,55,122,107,239,5",36,216,36,0,-0.00018503122494543643,0.8971933333333332,0.6197340113556433,0.007684510032744263,14,22,0.3888888888888889,1.0,10,0,17,30,25,6.0,0.5,36,0,36,36,36,36,36,submission_h065_phase_near_union_r36_phase_weighted_gainpos_a1p15_prob_92fc6990.csv,/Users/kbsoo/Downloads/cl2/hitl/h065_state_transition_phase_jepa/submission_h065_phase_near_union_r36_phase_weighted_gainpos_a1p15_prob_92fc6990.csv,0.8958333333333334,0.3912037037037037,0.3912037037037037,0.6666666666666666,0.9333333333333333,0.0,0.6102685185185186
h065_phase_graph_near_r39_phase_top4_a0p75_prob_d52c8fd4,phase_graph_near,48,0.75,prob,phase_top4,8,3,"138,205,236,99,195,147,132,71,214,140,133,53,244,145,54,162,75,222,2,62,142,154,124,159,92,113,245,38,219,6,73,192,89,55,122,107,153,137,104",39,156,39,0,-0.0001503417236198191,0.8796943589743589,0.615467298756763,0.007458051255351973,14,25,0.358974358974359,1.0,10,0,17,28,25,4.0,1.0,25,0,14,0,39,39,39,submission_h065_phase_graph_near_r39_phase_top4_a0p75_prob_d52c8fd4.csv,/Users/kbsoo/Downloads/cl2/hitl/h065_state_transition_phase_jepa/submission_h065_phase_graph_near_r39_phase_top4_a0p75_prob_d52c8fd4.csv,0.7083333333333334,0.2800925925925926,0.2800925925925926,0.5982905982905983,0.7666666666666666,0.0,0.6097022792022793
