phase,target,mean_gain,phase_weight,rank,in_top3,in_top4,training_rows
pre,Q1,0.0005170234908017149,0.27578491129248606,6,0,0,15
pre,Q3,0.0018747345109587277,1.0,1,1,1,15
pre,S1,0.0009917856079025957,0.5290272313786994,5,0,0,15
pre,S2,0.0016794535932424472,0.895835428123412,3,1,1,15
pre,S3,0.0013892199105587,0.7410222100452301,4,0,1,15
pre,S4,0.0017254672087632847,0.9203794983647532,2,1,1,15
post,Q1,0.001622993012567549,0.7597354392423405,4,0,1,24
post,Q3,0.0009473892333111833,0.4434801442333255,6,0,0,24
post,S1,0.0012663822077651644,0.5928031947242342,5,0,0,24
post,S2,0.0019455128316356804,0.91070943266481,2,1,1,24
post,S3,0.0017651233061121516,0.8262677164361447,3,1,1,24
post,S4,0.002136260767545749,1.0,1,1,1,24
