feature_set,perm_pred_selected,perm_pred_h012,perm_selected_minus_h012
geometry,0.5701877994891393,0.5642991153728699,0.005888684116269416
geometry,0.5599560771095887,0.5552113713888103,0.004744705720778453
geometry,0.5580441063335269,0.5539318037104088,0.004112302623118014
geometry,0.5783579159817052,0.5779159039301384,0.000442012051566798
geometry,0.5972731787984341,0.6024587201735939,-0.005185541375159808
geometry,0.5990328622776728,0.6031272190203083,-0.004094356742635474
geometry,0.5672770424329405,0.5634474203660056,0.0038296220669349346
geometry,0.585534570597042,0.5864912641324018,-0.000956693535359876
geometry,0.564721834973749,0.5590610570729052,0.005660777900843739
geometry,0.5771856365197707,0.5790669686036843,-0.0018813320839136116
geometry,0.5904295663498866,0.5862613449675094,0.0041682213823772685
geometry,0.5421277396478691,0.5328021722325272,0.009325567415341851
geometry,0.5746514685878136,0.5730414451311524,0.0016100234566611693
geometry,0.5660678132278555,0.564856456143725,0.0012113570841304488
geometry,0.5553224797798324,0.5508661891776414,0.004456290602190993
geometry,0.5744360438463523,0.5733969950276129,0.0010390488187393965
geometry,0.5548694576429041,0.5478482403144728,0.007021217328431306
geometry,0.5684187180228158,0.5666705223182235,0.0017481957045923924
geometry,0.5549191159554294,0.5497698049257594,0.0051493110296699784
geometry,0.5888838660670014,0.5945236443894588,-0.005639778322457434
geometry,0.580414466637042,0.5756257643835798,0.004788702253462174
geometry,0.5901983733673392,0.5922101470329548,-0.002011773665615668
geometry,0.559890261242722,0.5578950326703016,0.0019952285724204044
geometry,0.5743646532219504,0.5751797935712877,-0.0008151403493372733
geometry,0.590054359971263,0.5930004260854823,-0.0029460661142193256
geometry,0.5846772719233928,0.582549213537795,0.0021280583855978197
geometry,0.566326312636847,0.5681685720286778,-0.0018422593918308028
geometry,0.5901281838646474,0.5899382903256276,0.0001898935390197698
geometry,0.5806759995098709,0.585773180783537,-0.005097181273666096
geometry,0.5775204241179973,0.5786533621919808,-0.0011329380739835138
geometry,0.6058203825620211,0.6054421738894395,0.000378208672581537
geometry,0.5627823716148025,0.5600350977093248,0.0027472739054776874
geometry,0.572752417768504,0.5725739836698918,0.0001784340986122901
geometry,0.5712558299828401,0.5701641897552262,0.001091640227613877
geometry,0.5637226014306732,0.5653885757310386,-0.0016659743003654137
geometry,0.5734629076727309,0.5718449423453493,0.0016179653273815653
geometry,0.5471312795006811,0.5427282873154854,0.004402992185195687
geometry,0.5524483500459593,0.5435612716632189,0.008887078382740388
geometry,0.5659501147066852,0.5667537134043896,-0.0008035986977044107
geometry,0.5795144846662248,0.5735758812476507,0.0059386034185741066
geometry,0.5886073843531193,0.5941933699836756,-0.005585985630556234
geometry,0.5579449298674493,0.552697556982717,0.005247372884732204
geometry,0.5723508699190945,0.5703098422171174,0.002041027701977005
geometry,0.591889948377086,0.592997675326285,-0.0011077269491990283
geometry,0.5675561715815087,0.5659060967965346,0.0016500747849741426
geometry,0.5666095866586626,0.5678765501443152,-0.0012669634856525835
geometry,0.5963891689119,0.6029787925308397,-0.006589623618939777
geometry,0.5773559580925621,0.5759047039377013,0.0014512541548608038
geometry,0.5426710533585343,0.5351276566381313,0.0075433967204029395
geometry,0.5673910025852729,0.5673710513815982,1.9951203674706264e-05
geometry,0.5772547914783762,0.5787446047200083,-0.0014898132416321097
geometry,0.5761578456966522,0.5773789103017479,-0.0012210646050957452
geometry,0.5751930375195325,0.5767748756329236,-0.0015818381133910764
geometry,0.5725413294742394,0.5753248400253682,-0.0027835105511287983
geometry,0.576950658212277,0.580443457441971,-0.0034927992296940324
geometry,0.5504788638394325,0.5439291304949181,0.0065497333445143635
geometry,0.5610986775439784,0.5572981120840632,0.0038005654599151395
geometry,0.5777615684286729,0.5784417725397432,-0.0006802041110702817
geometry,0.5817466790760878,0.5885447846838522,-0.006798105607764393
geometry,0.5715845561379057,0.5629781832847113,0.008606372853194433
geometry,0.5634738721271191,0.5619959770501315,0.0014778950769875898
geometry,0.5696161421695607,0.569455784551116,0.0001603576184446842
geometry,0.5774621757173519,0.5785717552031102,-0.0011095794857582941
geometry,0.5959624065998966,0.6005893176865775,-0.004626911086680896
geometry,0.5744747688454447,0.5783845200304178,-0.003909751184973165
geometry,0.5740622315174003,0.5732411710975196,0.0008210604198807259
geometry,0.5580028821309585,0.5514293609382279,0.00657352119273058
geometry,0.5843913840627191,0.5831572471016443,0.0012341369610747721
geometry,0.5906373297053729,0.5909439904652533,-0.000306660759880395
