feature,et_importance,ridge_beta
Q3S_add_sum,0.00010517000219194266,-3.662172657626812e-05
Q3S_changed_cells,0.0029714353381145127,-3.547422647587808e-07
Q3S_rollback_sum,0.01645872736138249,-9.354870823661602e-07
Q3S_rows_changed,0.0005653030656922368,5.971356699691193e-05
Q_add_sum,0.00030092077223987923,3.702068707389608e-05
Q_changed_cells,0.01733045715247736,-1.859458583715151e-06
Q_rollback_sum,0.0055942518362385825,-1.2523594665094067e-05
Q_rows_changed,0.030538143966958968,2.8515086017448413e-06
S124_add_sum,0.0003740877913893086,2.607212733659034e-06
S124_changed_cells,0.003601767409101966,-1.7956342794159247e-06
S124_rollback_sum,0.016226070908605318,-1.220241358520262e-06
S124_rows_changed,0.000669322492227442,5.886998292288816e-06
S2S4_add_sum,0.00027136262493670664,2.6760379539697835e-05
S2S4_changed_cells,0.0032771869641802323,1.851458247850419e-07
S2S4_rollback_sum,0.0018933307012348496,9.654742828934371e-06
S2S4_rows_changed,0.0024114054456318315,9.79072400863715e-06
S_add_sum,0.0005832574208078975,-3.327218699858148e-05
S_changed_cells,0.0035195510862405387,-2.197750388818034e-06
S_rollback_sum,0.024992312330396615,-9.543272216214804e-07
S_rows_changed,0.0003200618917793342,3.1674854374654895e-05
add_beta_weighted,0.0008852332322257198,0.5254913160886885
add_sum,0.0002190498165289024,5.1450648617067715e-06
changed_cells,0.003966120365570997,-1.4367346333511285e-06
changed_rows,0.0006224180513871364,8.372824331362751e-06
max_abs_prob_vs_h012,0.003985574396925539,-0.002279423485286045
mean_abs_logit_vs_h012,0.015184681679260995,-0.005125790903096938
mean_abs_prob_vs_h012,0.00965932210136226,0.22248167934700067
meta_alpha,0.009078053549814604,-0.0010849408886184177
meta_changed_cells_vs_h012,0.004163042877631402,-1.7917417363780926e-06
meta_cos_e247_to_h012,0.027036218679909033,-0.0011955505736510178
meta_k,0.01026604527709116,-3.957786715830054e-07
meta_phase_loss_margin_vs_h012,0.002641265796125917,0.3816272449341653
meta_proj_e247_to_h012,0.0521311186670094,0.001293764920062631
negative_cost_weighted,0.005351160819569782,-0.02894790988157683
over_beta_weighted,0.006558238729561953,0.7808233896715092
over_sum,0.009625203494638348,-1.2704448525217035e-06
q_bce_delta_vs_h012,0.002344760367801084,0.38162724493416345
rollback_beta_weighted,0.33994929349616837,0.5959827385440889
rollback_sum,0.0051184071072965815,-1.8019947898453426e-06
row_add_mean,0.00022024405274294448,0.0012862662154266887
row_add_p90,9.77079967518922e-05,-0.0005770823447677553
row_add_p99,0.0010109261392395046,-0.004735571651284927
row_add_sum,0.00012485667682091302,5.145064861706933e-06
row_add_x_add_neg_sum_outside,6.179578924085289e-05,-0.0010772449449188927
row_add_x_identity_mean,0.00038475284790733753,1.2676384807657277e-06
row_add_x_joint_vector_mean,0.00010971733906847345,4.6426798208265565e-06
row_add_x_lock_cost_sum,6.523919592729029e-05,0.010873628444923405
row_add_x_memory_disagree_count,0.00013441880048337758,2.3730819725265576e-06
row_add_x_neg_cost_sum,9.112988476604807e-05,-0.000738953796609691
row_add_x_posterior_gain_sum,0.00012951378464700632,-0.000510039274520554
row_add_x_public_row_subset_mean,0.00028200863107833644,-1.3389429978544841e-05
row_add_x_rollback_neg_sum_support,0.00020422704694215702,0.012783555169815905
row_add_x_route_mean,0.00028666766694213,2.8395081458739316e-06
row_changed_mean,0.0008100775052471932,0.0020932060828407558
row_changed_p90,0.0,0.0
row_changed_p99,0.0,0.0
row_changed_sum,0.001076858022364976,8.372824331362751e-06
row_changed_x_add_neg_sum_outside,0.0003511555756177796,0.00024608305502804865
row_changed_x_identity_mean,0.0021471810913616914,-3.813435647118826e-05
row_changed_x_joint_vector_mean,0.0001906841143952076,2.3325809724135782e-05
row_changed_x_lock_cost_sum,0.00010429607306254816,0.0003691066542342612
row_changed_x_memory_disagree_count,0.002670973406252718,-1.1072056401246453e-05
row_changed_x_neg_cost_sum,9.678240193974282e-05,0.0001205645182483298
row_changed_x_posterior_gain_sum,0.0009105697861399443,-0.0009131300919564178
row_changed_x_public_row_subset_mean,0.0006807381542210196,-1.996891138453474e-05
row_changed_x_rollback_neg_sum_support,0.0073131257369049,0.12545645358892094
row_changed_x_route_mean,0.0005105740528175469,-2.6794854933692394e-05
row_mixed_mean,0.0010341528838684808,-0.00025315359221499215
row_mixed_p90,0.0037709643826110257,0.00010205882224766169
row_mixed_p99,0.023358137936831582,0.00033763941180786904
row_mixed_sum,0.0014125664778445884,-1.0126143688599719e-06
row_over_mean,0.009192071373910642,-0.00031761121313042475
row_over_p90,0.012874824904681047,-0.0001558178174567281
row_over_p99,0.011863117279131882,5.553832206353159e-06
row_over_sum,0.010303812773131082,-1.2704448525216808e-06
row_rollback_mean,0.005429996710287036,-0.00045049869746133724
row_rollback_p90,0.0904728658433294,0.00016433885159260813
row_rollback_p99,0.02576634771245374,-0.00012208740077959172
row_rollback_sum,0.011279121481513412,-1.8019947898453382e-06
row_rollback_x_add_neg_sum_outside,0.0026115625807196156,5.445163726308825e-05
