model,fold,n_test,mae,rmse,spearman,pair_acc,pred_min,pred_max
ridge_1,score_name=cell_score,1175,0.0006009797625298833,0.0011223763649783614,0.9761201706388453,0.9346300895579517,0.010666939508990343,0.03598924364188415
ridge_1,score_name=identity_phase_score,1029,0.0005551564994581014,0.0008308992970020185,0.9641789854632711,0.9240261974717625,0.010862957969171836,0.03334769758977456
ridge_1,score_name=memory_conflict_phase_score,1029,0.0005319504540099372,0.0009302008789008173,0.9842478148428673,0.9480644953923759,0.01185751901106357,0.03720697062807851
ridge_1,score_name=route_translator_score,1029,0.000534525006237443,0.0008356466159620807,0.9705889045418863,0.9266656078773922,0.009298785739726156,0.03359745996579399
ridge_1,target_group=Q,497,0.0017059447428791237,0.0026327029389656607,0.49031088982398074,0.6807295385214512,0.007680791349488909,0.026133985063232966
ridge_1,target_group=Q3S,833,0.0008778919134653915,0.0016953653836497328,0.8684730325445065,0.8824828008126328,0.010985390451329423,0.02572793194595007
ridge_1,target_group=S,609,0.0005658167410530297,0.0010111476067484445,0.9604680334244314,0.9301756546538761,0.003321840431901396,0.02602790542403768
ridge_1,target_group=S12,385,0.00103324991561377,0.0011892993629987313,0.9711125176636834,0.9320887445887446,0.013270636753885345,0.024484987395129016
ridge_1,target_group=S124,497,0.0008015240520087283,0.0009425450958958384,0.9576530305032682,0.9216752125657168,0.01233577507504764,0.023372335709051346
ridge_1,target_group=S2S4,385,0.0018695274830043105,0.0019866348051317847,0.7494057432205101,0.773444264069264,0.012800537976376314,0.018048216880668502
ridge_1,target_group=all,1056,0.0021525000063304244,0.004656890044811616,0.7575334539601197,0.8228337127223375,-0.011178143508491209,0.02811760484515371
ridge_1,curve=consistency,1029,0.0005005321417548462,0.0009208232706709076,0.9783328870925694,0.9425247586527663,0.010736187183402898,0.03570004102049901
ridge_1,curve=score_soft,1176,0.0006865884373454638,0.0012795854903962219,0.9621720698981159,0.9170545665074541,0.009960130326400904,0.027856129752568244
ridge_1,curve=target_route,1029,0.0005048880290133117,0.0006734884983158613,0.9830729992985338,0.9450053506672264,0.010692897279242386,0.029362085114724643
ridge_1,curve=uniform,1028,0.0007775119325333597,0.0021472283823255394,0.9616295628516602,0.9305137210773783,-7.488923816517667e-05,0.05788682428458735
ridge_1,random5=0,879,0.0005027254213524433,0.0008136981833064475,0.9764948614634139,0.9379886545333924,0.010840112879371547,0.033188582671661075
ridge_1,random5=1,825,0.0005258189548210327,0.0008964276012083473,0.9782589238965742,0.937831715210356,0.010142491750523404,0.03381895635773635
ridge_1,random5=2,881,0.0004726730654591579,0.0007415625987856445,0.9814823277365843,0.9432334124445362,0.01003996486137618,0.032067131947262156
ridge_1,random5=3,822,0.0004903069754598438,0.0008505607167609526,0.9813957374366294,0.9438670424471967,0.009049039678767131,0.033258352125351706
ridge_1,random5=4,855,0.000517127664852492,0.0009956427493407792,0.9795269351561838,0.9398138510589343,0.010699454794479715,0.035358174577560186
ridge_1,__all_oof__,4262,0.0005014776492356968,0.0008626545669509799,0.9797506860502274,0.9405486913430308,0.009049039678767131,0.035358174577560186
ridge_10,score_name=cell_score,1175,0.0005980665605788467,0.0011370905692750482,0.9768181344087892,0.9360292060122861,0.01096595842033387,0.03575240756843258
ridge_10,score_name=identity_phase_score,1029,0.0005282971016855155,0.000777828415367723,0.9706065926373245,0.9290630093060015,0.010815225813227901,0.03252441578707532
ridge_10,score_name=memory_conflict_phase_score,1029,0.0005134957405835749,0.0009115117882496606,0.9847256687636494,0.9490816893739152,0.01188734388211611,0.03569169752223893
ridge_10,score_name=route_translator_score,1029,0.0005071045801801312,0.0007682803941758267,0.9734946202748086,0.9306663187787622,0.009414653678876478,0.03377139849776731
ridge_10,target_group=Q,497,0.0017204744106679676,0.0023870123418280706,0.4952410733346836,0.6835042513143377,0.007966890193597151,0.023286581137264433
ridge_10,target_group=Q3S,833,0.0007293391655935722,0.00127291160726818,0.8933671766991246,0.891878866931388,0.011034111945529973,0.02558725110528412
ridge_10,target_group=S,609,0.00043293746376239637,0.0005858491655767251,0.9788879703498428,0.9439655172413793,0.01021473722747907,0.02550527786095494
