subject_id,test_rows,listener_sign,Q2_train_drift,Q3_train_drift,Q2_logit_step,Q3_logit_step,changed_cells,Q2_base_mean,Q2_new_mean,Q2_mean_prob_delta,Q2_mean_logit_delta,Q3_base_mean,Q3_new_mean,Q3_mean_prob_delta,Q3_mean_logit_delta
id01,27,0,0.11904761904761907,-0.02857142857142858,0.0,0.0,0,0.5608667829275519,0.5608667829275519,0.0,0.0,0.5859727900968217,0.5859727900968217,2.05596856412066e-18,4.368933198756403e-18
id02,32,-1,0.08333333333333337,0.125,-0.66,-0.19,64,0.6522037481438067,0.4953408876996852,-0.15686286044412148,-0.6599999999999999,0.6622898172181109,0.6196622391884383,-0.04262757802967237,-0.19
id03,21,1,0.2536764705882353,-0.044117647058823484,0.8349321266968326,0.19,42,0.7537737137163343,0.8748716495183104,0.12109793580197618,0.8349321266968326,0.7249103664641025,0.760529013139595,0.03561864667549251,0.19
id04,27,1,0.333743842364532,0.11330049261083741,0.858582796513831,0.26553835327234343,54,0.507288036950702,0.7063183887182576,0.19903035176755565,0.8585827965138307,0.7765244231260624,0.8177026766533663,0.041178253527303754,0.2655383532723743
id05,21,0,-0.40909090909090906,0.0,0.0,0.0,0,0.46874269125727286,0.46874269125727286,5.28677630773884e-18,1.4538634846281813e-17,0.6456899481238202,0.6456899481238202,0.0,0.0
id06,24,1,0.5416666666666666,0.5833333333333333,0.92,0.33,48,0.6750024553961028,0.8364203100183496,0.1614178546222467,0.9199999999999999,0.7482942714289179,0.8039919315739764,0.05569766014505856,0.33
id07,30,-1,-0.30666666666666664,0.1833333333333333,-0.8505846153846154,-0.19,60,0.36203224081786006,0.1976519719364393,-0.16438026888142077,-0.8505846153846155,0.5377426893666066,0.49188538113088504,-0.04585730823572168,-0.19000000000000003
id08,19,-1,0.0,-0.17857142857142855,-0.76,-0.27448979591836736,38,0.6766937506958763,0.497553949012421,-0.1791398016834554,-0.76,0.30213328992029825,0.24986601393730204,-0.052267275982996145,-0.2744897959183675
id09,27,1,0.2714285714285714,-0.021428571428571463,0.8401758241758241,0.19,54,0.4838238272115803,0.6788885219438223,0.19506469473224222,0.840175824175824,0.4892258803509649,0.5356870461501432,0.04646116579917831,0.19000000000000003
id10,22,-1,-0.03308823529411764,-0.22058823529411764,-0.7697737556561086,-0.28025210084033614,44,0.3965937106793114,0.23530462505362182,-0.1612890856256897,-0.7697737556561086,0.5451895881330457,0.47730704841521077,-0.06788253971783499,-0.2802521008403361
