subject_id,test_rows,listener_sign,Q2_train_drift,Q3_train_drift,Q2_logit_step,Q3_logit_step,changed_cells,Q2_base_mean,Q2_new_mean,Q2_mean_prob_delta,Q2_mean_logit_delta,Q3_base_mean,Q3_new_mean,Q3_mean_prob_delta,Q3_mean_logit_delta
id01,27,0,0.11904761904761907,-0.02857142857142858,0.0,0.0,0,0.5608667829275519,0.5608667829275519,0.0,0.0,0.5859727900968217,0.5859727900968217,2.05596856412066e-18,4.368933198756403e-18
id02,32,-1,0.08333333333333337,0.125,-0.75,-0.25,64,0.6522037481438067,0.47331100614991883,-0.17889274199388783,-0.75,0.6622898172181109,0.605777581574594,-0.056512235643516706,-0.25
id03,21,1,0.2536764705882353,-0.044117647058823484,0.75,0.25,42,0.7537737137163343,0.8653560984041936,0.11158238468785935,0.7500000000000002,0.7249103664641025,0.7711098270758092,0.046199460611706655,0.24999999999999994
id04,27,1,0.333743842364532,0.11330049261083741,0.75,0.25,54,0.507288036950702,0.6835488904010466,0.17626085345034462,0.75,0.7765244231260624,0.8154588142298147,0.0389343911037523,0.24999999999996206
id05,21,0,-0.40909090909090906,0.0,0.0,0.0,0,0.46874269125727286,0.46874269125727286,5.28677630773884e-18,1.4538634846281813e-17,0.6456899481238202,0.6456899481238202,0.0,0.0
id06,24,1,0.5416666666666666,0.5833333333333333,0.75,0.25,48,0.6750024553961028,0.812247091154418,0.13724463575831505,0.75,0.7482942714289179,0.7913897028638321,0.04309543143491423,0.25000000000000006
id07,30,-1,-0.30666666666666664,0.1833333333333333,-0.75,-0.25,60,0.36203224081786006,0.2138047387915399,-0.1482275020263202,-0.75,0.5377426893666066,0.4774022832602095,-0.060340406106397196,-0.25
id08,19,-1,0.0,-0.17857142857142855,-0.75,-0.25,38,0.6766937506958763,0.5000143057506279,-0.1766794449452486,-0.75,0.30213328992029825,0.2542753561515303,-0.04785793376876796,-0.25
id09,27,1,0.2714285714285714,-0.021428571428571463,0.75,0.25,54,0.4838238272115803,0.6595104779470807,0.17568665073550035,0.75,0.4892258803509649,0.5502692229516121,0.0610433426006472,0.25
id10,22,-1,-0.03308823529411764,-0.22058823529411764,-0.75,-0.25,44,0.3965937106793114,0.23883767253710825,-0.1577560381422032,-0.75,0.5451895881330457,0.4846316776717133,-0.06055791046133245,-0.25
