route_id,row,subject_id,route_name,targets,value_mode,value_head,h094_value_score,h057_transfer_score,known_basin_score,h057_cell_overlap_ratio,value_h057_echo_oof,value_h057_echo,value_overall,posterior_delta_sum,hard_delta_sum,source_proxy_sum,dual_pareto
r138_q3_s_stage,138,id06,q3_s_stage,"Q3,S1,S2,S3,S4",triad_consensus,known_private,0.6129165619358271,0.0,1.0,0.0,0.0,0.0,0.6201423080751696,-0.01567638693200179,-0.00830414860848816,-1.0041406061273401e-05,1.0
r138_full_state,138,id06,full_state,"Q1,Q2,Q3,S1,S2,S3,S4",source_mean,known_private,0.6128059604408408,0.0,1.0,0.0,0.0,0.0,0.6136040665860759,-0.019472019474729922,-0.007564335852637133,-1.2706143531680043e-05,1.0
r138_full_state,138,id06,full_state,"Q1,Q2,Q3,S1,S2,S3,S4",q_source_bridge,known_private,0.6128013478947153,0.0,1.0,0.0,0.0,0.0,0.6136040665860759,-0.01947368060212256,-0.0076094959441757315,-1.263233485981607e-05,1.0
r138_full_state,138,id06,full_state,"Q1,Q2,Q3,S1,S2,S3,S4",h085_q,known_private,0.6127823852050884,0.0,1.0,0.0,0.0,0.0,0.6136040665860759,-0.019474102346958476,-0.007645507750585534,-1.2571945946472817e-05,1.0
r138_full_state,138,id06,full_state,"Q1,Q2,Q3,S1,S2,S3,S4",q061,known_private,0.6127457370854013,0.0,1.0,0.0,0.0,0.0,0.6134839331945066,-0.01947392203090608,-0.007658552991468753,-1.25428092781139e-05,1.0
r138_q3_s_stage,138,id06,q3_s_stage,"Q3,S1,S2,S3,S4",h085_hard_bridge,known_private,0.6126992597628054,0.0,1.0,0.0,0.0,0.0,0.6201423080751696,-0.015489417013471084,-0.008608632222356277,-9.429154347967869e-06,1.0
r138_q3_s_stage,138,id06,q3_s_stage,"Q3,S1,S2,S3,S4",hard_source_bridge,known_private,0.6124763014690674,0.0,1.0,0.0,0.0,0.0,0.6201156227340238,-0.015187154439756032,-0.008887257710424944,-8.914524547591098e-06,1.0
r138_full_state,138,id06,full_state,"Q1,Q2,Q3,S1,S2,S3,S4",triad_consensus,known_private,0.6118933033259691,9.750000000000001e-05,1.0,0.0,0.000125,9.750000000000001e-05,0.6083784029381608,-0.019229880630398093,-0.009017631805488646,-1.1337019142817321e-05,1.0
r138_full_state,138,id06,full_state,"Q1,Q2,Q3,S1,S2,S3,S4",h085_hard_bridge,known_private,0.6117754271472072,9.750000000000001e-05,1.0,0.0,0.000125,9.750000000000001e-05,0.6083784029381608,-0.018910092903145513,-0.009541607025541604,-1.0658576613192752e-05,1.0
r138_full_state,138,id06,full_state,"Q1,Q2,Q3,S1,S2,S3,S4",hard_source_bridge,known_private,0.6115568281826629,9.750000000000001e-05,1.0,0.0,0.000125,9.750000000000001e-05,0.6082272054653439,-0.018448955580117152,-0.009968537344207738,-1.0083857421929934e-05,1.0
r138_q3_s_stage,138,id06,q3_s_stage,"Q3,S1,S2,S3,S4",h085_q,known_private,0.6113405093961617,0.0,1.0,0.0,0.0,0.0,0.6201423080751696,-0.015813774001447255,-0.0075322503220081605,-1.114034591601348e-05,1.0
r138_q3_s_stage,138,id06,q3_s_stage,"Q3,S1,S2,S3,S4",source_mean,known_private,0.6113364093551613,0.0,1.0,0.0,0.0,0.0,0.6201423080751696,-0.015811713067658766,-0.007448387489472935,-1.1278549408195534e-05,1.0
r138_q3_s_stage,138,id06,q3_s_stage,"Q3,S1,S2,S3,S4",q_source_bridge,known_private,0.6113307717987857,0.0,1.0,0.0,0.0,0.0,0.6201423080751696,-0.015813356698973817,-0.0074950221650987026,-1.1202537487495404e-05,1.0
r138_q3_s_stage,138,id06,q3_s_stage,"Q3,S1,S2,S3,S4",q061,known_private,0.6113229556831421,0.0,1.0,0.0,0.0,0.0,0.6201156227340238,-0.015813615623834924,-0.007542604628304556,-1.1115215154629387e-05,1.0
r066_full_state,66,id03,full_state,"Q1,Q2,Q3,S1,S2,S3,S4",hard_source_bridge,known_private,0.6106616535072595,0.0,1.0,0.0,0.0,0.0,0.6135690630798682,-0.015468496998670348,-0.004491589440513408,-1.4681792466919567e-05,1.0
r138_q3_s_stage,138,id06,q3_s_stage,"Q3,S1,S2,S3,S4",hard_q,known_private,0.6104052682587352,0.0,1.0,0.0,0.0,0.0,0.6201156227340238,-0.01363421779088991,-0.009319447355107842,-7.019697105834365e-06,1.0
r138_full_state,138,id06,full_state,"Q1,Q2,Q3,S1,S2,S3,S4",hard_q,known_private,0.6102722028818983,9.750000000000001e-05,1.0,0.0,0.000125,9.750000000000001e-05,0.6083547953819055,-0.0161143709316609,-0.010606684757711234,-8.00201321355047e-06,1.0
r140_full_state,140,id06,full_state,"Q1,Q2,Q3,S1,S2,S3,S4",q_source_bridge,known_private,0.6100854182781854,0.0,1.0,0.0,0.0,0.0,0.6139490529452977,-0.012663114698570085,-0.009680980395584198,-8.866559673809963e-06,1.0
r140_full_state,140,id06,full_state,"Q1,Q2,Q3,S1,S2,S3,S4",h085_q,known_private,0.6100551804758074,0.0,1.0,0.0,0.0,0.0,0.6139490529452977,-0.012663848154801724,-0.009712196115564247,-8.796862329213946e-06,1.0
r140_full_state,140,id06,full_state,"Q1,Q2,Q3,S1,S2,S3,S4",source_mean,known_private,0.6100249426734294,0.0,1.0,0.0,0.0,0.0,0.6139490529452977,-0.012552128284909668,-0.009679325468476673,-8.888194908117944e-06,1.0
r195_full_state,195,id08,full_state,"Q1,Q2,Q3,S1,S2,S3,S4",hard_source_bridge,known_private,0.6100101006640222,0.0,1.0,0.0,0.0,0.0,0.612970141929152,-0.014830692620090846,-0.005391208008053594,-8.993452522003967e-06,1.0
r140_full_state,140,id06,full_state,"Q1,Q2,Q3,S1,S2,S3,S4",triad_consensus,known_private,0.6099403762298428,0.0,1.0,0.0,0.0,0.0,0.6140385530289723,-0.012421580804171653,-0.01110673525426935,-8.207257365733764e-06,1.0
r140_full_state,140,id06,full_state,"Q1,Q2,Q3,S1,S2,S3,S4",q061,known_private,0.6099260291842945,0.0,1.0,0.0,0.0,0.0,0.6139490529452977,-0.012534119392586678,-0.009739271804675858,-8.683268433190626e-06,1.0
r195_full_state,195,id08,full_state,"Q1,Q2,Q3,S1,S2,S3,S4",h085_hard_bridge,known_private,0.6098796641151871,0.0,1.0,0.0,0.0,0.0,0.6128009450553362,-0.015284862310371738,-0.004937372410092067,-9.574064204854244e-06,1.0
r140_full_state,140,id06,full_state,"Q1,Q2,Q3,S1,S2,S3,S4",h085_hard_bridge,known_private,0.6095939227653082,0.0,1.0,0.0,0.0,0.0,0.6140385530289723,-0.012105336598427987,-0.011639376556941349,-7.833121080906168e-06,1.0
r138_nonq2_full,138,id06,nonq2_full,"Q1,Q3,S1,S2,S3,S4",triad_consensus,known_private,0.6095241058700838,0.0,1.0,0.0,0.0,0.0,0.5880934084488302,-0.01734686545164698,-0.00784569451378514,-1.0247688543429919e-05,1.0
r138_nonq2_full,138,id06,nonq2_full,"Q1,Q3,S1,S2,S3,S4",h085_hard_bridge,known_private,0.6092652907819329,0.0,1.0,0.0,0.0,0.0,0.5880934084488302,-0.01703547853409284,-0.008355734098805495,-9.603464167920967e-06,1.0
