target,score_col,mode,threshold,selected_cells,selected_gain_sum,all_gain_sum,removed_gain_sum,gain_improvement,selected_positive_gain_rate,all_positive_gain_rate
Q2,wm_energy_calendar_rhythm,all,1.3772241376776004,12,1.976823748523643,1.976823748523643,0.0,0.0,0.75,0.75
Q3,wm_energy_calendar_rhythm,all,1.2093943512126506,9,1.168314109578631,1.168314109578631,0.0,0.0,0.6666666666666666,0.6666666666666666
S2,wm_energy_calendar_rhythm,all,1.0971665798936887,5,1.3614369514910036,1.3614369514910036,0.0,0.0,1.0,1.0
S3,wm_energy_app_social_context,low_energy_listener,1.4080104475587831,7,1.4872666440459634,0.9454718451027289,-0.5417947989432346,0.5417947989432346,0.8571428571428571,0.6153846153846154
S4,wm_energy_calendar_rhythm,high_energy_listener,1.461840689795571,2,0.09961726343071547,-0.42500287012896504,-0.5246201335596805,0.5246201335596805,0.5,0.4
