score_col,mode,threshold,cells,gain_sum,mean_gain,positive_gain_rate,all_cells,all_gain_sum,all_mean_gain,all_positive_gain_rate,removed_gain_sum,target
wm_energy_calendar_rhythm,low_energy_listener,1.3772241376776004,6,1.8828345703058011,0.3138057617176335,1.0,12,1.976823748523643,0.16473531237697026,0.75,0.09398917821784192,Q2
wm_energy_calendar_rhythm,high_energy_listener,1.3772241376776004,6,0.09398917821784153,0.01566486303630692,0.5,12,1.976823748523643,0.16473531237697026,0.75,1.8828345703058016,Q2
wm_energy_calendar_rhythm,all,1.3772241376776004,12,1.976823748523643,0.16473531237697026,0.75,12,1.976823748523643,0.16473531237697026,0.75,0.0,Q2
wm_energy_rank_calendar_rhythm,low_energy_listener,0.6755555555555556,6,1.8828345703058011,0.3138057617176335,1.0,12,1.976823748523643,0.16473531237697026,0.75,0.09398917821784192,Q2
wm_energy_rank_calendar_rhythm,high_energy_listener,0.6755555555555556,6,0.09398917821784153,0.01566486303630692,0.5,12,1.976823748523643,0.16473531237697026,0.75,1.8828345703058016,Q2
wm_energy_rank_calendar_rhythm,all,0.6755555555555556,12,1.976823748523643,0.16473531237697026,0.75,12,1.976823748523643,0.16473531237697026,0.75,0.0,Q2
wm_energy_phone_behavior,low_energy_listener,1.8363329820355454,6,1.2383721336509437,0.20639535560849062,0.8333333333333334,12,1.976823748523643,0.16473531237697026,0.75,0.7384516148726994,Q2
wm_energy_phone_behavior,high_energy_listener,1.8363329820355454,6,0.7384516148726992,0.12307526914544986,0.6666666666666666,12,1.976823748523643,0.16473531237697026,0.75,1.238372133650944,Q2
wm_energy_phone_behavior,all,1.8363329820355454,12,1.976823748523643,0.16473531237697026,0.75,12,1.976823748523643,0.16473531237697026,0.75,0.0,Q2
wm_energy_rank_phone_behavior,low_energy_listener,0.4955555555555555,6,1.2383721336509437,0.20639535560849062,0.8333333333333334,12,1.976823748523643,0.16473531237697026,0.75,0.7384516148726994,Q2
wm_energy_rank_phone_behavior,high_energy_listener,0.4955555555555555,6,0.7384516148726992,0.12307526914544986,0.6666666666666666,12,1.976823748523643,0.16473531237697026,0.75,1.238372133650944,Q2
wm_energy_rank_phone_behavior,all,0.4955555555555555,12,1.976823748523643,0.16473531237697026,0.75,12,1.976823748523643,0.16473531237697026,0.75,0.0,Q2
wm_energy_body_activity_sleep,low_energy_listener,1.459603166595568,6,1.500379725936674,0.25006328765611235,0.8333333333333334,12,1.976823748523643,0.16473531237697026,0.75,0.47644402258696905,Q2
wm_energy_body_activity_sleep,high_energy_listener,1.459603166595568,6,0.4764440225869685,0.07940733709782809,0.6666666666666666,12,1.976823748523643,0.16473531237697026,0.75,1.5003797259366745,Q2
wm_energy_body_activity_sleep,all,1.459603166595568,12,1.976823748523643,0.16473531237697026,0.75,12,1.976823748523643,0.16473531237697026,0.75,0.0,Q2
wm_energy_rank_body_activity_sleep,low_energy_listener,0.5411111111111111,6,1.500379725936674,0.25006328765611235,0.8333333333333334,12,1.976823748523643,0.16473531237697026,0.75,0.47644402258696905,Q2
wm_energy_rank_body_activity_sleep,high_energy_listener,0.5411111111111111,6,0.4764440225869685,0.07940733709782809,0.6666666666666666,12,1.976823748523643,0.16473531237697026,0.75,1.5003797259366745,Q2
wm_energy_rank_body_activity_sleep,all,0.5411111111111111,12,1.976823748523643,0.16473531237697026,0.75,12,1.976823748523643,0.16473531237697026,0.75,0.0,Q2
wm_energy_app_social_context,low_energy_listener,1.9657043874377154,6,0.7537481231114566,0.12562468718524275,0.6666666666666666,12,1.976823748523643,0.16473531237697026,0.75,1.2230756254121866,Q2
