held_fold,target,rank,source,source_family,selector_loss,held_loss
2,Q3,4,best__deviation__c0.1_b0.2,best_late_fusion,0.665490382407904,0.6942909534665914
2,Q3,5,best__absolute__c0.03_b0.2,best_late_fusion,0.6656411316078059,0.7013208004597465
2,S1,1,best_plus_fatigue_carryover__absolute__c0.1_b0.2,fatigue_carryover,0.5703981912501767,0.56281298374527
2,S1,2,best_plus_fatigue_carryover__absolute__c0.3_b0.2,fatigue_carryover,0.5705434963353373,0.5660813969160897
2,S1,3,best__absolute_plus_deviation__c0.3_b0.2,best_late_fusion,0.570809103944413,0.5712408781496329
2,S1,4,best_plus_fatigue_carryover__absolute_plus_deviation__c0.03_b0.2,fatigue_carryover,0.5709740461931223,0.5618679928741181
2,S1,5,best_plus_fatigue_carryover__absolute__c0.3_b0.1,fatigue_carryover,0.5710220884583108,0.5690192049691271
2,S2,1,best__absolute__c0.3_b0.2,best_late_fusion,0.5881092382706976,0.538129507705407
2,S2,2,best__absolute__c0.3_b0.1,best_late_fusion,0.5886665581102543,0.5372533990892747
2,S2,3,best__absolute__c0.1_b0.2,best_late_fusion,0.5890426009746617,0.541317894203865
2,S2,4,best__absolute_plus_deviation__c0.1_b0.2,best_late_fusion,0.589063280967979,0.5348819605231262
2,S2,5,best__absolute__c0.1_b0.1,best_late_fusion,0.5891821499402822,0.5389086712749871
2,S3,1,best__absolute_plus_deviation__c0.3_b0.2,best_late_fusion,0.5265472200273725,0.519412395682011
2,S3,2,best__absolute_plus_deviation__c0.3_b0.1,best_late_fusion,0.5312068319944774,0.5221547317487207
2,S3,3,best__absolute_plus_deviation__c0.1_b0.2,best_late_fusion,0.5332030266992751,0.5256152495103769
2,S3,4,best__absolute_plus_deviation__c0.3_b0.05,best_late_fusion,0.5343596092107898,0.5238322425753494
2,S3,5,best__absolute_plus_deviation__c0.1_b0.1,best_late_fusion,0.5346446006605979,0.5252470706012443
2,S4,1,best_plus_fatigue_carryover__absolute_plus_deviation__c0.1_b0.2,fatigue_carryover,0.6537899315990541,0.5912295382709835
2,S4,2,best_plus_fatigue_carryover__absolute_plus_deviation__c0.3_b0.1,fatigue_carryover,0.6538850107154942,0.5943051518605609
2,S4,3,best__absolute__c0.03_b0.2,best_late_fusion,0.6541733638938414,0.6045930223012546
2,S4,4,best_plus_fatigue_carryover__absolute_plus_deviation__c0.1_b0.1,fatigue_carryover,0.6542520799165245,0.5951790565086786
2,S4,5,best__absolute__c0.1_b0.2,best_late_fusion,0.6542695736472578,0.6021526260267148
3,Q1,1,best__absolute__c0.3_b0.2,best_late_fusion,0.6655902252258051,0.6811189702908971
3,Q1,2,best__absolute_plus_deviation__c0.3_b0.2,best_late_fusion,0.6656529326027678,0.6832968584568578
3,Q1,3,best__deviation__c0.3_b0.2,best_late_fusion,0.6658852942054231,0.6799128763093666
3,Q1,4,best__absolute__c0.1_b0.2,best_late_fusion,0.6662461874272779,0.680885825994384
3,Q1,5,best__deviation__c0.1_b0.2,best_late_fusion,0.6672267141792958,0.6785155316078411
3,Q2,1,best__absolute__c0.1_b0.2,best_late_fusion,0.682967968114196,0.7465838260567991
3,Q2,2,best__absolute__c0.3_b0.2,best_late_fusion,0.6832030739652268,0.7459675905588208
3,Q2,3,best__absolute__c0.03_b0.2,best_late_fusion,0.6833319752464725,0.7468362486635053
3,Q2,4,best_plus_fatigue_carryover__absolute_plus_deviation__c0.3_b0.1,fatigue_carryover,0.6844579330885747,0.7686518563433721
3,Q2,5,best_plus_fatigue_carryover__deviation__c0.3_b0.1,fatigue_carryover,0.6847106481760228,0.7683868197724275
3,Q3,1,best_plus_fatigue_carryover__absolute_plus_deviation__c0.3_b0.2,fatigue_carryover,0.6691036608004899,0.6906020470808836
3,Q3,2,best_plus_fatigue_carryover__absolute__c0.3_b0.2,fatigue_carryover,0.6694662103286064,0.688726850396601
3,Q3,3,best_plus_fatigue_carryover__deviation__c0.3_b0.2,fatigue_carryover,0.6704298845138059,0.6863750466559653
3,Q3,4,best__deviation__c0.3_b0.2,best_late_fusion,0.6719118456433799,0.6660327950084107
3,Q3,5,best_plus_fatigue_carryover__absolute_plus_deviation__c0.3_b0.1,fatigue_carryover,0.6723128532256768,0.6755072554321501
3,S1,1,best_plus_fatigue_carryover__deviation__c0.03_b0.2,fatigue_carryover,0.5642232594520076,0.5880108101733706
3,S1,2,best_plus_fatigue_carryover__deviation__c0.1_b0.2,fatigue_carryover,0.5647234234749114,0.5863909862234957
