source,feature,probe,avg_log_loss,Q1,Q2,Q3,S1,S2,S3,S4
full__cls_plus_all_groups__subrel_train__transformer_ridge_resid_a5_w0p1,full__cls_plus_all_groups__subrel_train,transformer_ridge_resid_a5_w0p1,0.6237352773138334,0.6664708309732328,0.6968302959030684,0.6593967451692085,0.5682050469469591,0.5879020175665798,0.5271916600866681,0.6601503445511167
full__all_groups__subrel_train__transformer_ridge_resid_a5_w0p1,full__all_groups__subrel_train,transformer_ridge_resid_a5_w0p1,0.6239799833229355,0.670711132664896,0.6974210529983202,0.6598087617663684,0.5708818390120586,0.5853842218921272,0.5266606447604649,0.6569922301663133
full__cls_plus_physio__subrel_train__transformer_ridge_resid_a5_w0p1,full__cls_plus_physio__subrel_train,transformer_ridge_resid_a5_w0p1,0.6242265314650093,0.6645058349783899,0.7016321479997437,0.6734861278830041,0.5675385834837964,0.5829659350549885,0.5297431529992288,0.6497139378559136
only_event__cls__subrel_train__transformer_ridge_resid_a5_w0p1,only_event__cls__subrel_train,transformer_ridge_resid_a5_w0p1,0.6249248277990382,0.6719030106220859,0.6968678781362112,0.6748059404206348,0.5718702227923657,0.5798099142909049,0.5350150349176604,0.6442017934134048
no_sleep__cls_plus_event__subrel_train__transformer_logreg_c0p1_w0p1,no_sleep__cls_plus_event__subrel_train,transformer_logreg_c0p1_w0p1,0.6249257763791384,0.6725382160609165,0.6890422403062189,0.6708803545536254,0.5763572479398463,0.5800991236339879,0.537991585017905,0.6475716671414691
full__cls_plus_event__subrel_train__transformer_logreg_c0p1_w0p1,full__cls_plus_event__subrel_train,transformer_logreg_c0p1_w0p1,0.6249675669047622,0.6719406750856408,0.6861902925531302,0.6730538931251044,0.5760290353426788,0.5814305778955383,0.5378976248385768,0.6482308694926665
no_sleep__phone__subrel_train__transformer_ridge_resid_a5_w0p1,no_sleep__phone__subrel_train,transformer_ridge_resid_a5_w0p1,0.625132358521639,0.6717477278086474,0.6943355436886559,0.6761845933224332,0.5723623195778579,0.5788295863691494,0.5359951457385834,0.6464715931461459
only_event__cls_plus_event__subrel_train__transformer_logreg_c0p1_w0p1,only_event__cls_plus_event__subrel_train,transformer_logreg_c0p1_w0p1,0.6251597995482207,0.6723817247233125,0.6883598398238672,0.6676618567415681,0.5769129986272569,0.5833782868259543,0.5402080042384482,0.6472158858571379
only_event__cls_plus_all_groups__subrel_train__transformer_logreg_c0p1_w0p1,only_event__cls_plus_all_groups__subrel_train,transformer_logreg_c0p1_w0p1,0.6251597995482207,0.6723817247233125,0.6883598398238672,0.6676618567415681,0.5769129986272569,0.5833782868259543,0.5402080042384482,0.6472158858571379
only_event__cls_plus_behavior__subrel_train__transformer_logreg_c0p1_w0p1,only_event__cls_plus_behavior__subrel_train,transformer_logreg_c0p1_w0p1,0.6251597995482207,0.6723817247233125,0.6883598398238672,0.6676618567415681,0.5769129986272569,0.5833782868259543,0.5402080042384482,0.6472158858571379
no_sleep__cls_plus_phone__subrel_train__transformer_ridge_resid_a5_w0p1,no_sleep__cls_plus_phone__subrel_train,transformer_ridge_resid_a5_w0p1,0.6251921131798847,0.670787547706384,0.694412013104166,0.6735551960361865,0.5713468856889765,0.5811992533764596,0.5365430100946844,0.6485008862523362
full__physio__subrel_train__transformer_ridge_resid_a5_w0p1,full__physio__subrel_train,transformer_ridge_resid_a5_w0p1,0.625416932745041,0.6710272179349225,0.7038717331710932,0.6737991088732003,0.5694802339712892,0.5811277233443347,0.5288626263602445,0.6497498855602026
no_sleep__cls__subrel_train__transformer_ridge_resid_a5_w0p1,no_sleep__cls__subrel_train,transformer_ridge_resid_a5_w0p1,0.6254661514969901,0.6733672960314625,0.6981801882176459,0.6747512675549547,0.5723612396653203,0.5788972594668609,0.5355924184725415,0.6451133910701454
full__cls_plus_mobility__subrel_train__transformer_ridge_resid_a5_w0p1,full__cls_plus_mobility__subrel_train,transformer_ridge_resid_a5_w0p1,0.625476582039771,0.67271130815109,0.6990035137149334,0.6772624782707312,0.5725943628846347,0.5790920553344936,0.5331424730510799,0.644529882871434
only_cross_modal__cls_plus_body__subrel_train__transformer_logreg_c0p1_w0p1,only_cross_modal__cls_plus_body__subrel_train,transformer_logreg_c0p1_w0p1,0.625517660762392,0.6713571841606643,0.6885513880146592,0.6732882350674907,0.5756471508890478,0.5816629002203367,0.5404726796625853,0.6476440873219602
only_cross_modal__cls_plus_physio__subrel_train__transformer_logreg_c0p1_w0p1,only_cross_modal__cls_plus_physio__subrel_train,transformer_logreg_c0p1_w0p1,0.625517660762392,0.6713571841606643,0.6885513880146592,0.6732882350674907,0.5756471508890478,0.5816629002203367,0.5404726796625853,0.6476440873219602
full__cls__subrel_train__transformer_ridge_resid_a5_w0p1,full__cls__subrel_train,transformer_ridge_resid_a5_w0p1,0.6256023903502117,0.672400657614678,0.6987311784902669,0.6750607808833881,0.572306925265087,0.5796382855667993,0.5346392064013905,0.6464396982298724
only_cross_modal__cls_plus_phone__subrel_train__transformer_ridge_resid_a5_w0p1,only_cross_modal__cls_plus_phone__subrel_train,transformer_ridge_resid_a5_w0p1,0.6256276979532046,0.6701267991532346,0.6900580426006968,0.674944087141082,0.573463993848883,0.5832449623726009,0.5359929947639419,0.651563005791994
full__cls_plus_body__subrel_train__transformer_logreg_c0p1_w0p1,full__cls_plus_body__subrel_train,transformer_logreg_c0p1_w0p1,0.6256621407988777,0.6702755080418025,0.6922074891195478,0.6727763965348046,0.5773674337935132,0.5804555497095197,0.5380907548591944,0.6484618535337616
full__behavior__subrel_train__transformer_logreg_c0p1_w0p1,full__behavior__subrel_train,transformer_logreg_c0p1_w0p1,0.6257421067498402,0.676775843411545,0.6895115412539493,0.668741001395461,0.5752541355094124,0.5828956022553622,0.5404323398629037,0.6465842835602487
full__cls_plus_behavior__subrel_train__transformer_logreg_c0p1_w0p1,full__cls_plus_behavior__subrel_train,transformer_logreg_c0p1_w0p1,0.6257531448960053,0.6737160240905816,0.6899935375197621,0.6695860293156706,0.574908821001624,0.5826822545528137,0.5417014309832028,0.6476839168083827
full__cls_plus_phone__subrel_train__transformer_ridge_resid_a5_w0p1,full__cls_plus_phone__subrel_train,transformer_ridge_resid_a5_w0p1,0.6257546674592811,0.6724523557162401,0.6983927724935702,0.6682664816020175,0.572518791930468,0.5801029442380372,0.5391502431111543,0.6493990831234806
full__event__subrel_train__transformer_logreg_c0p1_w0p1,full__event__subrel_train,transformer_logreg_c0p1_w0p1,0.6257918371783172,0.6742770824451192,0.6910329696203722,0.6737803625002314,0.576286020210213,0.5816782873714407,0.536772947791369,0.6467151903094749
only_cross_modal__cls_plus_event__subrel_train__transformer_logreg_c0p1_w0p1,only_cross_modal__cls_plus_event__subrel_train,transformer_logreg_c0p1_w0p1,0.6258019112906416,0.6730166122236168,0.6885333645676911,0.6713248683681325,0.5761121997275704,0.5824124076441928,0.5412019134054342,0.6480120130978531
only_cross_modal__cls_plus_mobility__subrel_train__transformer_ridge_resid_a5_w0p1,only_cross_modal__cls_plus_mobility__subrel_train,transformer_ridge_resid_a5_w0p1,0.6258523478386671,0.6735490200157696,0.6978567954267632,0.6733107751766922,0.5754156562513264,0.58058096272366,0.5340435945261729,0.6462096307502844
only_cross_modal__cls__subrel_train__transformer_ridge_resid_a5_w0p1,only_cross_modal__cls__subrel_train,transformer_ridge_resid_a5_w0p1,0.6258638350005598,0.6718650079014931,0.6990730258595178,0.6769419687131053,0.5728809464038348,0.579037493670636,0.5359149626587372,0.6453334397965934
no_sleep__event__subrel_train__transformer_logreg_c0p1_w0p1,no_sleep__event__subrel_train,transformer_logreg_c0p1_w0p1,0.6258925936268201,0.673173976064622,0.6940548712277333,0.6734937156819655,0.5770007121011254,0.5799650147270222,0.537054037201369,0.6465058283839037
no_sleep__behavior__subrel_train__transformer_logreg_c0p1_w0p1,no_sleep__behavior__subrel_train,transformer_logreg_c0p1_w0p1,0.6259171274230038,0.6744129258496692,0.688991241525059,0.6693288765091548,0.5745044509659174,0.583634210566213,0.5415167932948582,0.6490313932501539
no_sleep__cls_plus_behavior__subrel_train__transformer_logreg_c0p1_w0p1,no_sleep__cls_plus_behavior__subrel_train,transformer_logreg_c0p1_w0p1,0.6259463823232145,0.6717052843340513,0.6886961090914862,0.6686255610598432,0.5747740754828582,0.5843550404764447,0.5435581605617917,0.6499104452560257
full__mobility__subrel_train__transformer_logreg_c0p1_w0p1,full__mobility__subrel_train,transformer_logreg_c0p1_w0p1,0.6259947044481617,0.6746294142712838,0.694773484993683,0.6743526012772145,0.5751573823988985,0.5786110276756327,0.5391305891865118,0.6453084313339089
only_cross_modal__body__subrel_train__transformer_logreg_c0p1_w0p1,only_cross_modal__body__subrel_train,transformer_logreg_c0p1_w0p1,0.6260068693192417,0.6726441589598531,0.6926266284727212,0.6742840602046621,0.5753719465669217,0.5807895878363593,0.539229459262109,0.6471022439320647
only_cross_modal__physio__subrel_train__transformer_logreg_c0p1_w0p1,only_cross_modal__physio__subrel_train,transformer_logreg_c0p1_w0p1,0.6260068693192417,0.6726441589598531,0.6926266284727212,0.6742840602046621,0.5753719465669217,0.5807895878363593,0.539229459262109,0.6471022439320647
only_event__event__subrel_train__transformer_logreg_c0p1_w0p1,only_event__event__subrel_train,transformer_logreg_c0p1_w0p1,0.6261182903554124,0.6735768536875527,0.694597976607663,0.6689070226728379,0.5771080305113975,0.5832789709857461,0.5392969442781169,0.6460622337445735
only_event__behavior__subrel_train__transformer_logreg_c0p1_w0p1,only_event__behavior__subrel_train,transformer_logreg_c0p1_w0p1,0.6261182903554124,0.6735768536875527,0.694597976607663,0.6689070226728379,0.5771080305113975,0.5832789709857461,0.5392969442781169,0.6460622337445735
only_event__all_groups__subrel_train__transformer_logreg_c0p1_w0p1,only_event__all_groups__subrel_train,transformer_logreg_c0p1_w0p1,0.6261182903554124,0.6735768536875527,0.694597976607663,0.6689070226728379,0.5771080305113975,0.5832789709857461,0.5392969442781169,0.6460622337445735
only_cross_modal__event__subrel_train__transformer_logreg_c0p1_w0p1,only_cross_modal__event__subrel_train,transformer_logreg_c0p1_w0p1,0.6261339065505334,0.6745124579586804,0.6927049126111354,0.6708504772033113,0.5751601185738859,0.5815214246994709,0.5401297358401651,0.648058218967084
no_sleep__cls_plus_mobility__subrel_train__transformer_ridge_resid_a5_w0p1,no_sleep__cls_plus_mobility__subrel_train,transformer_ridge_resid_a5_w0p1,0.626206087017061,0.6739551463715782,0.6962029830149221,0.6747583538313724,0.5759160452936799,0.5824424486673347,0.5335661340545884,0.646601497885952
full__phone__subrel_train__transformer_ridge_resid_a5_w0p1,full__phone__subrel_train,transformer_ridge_resid_a5_w0p1,0.6262065221288691,0.6746598831259384,0.6975645672845943,0.6710596498610497,0.5747174117239201,0.578880897712288,0.5376345236444238,0.6489287215498706
only_cross_modal__cls_plus_all_groups__subrel_train__transformer_logreg_c0p1_w0p1,only_cross_modal__cls_plus_all_groups__subrel_train,transformer_logreg_c0p1_w0p1,0.6262343885466957,0.6772786351399237,0.6863549521941337,0.6667334432832693,0.5753110980121946,0.5830717910637471,0.5437397289933381,0.6511510711402626
no_sleep__cls_plus_all_groups__subrel_train__transformer_logreg_c0p1_w0p1,no_sleep__cls_plus_all_groups__subrel_train,transformer_logreg_c0p1_w0p1,0.6262649119299477,0.6776450908647971,0.6869620728824664,0.6718044199748806,0.574360479796969,0.5844614034969419,0.5427482912932667,0.6458726252003124
only_cross_modal__cls_plus_behavior__subrel_train__transformer_logreg_c0p1_w0p1,only_cross_modal__cls_plus_behavior__subrel_train,transformer_logreg_c0p1_w0p1,0.626285913467533,0.6767780130180584,0.6873938847120153,0.6664302672448015,0.5763517951068824,0.5827591138640285,0.5435352699115796,0.6507530504153657
only_cross_modal__phone__subrel_train__transformer_logreg_c0p1_w0p1,only_cross_modal__phone__subrel_train,transformer_logreg_c0p1_w0p1,0.6264353899758327,0.6735930442801569,0.692613414758766,0.673018239819368,0.5749706166511186,0.5809535415827158,0.54011906032673,0.649779812411973
no_sleep__cls_plus_physio__subrel_train__transformer_logreg_c0p1_w0p1,no_sleep__cls_plus_physio__subrel_train,transformer_logreg_c0p1_w0p1,0.6265089868580428,0.6748020797376781,0.6897807450630977,0.6754782829086279,0.5745537047121311,0.5827655763123006,0.5408857702064906,0.6472967490659739
only_cross_modal__behavior__subrel_train__transformer_logreg_c0p1_w0p1,only_cross_modal__behavior__subrel_train,transformer_logreg_c0p1_w0p1,0.6265706951414227,0.6802581742763171,0.6904858546701088,0.6659229045027504,0.5754132224852151,0.5821286363430642,0.5414626498404496,0.6503234238720534
no_sleep__cls_plus_body__subrel_train__transformer_logreg_c0p1_w0p1,no_sleep__cls_plus_body__subrel_train,transformer_logreg_c0p1_w0p1,0.626609860432884,0.6750379385006007,0.6905710970799677,0.6743958733339304,0.5766355779608461,0.5818486751506384,0.539693171787097,0.6480866892171073
only_cross_modal__all_groups__subrel_train__transformer_logreg_c0p1_w0p1,only_cross_modal__all_groups__subrel_train,transformer_logreg_c0p1_w0p1,0.6266610658543751,0.6801377921044749,0.6891681278674815,0.6670821676498624,0.5747765160100735,0.5825548856216288,0.542034833471758,0.6508731382553467
only_cross_modal__mobility__subrel_train__transformer_logreg_c0p1_w0p1,only_cross_modal__mobility__subrel_train,transformer_logreg_c0p1_w0p1,0.626828633266042,0.6773249667620609,0.695725872432323,0.6712793178470831,0.5781611489175779,0.5794983349498427,0.5393292574629205,0.6464815344904865
full__body__subrel_train__transformer_logreg_c0p1_w0p1,full__body__subrel_train,transformer_logreg_c0p1_w0p1,0.6269381835990936,0.674684161676001,0.696765367036766,0.6742460469728081,0.5792385528225324,0.5796148763634164,0.5363328862252028,0.6476853940969292
no_sleep__all_groups__subrel_train__transformer_logreg_c0p1_w0p1,no_sleep__all_groups__subrel_train,transformer_logreg_c0p1_w0p1,0.6269428395749206,0.6810694291634025,0.6876956189437075,0.6725122376068656,0.5754458389156275,0.5845363216188356,0.5411767987985381,0.6461636319774676
no_sleep__mobility__subrel_train__transformer_logreg_c0p1_w0p1,no_sleep__mobility__subrel_train,transformer_logreg_c0p1_w0p1,0.6270702299453433,0.675572099827018,0.6932346271549997,0.6745604640048032,0.5782945134657305,0.5813403996779056,0.5392061312039227,0.6472833742830244
no_sleep__body__subrel_train__subject_prior_a8,no_sleep__body__subrel_train,subject_prior_a8,0.6276539587598199,0.6731794431644589,0.7050100434092992,0.6777702303470193,0.5757019130502258,0.5798564530783497,0.5347876459944689,0.6472719822749171
no_sleep__physio__subrel_train__subject_prior_a8,no_sleep__physio__subrel_train,subject_prior_a8,0.6276539587598199,0.6731794431644589,0.7050100434092992,0.6777702303470193,0.5757019130502258,0.5798564530783497,0.5347876459944689,0.6472719822749171
