model,C,fold_id,mean_logloss,logloss_Q1,logloss_Q2,logloss_Q3,logloss_S1,logloss_S2,logloss_S3,logloss_S4
logistic_l2_features_v0,0.01,chrono_last_25,0.685268608171857,0.6658403735835325,0.8014155300138802,0.7426183557000776,0.6119791631234699,0.672593796088432,0.6601508618214027,0.6422821768722039
logistic_l2_features_v0,0.01,chrono_last_30,0.6937170690552882,0.6604992374695882,0.8137902740585796,0.7038257529106967,0.6365192184411973,0.7293919253855968,0.6549920716071275,0.6570010035142313
logistic_l2_features_v0,0.01,chrono_last_20,0.6992789657287037,0.6278708674774642,0.7813221340227544,0.7917616989392066,0.6336169370691545,0.7122962550083075,0.7104331907731635,0.6376516768108756
logistic_l2_features_v0,0.03,chrono_last_25,0.7322274671359267,0.7063494455591104,0.8860831875715617,0.7535170549294258,0.6370615287899428,0.7339259691196793,0.7193539020868782,0.6893011818948888
logistic_l2_features_v0,0.03,chrono_last_30,0.7478998210692867,0.7007865274309227,0.9021534155161997,0.7182962568405741,0.679781577861384,0.8138851630655113,0.7117203778887462,0.7086754288816687
logistic_l2_features_v0,0.03,chrono_last_20,0.7485973886936835,0.6617321390514384,0.8318693209356095,0.8169746325763741,0.6526284125549231,0.798198936085535,0.7889309395427486,0.6898473401091566
logistic_l2_features_v0,0.1,chrono_last_25,0.8187146198639572,0.7926980647869404,1.0006323030020479,0.7891446038587463,0.7234112922765437,0.8367434855122233,0.821457215960847,0.7669153736503519
logistic_l2_features_v0,0.1,chrono_last_20,0.8310785017059529,0.7323822582337636,0.9220693081602416,0.8671721997496206,0.7359003515117627,0.8958514575504175,0.9064624232224637,0.7577115135134
logistic_l2_features_v0,0.1,chrono_last_30,0.8493137193572409,0.7972593987428506,1.0104149158823748,0.7734181294788147,0.8048796858221089,0.9324186646521646,0.8294702334506499,0.7973350074717235
logistic_l2_features_v0,0.3,chrono_last_25,0.9116856015810867,0.8901870033674457,1.0877840809371995,0.8661640450601155,0.8174649091232284,0.922363266049955,0.9489122469991916,0.848923659530471
logistic_l2_features_v0,0.3,chrono_last_20,0.9134716702734961,0.856481325457934,0.9651480233543693,0.9454579545025684,0.8432990364159445,0.9489682690158872,1.0252531414129131,0.8096939417548561
logistic_l2_features_v0,0.3,chrono_last_30,0.9546287697215642,0.8794467482701549,1.104640021556485,0.8561394788417863,0.9333356490509394,1.0298694065232625,0.9636911007990899,0.9152789830092308
logistic_l2_features_v0,1.0,chrono_last_25,1.019526155738842,1.0170266192130237,1.208843566121597,0.9687716907899062,0.9284970468779503,0.9632307401451619,1.1184046449286518,0.9319087820956029
logistic_l2_features_v0,1.0,chrono_last_20,1.0285510181033037,1.0751619635296257,1.094830771064922,1.0492348463485817,0.9331193077274221,0.9572382770840048,1.1663609618478867,0.9239109991206838
logistic_l2_features_v0,1.0,chrono_last_30,1.061831783025106,0.9921677430138998,1.2112736626645701,0.9709514190760479,1.0047876766594916,1.110411521891062,1.1200210117119611,1.0232094461587096
