target,modality,offset_day,window,mean_auc_absdir,max_auc_absdir,mean_abs_diff
Q1,hr,1,evening18_21,0.5875466957619504,0.6009374138406397,7.97342784988533
Q1,usage,-1,morning06_11,0.5627936184195034,0.6002717391304349,0.4678366398712457
Q1,w_light,0,evening18_21,0.5774188817221906,0.5984869909502263,5.9035966221995615
Q1,usage,1,day12_17,0.5452806293553595,0.5922528451940217,0.32628681770278334
Q1,w_light,0,late22_23,0.5850775538086679,0.5878817873303168,6.55689005712928
Q1,usage,1,late22_23,0.566663671315522,0.5874566874566874,0.46701367063036825
Q1,usage,-1,day12_17,0.5671783822982902,0.5841325196163906,0.47747395998865816
Q1,usage,0,day12_17,0.5616973995720133,0.581060881509312,0.4068746324800136
Q1,w_light,1,evening18_21,0.5627234835114614,0.5775274359827071,3.641400018615876
Q1,hr,1,morning06_11,0.5489287918174667,0.577488282326992,4.525712679503076
Q1,hr,0,evening18_21,0.5659760726166976,0.5757575757575757,6.392166583582025
Q1,usage,-1,late22_23,0.556442804691293,0.5756291351606805,0.40083749109052014
Q1,pedo,-1,night00_05,0.563946613627648,0.5742923804261066,6.538568981584043
Q1,usage,1,morning06_11,0.539244498868493,0.5737248414667769,0.2782042363167174
Q1,ble,1,day12_17,0.5370915518759694,0.5719120842386762,0.2500348004659492
Q1,usage,-1,night00_05,0.5342484255584871,0.5690888438632038,0.17308419843870534
Q1,ble,1,late22_23,0.5568940492474377,0.5687707734775505,0.3659390335070579
Q1,usage,0,morning06_11,0.5489476663458759,0.5680017200073715,0.32482923414448
Q1,w_light,0,morning06_11,0.5231353591270129,0.5667508417508418,2.465814634673334
Q1,usage,1,evening18_21,0.5396439277160879,0.5665142065142065,0.2756344007103031
Q1,usage,-1,evening18_21,0.5366143077394511,0.5654844490692565,0.2626815986171649
Q1,pedo,1,evening18_21,0.5352071347435726,0.5635925006892749,3.075960273768798
Q1,wifi,1,night00_05,0.5306867990140166,0.5635365307037202,0.3623555638130444
Q1,w_light,-1,late22_23,0.5534071658041257,0.5614457115704443,3.3660311237823706
Q1,pedo,-1,morning06_11,0.5362777140574495,0.560562147148507,3.616074199922037
Q1,w_light,0,night00_05,0.5442026701784946,0.5598081112786996,3.6640207017794637
Q1,ble,0,day12_17,0.5217468491033211,0.5575087194818137,0.09812170915309919
Q1,w_light,1,late22_23,0.542907402013368,0.5574220374220374,3.246070878147947
Q1,screen,0,night00_05,0.5148627948706342,0.557141340129553,0.8862577562533538
Q1,w_light,1,night00_05,0.5430173634058305,0.5570672074812686,3.224937138214925
Q1,ble,1,evening18_21,0.5270033941479928,0.5566326814864337,0.1530937969728891
Q1,wifi,-1,late22_23,0.5435637644359396,0.5559218341648848,0.35318662390116407
Q1,usage,0,late22_23,0.5356728011278272,0.5548440530058176,0.26230637144214897
Q1,w_light,-1,day12_17,0.5206892468280804,0.5544731897673074,1.6248339653136352
Q1,w_light,1,morning06_11,0.5334743729725414,0.5524436353451898,2.333674213717074
Q1,gps,-1,late22_23,0.5386288891815674,0.5523877405559514,3.040404490377764
Q1,ble,1,morning06_11,0.5285271105424881,0.5516680452164323,0.18316681058117934
Q1,wifi,0,night00_05,0.5203827769851982,0.5510521885521886,0.20082274261426183
Q1,usage,0,evening18_21,0.5361298793449529,0.5505751287001287,0.24599529445117685
Q1,wifi,0,late22_23,0.5341415379376198,0.5486728345184227,0.2565664173994153
Q1,ble,-1,evening18_21,0.5347487924479902,0.5482127288578902,0.19648851118408084
Q1,gps,0,day12_17,0.5205022633417199,0.5477577577577577,1.8634116627838597
Q1,ble,0,morning06_11,0.5225356166649878,0.5470647255154903,0.12628532923257152
Q1,wifi,1,morning06_11,0.525788098682202,0.547008189871302,0.2501549369748415
Q1,ble,-1,day12_17,0.5223253753080447,0.5469287469287469,0.13677694427220036
Q1,ble,-1,night00_05,0.5218604944788117,0.5466015840854669,0.22265382397345002
Q1,pedo,1,day12_17,0.5291170614502174,0.5465789112847937,2.6585002758419862
Q1,hr,-1,late22_23,0.5283333962807442,0.5462550487051556,2.287211926823473
Q1,hr,1,day12_17,0.5181103274378787,0.5459481694775813,0.8132890862657322
Q1,gps,1,day12_17,0.5243611636020168,0.5459344576991636,2.413283145950492
Q1,wifi,1,day12_17,0.5342623892272168,0.5459207459207459,0.2890281962773993
Q1,hr,0,morning06_11,0.5186351091314374,0.5451793536655922,1.5121090592291118
Q1,usage,1,night00_05,0.5171380801109805,0.5438704616763782,0.10611760090279976
Q1,gps,-1,day12_17,0.5307149760859509,0.542896372308137,2.155340983642224
Q1,screen,1,day12_17,0.5143157196253361,0.5423968188674071,1.2410454356119207
Q1,wifi,-1,morning06_11,0.5206888442841731,0.5422526799844725,0.20170483604215672
Q1,wifi,-1,night00_05,0.5239148465480711,0.5413980475225639,0.2447026269489514
Q1,pedo,-1,day12_17,0.5198912099284582,0.5412466029630929,1.9429460311486626
Q1,w_light,-1,evening18_21,0.5274549570651161,0.541186839012926,2.1795583301930765
Q1,screen,1,night00_05,0.51623265354245,0.5410962762661259,0.7677030480844659
Q1,hr,-1,day12_17,0.5312767055899662,0.5407498319745185,2.312398217762638
Q1,gps,1,morning06_11,0.5227382798755715,0.5407265028692406,2.3482816130791058
Q1,wifi,0,morning06_11,0.5297393710145286,0.5405829596412557,0.25877851002356245
Q1,ac,-1,day12_17,0.5257030357856252,0.5401647636941754,0.9513944962136094
Q1,ac,0,evening18_21,0.5244482632230794,0.5399058661926309,0.9922895959476836
Q1,screen,-1,night00_05,0.5182879829816035,0.5398630809848346,0.6642918559269345
Q1,ac,-1,late22_23,0.5292271284617848,0.5392840264650283,1.5570503682584942
Q1,hr,0,late22_23,0.5360558936430211,0.539027149321267,2.4106038292556224
Q1,ble,1,night00_05,0.5228666631446987,0.5385477364410578,0.13847754568476364
Q1,ble,-1,morning06_11,0.5205738239423171,0.5374245169082126,0.14255002376723705
Q1,pedo,0,evening18_21,0.5222493663146237,0.5370770770770771,1.8704784635850817
Q1,gps,0,morning06_11,0.5237219545369723,0.5366869162740723,2.350479386319858
Q1,screen,0,day12_17,0.5177518245319394,0.536046046046046,0.7964618878968656
Q1,ac,0,night00_05,0.5198682333947132,0.535545962629296,1.0520943461571797
Q1,wifi,1,late22_23,0.5231152085250446,0.5353014553014552,0.2867618479753009
Q1,hr,1,late22_23,0.5189848822314599,0.5348995148995149,1.6341976224349049
Q1,screen,-1,evening18_21,0.5159746972659895,0.5342632955536182,0.7955439004810962
Q1,wifi,0,day12_17,0.5217370808775891,0.534094094094094,0.1900430924197741
Q1,ac,1,night00_05,0.5208855731142703,0.5339135823333897,0.8746304506583501
Q1,gps,0,late22_23,0.5314446939207716,0.5329827136333986,2.471587877774926
Q1,ac,1,day12_17,0.5169874605307024,0.5323049499520087,1.3705123369884877
Q1,ac,-1,night00_05,0.5158532914811463,0.5317778191753603,0.5087371753993098
Q1,pedo,0,morning06_11,0.5138450352801245,0.5308606902356903,0.8503975615757066
Q1,gps,-1,evening18_21,0.5243649085086466,0.5304659498207885,2.009348257766808
Q1,gps,-1,morning06_11,0.5228671401814466,0.5302659783232195,2.246507009325916
Q1,wifi,-1,evening18_21,0.5158995893465079,0.5293391071843758,0.1654089786942894
Q1,ac,-1,evening18_21,0.5214910535718231,0.5291501976284585,0.5578482623445922
Q1,activity,0,day12_17,0.5122693975655696,0.5287787787787789,0.6985777257077702
Q1,ac,-1,morning06_11,0.5115090798452858,0.5287416387959867,0.6262911637511976
Q1,screen,-1,late22_23,0.5203104663144195,0.5285994297933001,1.5144927536231876
