family,fold,target,model,n_train,n_valid,logloss
chrono_tail,chrono_tail_last_20,Q1,M0_anchor,359,91,0.670491187120063
chrono_tail,chrono_tail_last_20,Q1,M1_own_lag_back,359,91,0.672980451737844
chrono_tail,chrono_tail_last_20,Q1,M2_neighbor_mean_3,359,91,0.6802986816222287
chrono_tail,chrono_tail_last_20,Q1,M3_own_lag_back_fwd,359,91,0.673323008937413
chrono_tail,chrono_tail_last_20,Q1,M4_all_q_lags_back,359,91,0.6723136117784864
chrono_tail,chrono_tail_last_20,Q1,M5_all_q_lags_back_fwd,359,91,0.6726151347147068
chrono_tail,chrono_tail_last_20,Q2,M0_anchor,359,91,0.6998728239491319
chrono_tail,chrono_tail_last_20,Q2,M1_own_lag_back,359,91,0.6947436482582975
chrono_tail,chrono_tail_last_20,Q2,M2_neighbor_mean_3,359,91,0.69741015090541
chrono_tail,chrono_tail_last_20,Q2,M3_own_lag_back_fwd,359,91,0.6867332954872727
chrono_tail,chrono_tail_last_20,Q2,M4_all_q_lags_back,359,91,0.7006435092239116
chrono_tail,chrono_tail_last_20,Q2,M5_all_q_lags_back_fwd,359,91,0.6927129707408092
chrono_tail,chrono_tail_last_20,Q3,M0_anchor,359,91,0.746117283280753
chrono_tail,chrono_tail_last_20,Q3,M1_own_lag_back,359,91,0.7304310605652066
chrono_tail,chrono_tail_last_20,Q3,M2_neighbor_mean_3,359,91,0.7363832123580247
chrono_tail,chrono_tail_last_20,Q3,M3_own_lag_back_fwd,359,91,0.7167151473443734
chrono_tail,chrono_tail_last_20,Q3,M4_all_q_lags_back,359,91,0.7284104629119929
chrono_tail,chrono_tail_last_20,Q3,M5_all_q_lags_back_fwd,359,91,0.7154035129512744
chrono_tail,chrono_tail_last_25,Q1,M0_anchor,339,111,0.6895441982114997
chrono_tail,chrono_tail_last_25,Q1,M1_own_lag_back,339,111,0.6930231307616712
chrono_tail,chrono_tail_last_25,Q1,M2_neighbor_mean_3,339,111,0.6900263106875492
chrono_tail,chrono_tail_last_25,Q1,M3_own_lag_back_fwd,339,111,0.6906969409291717
chrono_tail,chrono_tail_last_25,Q1,M4_all_q_lags_back,339,111,0.6967415659808783
chrono_tail,chrono_tail_last_25,Q1,M5_all_q_lags_back_fwd,339,111,0.6940701996653864
chrono_tail,chrono_tail_last_25,Q2,M0_anchor,339,111,0.6746980836446811
chrono_tail,chrono_tail_last_25,Q2,M1_own_lag_back,339,111,0.6638686259143745
chrono_tail,chrono_tail_last_25,Q2,M2_neighbor_mean_3,339,111,0.6376885922300046
chrono_tail,chrono_tail_last_25,Q2,M3_own_lag_back_fwd,339,111,0.6606975471568374
chrono_tail,chrono_tail_last_25,Q2,M4_all_q_lags_back,339,111,0.6632510995142848
chrono_tail,chrono_tail_last_25,Q2,M5_all_q_lags_back_fwd,339,111,0.6606927862448663
chrono_tail,chrono_tail_last_25,Q3,M0_anchor,339,111,0.7089183401235482
chrono_tail,chrono_tail_last_25,Q3,M1_own_lag_back,339,111,0.6936897640210946
chrono_tail,chrono_tail_last_25,Q3,M2_neighbor_mean_3,339,111,0.7058276483204451
chrono_tail,chrono_tail_last_25,Q3,M3_own_lag_back_fwd,339,111,0.6838194269478658
chrono_tail,chrono_tail_last_25,Q3,M4_all_q_lags_back,339,111,0.6872699480478653
chrono_tail,chrono_tail_last_25,Q3,M5_all_q_lags_back_fwd,339,111,0.677509929289528
chrono_tail,chrono_tail_last_30,Q1,M0_anchor,316,134,0.6595761652997363
chrono_tail,chrono_tail_last_30,Q1,M1_own_lag_back,316,134,0.6600167675257879
chrono_tail,chrono_tail_last_30,Q1,M2_neighbor_mean_3,316,134,0.6598484248680416
chrono_tail,chrono_tail_last_30,Q1,M3_own_lag_back_fwd,316,134,0.6609104678203797
chrono_tail,chrono_tail_last_30,Q1,M4_all_q_lags_back,316,134,0.656210174749315
chrono_tail,chrono_tail_last_30,Q1,M5_all_q_lags_back_fwd,316,134,0.6569675655719777
chrono_tail,chrono_tail_last_30,Q2,M0_anchor,316,134,0.6932421240243203
