mask,scheme,target,family,n_cols,logloss,prior_logloss,improvement_vs_prior
testpattern0,testpattern,Q1,global_prior,0,0.6933472205706153,0.6933472205706153,0.0
testpattern0,testpattern,Q1,same_subject_temporal_label,0,0.6693293529914244,0.6933472205706153,0.024017867579190888
testpattern0,testpattern,Q1,activity_steps,105,0.6967020441089646,0.6933472205706153,-0.003354823538349372
testpattern0,testpattern,Q1,location_context,220,0.695886000284214,0.6933472205706153,-0.0025387797135987267
testpattern0,testpattern,Q1,screen_phone,220,0.6829154745656618,0.6933472205706153,0.010431746004953446
testpattern0,testpattern,Q1,routine_axes,92,0.7496914059454516,0.6933472205706153,-0.05634418537483632
testpattern0,testpattern,Q1,ssl,68,0.7332152189309378,0.6933472205706153,-0.03986799836032251
testpattern0,testpattern,Q1,heart_light,34,0.6905450769323116,0.6933472205706153,0.002802143638303667
testpattern0,testpattern,Q2,global_prior,0,0.6872608297041397,0.6872608297041397,0.0
testpattern0,testpattern,Q2,same_subject_temporal_label,0,0.6726289581717104,0.6872608297041397,0.014631871532429286
testpattern0,testpattern,Q2,activity_steps,105,0.7196536236399076,0.6872608297041397,-0.03239279393576788
testpattern0,testpattern,Q2,location_context,220,0.7235285815537467,0.6872608297041397,-0.036267751849606955
testpattern0,testpattern,Q2,screen_phone,220,0.702300289865524,0.6872608297041397,-0.015039460161384244
testpattern0,testpattern,Q2,routine_axes,92,0.7701730567297357,0.6872608297041397,-0.08291222702559597
testpattern0,testpattern,Q2,ssl,68,0.7007738776415361,0.6872608297041397,-0.013513047937396383
testpattern0,testpattern,Q2,heart_light,34,0.691347507328782,0.6872608297041397,-0.004086677624642321
testpattern0,testpattern,Q3,global_prior,0,0.6693567626267302,0.6693567626267302,0.0
testpattern0,testpattern,Q3,same_subject_temporal_label,0,0.6599812863506614,0.6693567626267302,0.009375476276068717
testpattern0,testpattern,Q3,activity_steps,105,0.6660820711413686,0.6693567626267302,0.003274691485361525
testpattern0,testpattern,Q3,location_context,220,0.7203679252675841,0.6693567626267302,-0.051011162640853924
testpattern0,testpattern,Q3,screen_phone,220,0.7098911210913723,0.6693567626267302,-0.04053435846464215
testpattern0,testpattern,Q3,routine_axes,92,0.7004734033825606,0.6693567626267302,-0.031116640755830427
testpattern0,testpattern,Q3,ssl,68,0.669978124930199,0.6693567626267302,-0.0006213623034688753
testpattern0,testpattern,Q3,heart_light,34,0.7132562250777157,0.6693567626267302,-0.04389946245098553
testpattern0,testpattern,S1,global_prior,0,0.6210794907749585,0.6210794907749585,0.0
testpattern0,testpattern,S1,same_subject_temporal_label,0,0.591302714530365,0.6210794907749585,0.029776776244593517
testpattern0,testpattern,S1,activity_steps,105,0.6252859979690775,0.6210794907749585,-0.004206507194118969
testpattern0,testpattern,S1,location_context,220,0.664887279104372,0.6210794907749585,-0.043807788329413455
testpattern0,testpattern,S1,screen_phone,220,0.6445499159554205,0.6210794907749585,-0.02347042518046205
testpattern0,testpattern,S1,routine_axes,92,0.6405316529705064,0.6210794907749585,-0.019452162195547906
testpattern0,testpattern,S1,ssl,68,0.636673377457829,0.6210794907749585,-0.01559388668287054
testpattern0,testpattern,S1,heart_light,34,0.6934932020339789,0.6210794907749585,-0.07241371125902041
testpattern0,testpattern,S2,global_prior,0,0.6401827689136727,0.6401827689136727,0.0
testpattern0,testpattern,S2,same_subject_temporal_label,0,0.574422483341853,0.6401827689136727,0.06576028557181968
testpattern0,testpattern,S2,activity_steps,105,0.6136382049742971,0.6401827689136727,0.026544563939375543
testpattern0,testpattern,S2,location_context,220,0.6936595321466942,0.6401827689136727,-0.05347676323302153
testpattern0,testpattern,S2,screen_phone,220,0.6441079208154629,0.6401827689136727,-0.003925151901790214
testpattern0,testpattern,S2,routine_axes,92,0.6692853766268092,0.6401827689136727,-0.029102607713136552
testpattern0,testpattern,S2,ssl,68,0.6326249181757119,0.6401827689136727,0.007557850737960781
testpattern0,testpattern,S2,heart_light,34,0.709382572719425,0.6401827689136727,-0.0691998038057523
testpattern0,testpattern,S3,global_prior,0,0.6410914513287508,0.6410914513287508,0.0
testpattern0,testpattern,S3,same_subject_temporal_label,0,0.5690485001281906,0.6410914513287508,0.07204295120056015
