model,subset,n_features,k,C,fold_id,mean_logloss,logloss_Q1,logloss_Q2,logloss_Q3,logloss_S1,logloss_S2,logloss_S3,logloss_S4
topk_semantic_selectk_logistic,topamb_only,1280,50,0.03,chrono_last_25,0.6526133511895168,0.6755915433559389,0.6945036628778231,0.6943021547649477,0.6005008490971919,0.6522782808590968,0.6193100627581369,0.6318069046134822
topk_semantic_selectk_logistic,topamb_only,1280,50,0.03,chrono_last_20,0.6541285532543455,0.6663068641119071,0.70803061517294,0.7055557929625466,0.6015166243242561,0.6533049081057968,0.6431192107669111,0.6010658573360613
topk_semantic_selectk_logistic,topamb_only,1280,100,0.03,chrono_last_25,0.6561360451355479,0.6785367526223173,0.6977998591701714,0.7070255999171364,0.6191465997829525,0.643270221200529,0.608868216170985,0.6383050670847447
topk_semantic_selectk_logistic,no_flat_no_routine_top,3436,20,0.003,chrono_last_20,0.6564705227349649,0.6602758598632301,0.69207445304242,0.7158874799342618,0.5560319433082732,0.6815560472810452,0.6961381672179475,0.5933297084975763
topk_semantic_selectk_logistic,topamb_only,1280,10,0.03,chrono_last_25,0.6565360534461014,0.6746374265215751,0.6958051873970224,0.6836409625930034,0.5969318885633028,0.6517954001576972,0.6415681290458795,0.6513733798442294
topk_semantic_selectk_logistic,topapp_only,1552,20,0.03,chrono_last_20,0.6566021888675361,0.664360390721602,0.6682933556250183,0.7388684377352981,0.5547725793376332,0.6784079882503824,0.6961381676035863,0.5953744027992317
topk_semantic_selectk_logistic,no_flat_no_routine_top,3436,20,0.001,chrono_last_20,0.6570508877569866,0.660622036058201,0.6897172233485674,0.7125309790016604,0.5654614752126662,0.6815560461574827,0.696138166360966,0.5933302881593622
topk_semantic_selectk_logistic,topamb_only,1280,50,0.01,chrono_last_25,0.657184655010954,0.6800114580376562,0.6935324271805938,0.6974424140864104,0.6124090058824643,0.6543205676987434,0.6288539991889566,0.6337227130018532
topk_semantic_selectk_logistic,topamb_only,1280,100,0.01,chrono_last_25,0.6572910331843532,0.6851369552069937,0.6978229769911485,0.7031347602633572,0.631667553184031,0.6376745208934592,0.6196828454799052,0.6259176202715785
topk_semantic_selectk_logistic,topamb_only,1280,10,0.03,chrono_last_20,0.6574308336989347,0.6655364233082764,0.7075751653468692,0.6905509829366014,0.5929485910164893,0.6721189666886894,0.6605728554307503,0.6127128511648672
