token,column_used,n_present,raw_rate_present,raw_rate_absent,raw_lift,ll_base_subj_cov,ll_with_token,auc_base_subj_cov,auc_with_token,delta_ll,delta_auc,beta_token_after_controls,survives_strong,survives_any
usage_app_name:카카오 T,usage_app_name:카카오 T,50,0.7,0.5425,0.15749999999999997,0.5771665784725549,0.5693603546881654,0.7581770081770082,0.7643498476831809,-0.007806223784389554,0.006172839506172756,0.3963884953918376,True,True
wifi_bssid:b4:a9:4f:3f:32:5b,wifi_bssid:b4:a9:4f:3f:32:5b,60,0.8,0.5230769230769231,0.27692307692307694,0.5771665784725549,0.5702791205558368,0.7581770081770082,0.7704826038159373,-0.006887457916718076,0.012305595638929079,0.3639009941387674,True,True
wifi_bssid:60:29:d5:4a:47:d3,wifi_bssid:60:29:d5:4a:47:d3,63,0.8253968253968254,0.5167958656330749,0.30860095976375046,0.5771665784725549,0.5700916642525699,0.7581770081770082,0.7659531826198493,-0.007074914219985073,0.007776174442841177,0.33182697177423587,True,True
usage_app_name:Google Play 서비스,usage_app_name:Google Play 서비스,79,0.4430379746835443,0.5849056603773585,-0.1418676856938142,0.5771665784725549,0.5757640341490239,0.7581770081770082,0.7580367163700497,-0.0014025443235310409,-0.00014029180695851462,-0.27305939435649296,True,True
usage_app_name:LG ThinQ,usage_app_name:LG ThinQ,61,0.36065573770491804,0.5912596401028277,-0.23060390239790968,0.5771665784725549,0.5605661166891975,0.7581770081770082,0.7704024370691038,-0.01660046178335739,0.012225428892095658,-0.25371365483978175,True,True
wifi_bssid:94:53:30:29:33:cc,wifi_bssid:94:53:30:29:33:cc,56,0.7857142857142857,0.5279187817258884,0.25779550398839735,0.5771665784725549,0.5740182024566628,0.7581770081770082,0.759359467692801,-0.0031483760158921292,0.0011824595157928774,0.1698194489724896,False,True
wifi_bssid:70:5d:cc:11:99:ac,wifi_bssid:70:5d:cc:11:99:ac,74,0.7702702702702703,0.5186170212765957,0.2516532489936746,0.5771665784725549,0.5702839003720939,0.7581770081770082,0.7684784351451018,-0.006882678100461059,0.010301426968093663,0.1318029349998231,False,True
wifi_bssid:80:ca:4b:59:3b:52,wifi_bssid:80:ca:4b:59:3b:52,67,0.8059701492537313,0.5169712793733682,0.28899886988036316,0.5771665784725549,0.5752255443187717,0.7581770081770082,0.7619248035914703,-0.0019410341537832165,0.0037477954144621295,0.12273334053970295,False,True
wifi_bssid:50:46:ae:5f:2e:14,wifi_bssid:50:46:ae:5f:2e:14,61,0.8032786885245902,0.5218508997429306,0.2814277887816595,0.5771665784725549,0.5784027272379674,0.7581770081770082,0.759479717813051,0.0012361487654124481,0.0013027096360428425,0.1131461332736954,False,False
wifi_bssid:00:07:89:28:de:d9,wifi_bssid:00:07:89:28:de:d9,53,0.7924528301886793,0.5289672544080605,0.2634855757806188,0.5771665784725549,0.5801307452824818,0.7581770081770082,0.7549102132435466,0.002964166809926838,-0.003266794933461603,0.11106566889169024,False,False
usage_app_name:시계,usage_app_name:시계,331,0.5196374622356495,0.6722689075630253,-0.15263144532737571,0.5771665784725549,0.5770122660611099,0.7581770081770082,0.7596801346801347,-0.0001543124114450345,0.0015031265031265617,-0.10438947404560357,False,True
wifi_bssid:08:5d:dd:8b:94:91,wifi_bssid:08:5d:dd:8b:94:91,83,0.7469879518072289,0.5177111716621253,0.22927678014510355,0.5771665784725549,0.5745344070908607,0.7581770081770082,0.7593795093795093,-0.0026321713816942482,0.001202501202501094,0.0700473050226211,False,True
wifi_bssid:9e:7b:ef:5a:2f:35,wifi_bssid:9e:7b:ef:5a:2f:35,86,0.7558139534883721,0.5137362637362637,0.24207768975210842,0.5771665784725549,0.570043562830628,0.7581770081770082,0.767917267917268,-0.007123015641926966,0.009740259740259827,0.053134895591615106,False,True
wifi_bssid:ee:5c:68:90:0c:eb,wifi_bssid:ee:5c:68:90:0c:eb,51,0.803921568627451,0.5288220551378446,0.2750995134896064,0.5771665784725549,0.5765761988006157,0.7581770081770082,0.7603615520282188,-0.0005903796719392007,0.0021845438512105853,0.04792473668315831,False,False
