candidate,file,gamma,mean_abs_move_v83,max_abs_move_v83,dmean_Q1,dmean_Q2,dmean_Q3,dmean_S1,dmean_S2,dmean_S3,dmean_S4
axis1_bcg_s1s3_g030,/Users/kbsoo/Downloads/dacon/etri/cl/outputs/submission_goal_breakthrough_axis1_bcg_s1s3_g030_prob.csv,0.03,0.001379728867524378,0.012776177849516679,0.0,0.0,0.0,-0.0007474035998562556,0.0,-0.0008418618988722537,0.0
axis1_bcg_s1s3_g050,/Users/kbsoo/Downloads/dacon/etri/cl/outputs/submission_goal_breakthrough_axis1_bcg_s1s3_g050_prob.csv,0.05,0.0022944925885159525,0.02124903852330612,0.0,0.0,0.0,-0.0012690636118154464,0.0,-0.0014171128778081021,0.0
axis2_twofactor_qonly_g030,/Users/kbsoo/Downloads/dacon/etri/cl/outputs/submission_goal_breakthrough_axis2_twofactor_qonly_g030_prob.csv,0.03,0.0024631975407698723,0.012894804700227414,-4.425951644526638e-05,-0.0001806686119597556,-0.00016823928911846586,0.0,0.0,0.0,0.0
axis3_lag_core_g030,/Users/kbsoo/Downloads/dacon/etri/cl/outputs/submission_goal_breakthrough_axis3_lag_core_g030_prob.csv,0.03,0.003685198714194848,0.012965133472009449,-0.0001738898426640878,-0.0003713081378553529,-0.00014903000767674257,-0.0007517638100712487,0.0,-0.0006335469072489275,0.0
combo_bcg_lag_core_g030,/Users/kbsoo/Downloads/dacon/etri/cl/outputs/submission_goal_breakthrough_combo_bcg_lag_core_g030_prob.csv,0.03,0.0037007543356869033,0.012965133472009449,-0.0001738898426640878,-0.0003713081378553529,-0.00014903000767674257,-0.0009696972792643255,0.0,-0.0009983607594767907,0.0
combo_twofactor_bcg_lag_g030,/Users/kbsoo/Downloads/dacon/etri/cl/outputs/submission_goal_breakthrough_combo_twofactor_bcg_lag_g030_prob.csv,0.03,0.0038036673458941364,0.012870334283518525,-0.00012171186224485542,-0.0003236362813338056,-0.00019932082631568537,-0.0009696972792643255,0.0,-0.0009983607594767907,0.0
axis2_twofactor_qs_g030,/Users/kbsoo/Downloads/dacon/etri/cl/outputs/submission_goal_breakthrough_axis2_twofactor_qs_g030_prob.csv,0.03,0.003842926408294251,0.012894804700227414,-4.425951644526638e-05,-0.0001806686119597556,-0.00016823928911846586,-0.0007474035998562556,0.0,-0.0008418618988722537,0.0
axis1_bcg_s1s3_g100_stress,/Users/kbsoo/Downloads/dacon/etri/cl/outputs/submission_goal_breakthrough_axis1_bcg_s1s3_g100_stress_prob.csv,0.1,0.004562832822964096,0.04241376171214861,0.0,0.0,0.0,-0.002652076386401192,0.0,-0.002901351495300797,0.0
axis3_lag_all_g030,/Users/kbsoo/Downloads/dacon/etri/cl/outputs/submission_goal_breakthrough_axis3_lag_all_g030_prob.csv,0.03,0.005118588014772374,0.012965133472009449,-0.0001738898426640878,-0.0003713081378553529,-0.00014903000767674257,-0.0007517638100712487,-0.0010734201940014731,-0.0006335469072489275,-0.0002067566663782605
axis3_lag_core_g050,/Users/kbsoo/Downloads/dacon/etri/cl/outputs/submission_goal_breakthrough_axis3_lag_core_g050_prob.csv,0.05,0.00613045558307864,0.021580612039462155,-0.00028718797807303353,-0.000627147285482299,-0.0002643693867937502,-0.001274352202247031,0.0,-0.0010737524345144633,0.0
axis2_twofactor_qs_g050,/Users/kbsoo/Downloads/dacon/etri/cl/outputs/submission_goal_breakthrough_axis2_twofactor_qs_g050_prob.csv,0.05,0.006395596944954944,0.021509010371820736,-7.659603468301857e-05,-0.00031565643035180724,-0.00029920793396798206,-0.0012690636118154464,0.0,-0.0014171128778081021,0.0
axis3_lag_core_g100_stress,/Users/kbsoo/Downloads/dacon/etri/cl/outputs/submission_goal_breakthrough_axis3_lag_core_g100_stress_prob.csv,0.1,0.012200010234957306,0.042984624460415066,-0.0005603892345440453,-0.0012941209971905066,-0.0006078719034007252,-0.002652555105164156,0.0,-0.0022343175592700604,0.0
