family,model,ll_mean,ll_mean_Q,ll_mean_Q2Q3,ll_Q1,ll_Q2,ll_Q3,ll_S4,delta_ll_mean_vs_anchor,delta_ll_mean_Q2Q3_vs_anchor,delta_ll_Q1_vs_anchor,delta_ll_Q2_vs_anchor,delta_ll_Q3_vs_anchor,delta_ll_S4_vs_anchor
chrono_tail,anchor_subject_prior,0.6379682394435767,0.6766733305928422,0.6785095795165575,0.6730008327454114,0.6760619689930207,0.6809571900400946,0.6550269367376295,0.0,0.0,0.0,0.0,0.0,0.0
chrono_tail,event_capped_q1q2q3s4,0.6368702594736411,0.6774078143878334,0.6777724598807593,0.6766785234019818,0.6674565591409864,0.6880883606205321,0.6451376255631059,-0.0010979799699356585,-0.0007371196357982557,0.0036776906565703094,-0.008605409852034285,0.007131170580437551,-0.009889311174523518
chrono_tail,event_raw_q1q2q3s4,0.7913088315893839,0.9857892130064435,0.9521949228663743,1.0529777932865823,0.9477167281995286,0.9566731175332199,0.8010634345174763,0.1533405921458072,0.27368534334981676,0.3799769605411708,0.27165475920650783,0.27571592749312535,0.14603649777984684
chrono_tail,neighbor_k3_canary,0.9696760508628829,1.141993651975578,1.1167567556347409,1.1924674446572527,1.1194536996270905,1.1140598116423914,0.8709814866980228,0.33170781141930616,0.4382471761181833,0.5194666119118413,0.4433917306340698,0.43310262160229684,0.21595454996039332
hole_v1,anchor_subject_prior,0.6259292009465633,0.6756035483712749,0.6698716769808725,0.6870672911520804,0.6743834755084098,0.665359878453335,0.6479128302720368,0.0,0.0,0.0,0.0,0.0,0.0
hole_v1,event_capped_q1q2q3s4,0.6176538079037935,0.6561814173809054,0.6444773893219286,0.6795894734988591,0.6390764933487594,0.6498782852950976,0.6482514719437581,-0.008275393042769807,-0.025394287658943915,-0.007477817653221308,-0.035306982159650446,-0.015481593158237383,0.0003386416717212626
hole_v1,event_raw_q1q2q3s4,0.6982407749997991,0.7712971940449999,0.7176523008672785,0.8785869804004425,0.7114130008932356,0.7238916008413213,0.8670129116235121,0.07231157405323574,0.047780623886406026,0.19151968924836205,0.037029525384825734,0.05853172238798632,0.2191000813514753
hole_v1,neighbor_k3_canary,0.8118003839956707,0.855432949765126,0.8006996477930542,0.9648995537092695,0.818728160065331,0.7826711355207774,0.9253023156777931,0.18587118304910732,0.13082797081218178,0.27783226255718907,0.14434468455692118,0.11731125706744239,0.27738948540575625
mirror_v1,anchor_subject_prior,0.6422881793667109,0.6945668476577237,0.6987892867607006,0.6861219694517698,0.7072722380713284,0.6903063354500728,0.643608459135629,0.0,0.0,0.0,0.0,0.0,0.0
mirror_v1,event_capped_q1q2q3s4,0.6425097314918594,0.6969686776978435,0.70398553713202,0.6829349588294904,0.7151642492257847,0.6928068250382551,0.6379538338913088,0.0002215521251485164,0.005196250371319322,-0.0031870106222794403,0.007892011154456258,0.0025004895881822753,-0.005654625244320255
mirror_v1,event_raw_q1q2q3s4,0.7680072857323123,0.9489255837996516,0.9305408125156815,0.9856951263675918,0.9394618072117661,0.921619817819597,0.7605659952690543,0.12571910636560135,0.23175152575498092,0.299573156915822,0.23218956914043765,0.2313134823695242,0.1169575361334253
mirror_v1,neighbor_k3_canary,0.924489947432875,1.063053605925745,1.0687188928437152,1.0517230320898043,1.0836136737758728,1.053824111911558,0.8301751276354749,0.28220176806616415,0.3699296060830146,0.3656010626380345,0.37634143570454437,0.3635177764614851,0.18656666849984582
