target,subset,n_features,k,C,mean_logloss,std_logloss
Q2,day_flat,576,20,0.01,0.6341280809974223,0.009264612971853776
Q2,day_flat,576,20,0.03,0.6375550296713643,0.011151238864232367
Q2,day_flat,576,20,0.003,0.6395642861551912,0.008330271745709083
Q2,day_flat,576,10,0.01,0.644580497428965,0.006981494930405123
Q2,day_flat,576,10,0.03,0.6457034836227034,0.0068557286989187225
Q2,day_flat,576,20,0.1,0.6468268936466138,0.013983473279568653
Q2,day_flat,576,20,0.001,0.6468596737049414,0.007107546932572364
Q2,day_flat,576,10,0.003,0.6479407769595075,0.006716547936084579
Q2,day_flat,576,10,0.1,0.6482120277392847,0.00861351091692561
Q2,day_flat,576,50,0.003,0.6516581928753903,0.019312891066159826
Q2,day_flat,576,50,0.001,0.6517162796389256,0.015024682881995901
Q2,day_flat,576,10,0.001,0.6521397963344913,0.005712817993304917
Q2,sleep_plus_s4x,800,5,0.03,0.6538531617122971,0.01602590051434642
Q2,sleep_plus_s4x,800,5,0.1,0.6543677789296606,0.016829044349441637
Q2,day_flat,576,5,0.1,0.6563026466498362,0.013973594531552854
Q2,day_flat,576,5,0.03,0.6575619673032016,0.012433260607244635
Q2,sleep_plus_s4x,800,5,0.01,0.6587087851610637,0.012108588745336732
Q2,day_flat,576,100,0.001,0.6593375783587193,0.008839003950056532
Q2,day_flat,576,100,0.003,0.6597989100358056,0.011111751827085159
Q2,sleep_only,324,5,0.1,0.6601028866526247,0.0033207985571567303
Q2,day_flat,576,5,0.01,0.6601399420971003,0.011313996386052355
Q2,day_flat,576,50,0.01,0.6603370442999638,0.01843691772695751
Q2,sleep_only,324,5,0.03,0.663770257868237,0.0028711203235091834
Q2,day_flat,576,5,0.003,0.6649213100782657,0.01267683247371971
Q2,day_flat,576,5,0.001,0.6683133369460036,0.014354174629685208
Q2,day_flat,576,100,0.01,0.6690416752014295,0.009894058646281064
Q2,sleep_plus_s4x,800,10,0.03,0.6691268531794566,0.009421385442357134
Q2,sleep_only,324,5,0.01,0.670121884166483,0.0018843203116028714
Q2,sleep_plus_s4x,800,10,0.01,0.6704632697782386,0.008559417818705034
Q2,sleep_plus_s4x,800,10,0.1,0.6709042413910304,0.010099640372350204
Q2,sleep_plus_s4x,800,5,0.003,0.671126936845571,0.006010153423200196
Q2,sleep_plus_s4x,800,50,0.001,0.6735823649825755,0.007941552725351174
Q2,sleep_plus_s4x,800,10,0.003,0.6753098179220248,0.006019448765267362
Q2,sleep_plus_s4x,800,50,0.003,0.6754352414666284,0.011806926079889387
Q2,crossnight_flat,1216,10,0.01,0.6759847925530821,0.006592375912761823
Q2,sleep_plus_s4x,800,20,0.03,0.6764235973927372,0.01608763029752765
Q2,sleep_plus_s4x,800,20,0.01,0.6766162319817727,0.012654998238260651
