target,subset,k,C,ncols,mean,std,fold0,fold1,fold2
Q1,semantic_only,50,0.03,260,0.6337353494261964,0.014922551897206092,0.6129752871032171,0.6473999950166149,0.6408307661587569
Q1,q1qual+semantic,50,0.03,276,0.6355947062943733,0.01514736422939481,0.6149877430288967,0.6509656096954665,0.6408307661587569
Q1,semantic_only,10,0.001,260,0.6411720641992208,0.008638064123602051,0.628968657635985,0.6477553055317434,0.6467922294299343
Q1,q1qual+semantic,10,0.001,276,0.6411720641992208,0.008638064123602051,0.628968657635985,0.6477553055317434,0.6467922294299343
Q1,q1qual+semantic+cnproto,50,0.03,309,0.6426444469657454,0.015769031030032937,0.6259473845062243,0.6637953056540719,0.6381906507369398
Q1,semantic_only,10,0.003,260,0.6455727235858763,0.012690334027610826,0.6277176407011591,0.6560699395115005,0.6529305905449693
Q1,q1qual+semantic,10,0.003,276,0.6455727235858763,0.012690334027610826,0.6277176407011591,0.6560699395115005,0.6529305905449693
Q1,semantic_only,15,0.003,260,0.6461388126296685,0.012447005659566605,0.6286676965198075,0.656735016067454,0.6530137253017442
Q1,q1qual+semantic,15,0.003,276,0.6461388126296685,0.012447005659566605,0.6286676965198075,0.656735016067454,0.6530137253017442
Q1,q1qual+semantic+cnproto,15,0.003,309,0.6481657549894732,0.01209921763280142,0.6310872898262794,0.657616646356484,0.655793328785656
Q1,q1qual+semantic+cnproto,10,0.001,309,0.6492452780116693,0.01198803553036821,0.6323339288212262,0.6587373865098634,0.6566645187039183
Q1,q1qual+semantic+cnproto,10,0.003,309,0.6522741867124299,0.01698744380063962,0.6283880421481416,0.666441881144575,0.661992636844573
Q1,semantic_only,20,0.01,260,0.6592983041916819,0.014806339927611495,0.6385594157206108,0.6721708328877037,0.6671646639667314
Q1,q1qual+semantic,20,0.01,276,0.6592983041916819,0.014806339927611495,0.6385594157206108,0.6721708328877037,0.6671646639667314
Q1,semantic_only,30,0.01,260,0.660227246189514,0.014484481988455018,0.641481360558637,0.6767517032953931,0.6624486747145119
Q1,q1qual+semantic,30,0.01,276,0.660227246189514,0.014484481988455018,0.641481360558637,0.6767517032953931,0.6624486747145119
Q1,q1qual+semantic+cnproto,20,0.01,309,0.6622025225210176,0.016003513983147574,0.6396711640438473,0.6753180946195094,0.6716183088996961
Q1,q1qual+semantic+cnproto,30,0.01,309,0.6633622029168516,0.015458506763476513,0.6415618937142037,0.675679409400213,0.6728453056361378
Q1,q1qual+cnproto,15,0.003,49,0.6934364650959273,0.0012362601539831746,0.6924981974933571,0.6926280038197465,0.6951831939746783
Q1,q1qual+cnproto,10,0.001,49,0.6935237960627996,0.0005372100600906829,0.6930979167203211,0.6931918852387362,0.6942815862293414
Q1,q1qual+cnproto,10,0.003,49,0.6941391345520732,0.0012261418804995173,0.6931500765578558,0.6934001891555569,0.6958671379428067
Q1,q1qual+cnproto,20,0.01,49,0.6973656526422095,0.0031729176161982443,0.6998463320008416,0.6993634886435064,0.6928871372822802
Q1,q1qual+cnproto,30,0.01,49,0.7008284279507562,0.002300346973246525,0.6991804826016048,0.699223285273883,0.7040815159767807
Q1,q1qual+cnproto,50,0.03,49,0.7037559192025254,0.004123382320264184,0.706869798748334,0.706468784843132,0.6979291740161102
Q1,q1qual,10,0.001,16,0.705598615280139,0.0022219517959639196,0.7085697007285865,0.7049991273617252,0.7032270177501054
Q1,q1qual,10,0.003,16,0.7084509847799488,0.0027852072893245444,0.7120601516561179,0.7080126023928572,0.7052802002908718
Q1,q1qual,50,0.03,16,0.7144587949599623,0.005924465789342454,0.7202287156434978,0.7168350088039555,0.7063126604324338
Q1,q1qual,15,0.003,16,0.7157501036802526,0.004759159522251713,0.7215498559434004,0.715807684953603,0.7098927701437542
Q1,q1qual,20,0.01,16,0.7170142175790671,0.005380385040521796,0.7232633438513454,0.717649193031804,0.7101301158540521
Q1,q1qual,30,0.01,16,0.7170142175790671,0.005380385040521796,0.7232633438513454,0.717649193031804,0.7101301158540521
Q2,day_flat,20,0.01,576,0.6341280809974223,0.009264612971853776,0.6233742706141666,0.6330229917461263,0.6459869806319742
Q2,day_flat,20,0.003,576,0.6395642861551912,0.008330271745709083,0.6288210313808683,0.6407493876942861,0.6491224393904192
Q2,day_flat,40,0.01,576,0.6473264440005236,0.020704653613401267,0.6430298247672646,0.624391326434057,0.6745581808002493
Q2,day_flat,10,0.001,576,0.6521397963344913,0.005712817993304917,0.6443547892442162,0.6541615560194977,0.6579030437397598
Q2,day_flat,100,0.01,576,0.6690416752014295,0.009894058646281064,0.6693100669780073,0.6567920111366825,0.681022947489599
