config,k,n_cols,avg_logloss,avg_auc,avg_acc,chrono_last_20,chrono_last_25,chrono_last_30,best_Cs
dino_k4_cluster_only,4,10,0.6473117946881856,0.6119199582822449,0.6376256525510257,0.6463537217012245,0.6402879597238931,0.655293702639439,"{""chrono_last_20"": 1.0, ""chrono_last_25"": 1.0, ""chrono_last_30"": 0.3}"
dino_k3_cluster_only,3,8,0.6479033445677532,0.6178843870579461,0.633962648888022,0.6498286713191299,0.6415149197384082,0.6523664426457215,"{""chrono_last_20"": 1.0, ""chrono_last_25"": 1.0, ""chrono_last_30"": 1.0}"
dino_k5_cluster_only,5,12,0.650773421013444,0.5888134302795257,0.6327872074140731,0.6503453863637199,0.6446579766324567,0.6573169000441553,"{""chrono_last_20"": 0.3, ""chrono_last_25"": 1.0, ""chrono_last_30"": 0.3}"
dino_k6_cluster_only,6,14,0.6526983134865779,0.6139479344823416,0.6376256525510257,0.6533662907048948,0.6479271096129575,0.6568015401418812,"{""chrono_last_20"": 0.1, ""chrono_last_25"": 0.3, ""chrono_last_30"": 0.3}"
dino_k8_cluster_only,8,18,0.6547917018452868,0.6054651500057019,0.6431162177430835,0.6563959714852126,0.6509481852529757,0.6570309487976723,"{""chrono_last_20"": 0.1, ""chrono_last_25"": 0.3, ""chrono_last_30"": 0.3}"
dino_k9_cluster_only,9,20,0.6562754207749109,0.6113195192455835,0.6401132147400804,0.658149811117296,0.6521015080085901,0.6585749431988462,"{""chrono_last_20"": 0.1, ""chrono_last_25"": 0.3, ""chrono_last_30"": 0.3}"
dino_k10_cluster_only,10,22,0.6573645725267584,0.5809256927618281,0.627956642882016,0.655344893888285,0.6538810285193536,0.6628677951726368,"{""chrono_last_20"": 0.1, ""chrono_last_25"": 0.1, ""chrono_last_30"": 0.1}"
dino_k7_cluster_only,7,16,0.657606119876582,0.5626194228251625,0.633962648888022,0.6580321491002274,0.6532277068589641,0.6615585036705545,"{""chrono_last_20"": 0.1, ""chrono_last_25"": 0.1, ""chrono_last_30"": 0.1}"
sleep_plus_dino_k3_fixed_all,3,332,0.7141619155706449,0.5620588007638395,0.5773503534697565,0.726176433368967,0.7163619452429044,0.6999473681000634,"{""chrono_last_20"": 0.1, ""chrono_last_25"": 0.01, ""chrono_last_30"": 0.03}"
sleep_plus_dino_k4_fixed_all,4,334,0.7141619155706449,0.5620588007638395,0.5773503534697565,0.726176433368967,0.7163619452429044,0.6999473681000634,"{""chrono_last_20"": 0.1, ""chrono_last_25"": 0.01, ""chrono_last_30"": 0.03}"
sleep_plus_dino_k5_fixed_all,5,336,0.7141619155706449,0.5620588007638395,0.5773503534697565,0.726176433368967,0.7163619452429044,0.6999473681000634,"{""chrono_last_20"": 0.1, ""chrono_last_25"": 0.01, ""chrono_last_30"": 0.03}"
sleep_plus_dino_k6_fixed_all,6,338,0.7141619155706449,0.5620588007638395,0.5773503534697565,0.726176433368967,0.7163619452429044,0.6999473681000634,"{""chrono_last_20"": 0.1, ""chrono_last_25"": 0.01, ""chrono_last_30"": 0.03}"
sleep_plus_dino_k7_fixed_all,7,340,0.7141619155706449,0.5620588007638395,0.5773503534697565,0.726176433368967,0.7163619452429044,0.6999473681000634,"{""chrono_last_20"": 0.1, ""chrono_last_25"": 0.01, ""chrono_last_30"": 0.03}"
sleep_plus_dino_k8_fixed_all,8,342,0.7141619155706449,0.5620588007638395,0.5773503534697565,0.726176433368967,0.7163619452429044,0.6999473681000634,"{""chrono_last_20"": 0.1, ""chrono_last_25"": 0.01, ""chrono_last_30"": 0.03}"
sleep_plus_dino_k9_fixed_all,9,344,0.7141619155706449,0.5620588007638395,0.5773503534697565,0.726176433368967,0.7163619452429044,0.6999473681000634,"{""chrono_last_20"": 0.1, ""chrono_last_25"": 0.01, ""chrono_last_30"": 0.03}"
sleep_plus_dino_k10_fixed_all,10,346,0.7141619155706449,0.5620588007638395,0.5773503534697565,0.726176433368967,0.7163619452429044,0.6999473681000634,"{""chrono_last_20"": 0.1, ""chrono_last_25"": 0.01, ""chrono_last_30"": 0.03}"
