transition,family,n_events,n_feature_deltas,mean_delta_z,mean_abs_delta_z
0->1,ssl,9,1700,0.0026514307220441577,1.0247329952580426
0->1,heart_light,9,1156,0.06015036603507491,0.7512887509877828
0->1,sleep_episode,9,68,0.10866813106633771,0.727354187029169
0->1,activity_steps,9,1700,-0.08480751271691056,0.7074556016957877
0->1,screen_phone,9,1700,-0.02167199465716022,0.5542125291485505
0->1,location_context,9,1700,0.16536762352264672,0.5533739604629877
0->1,routine_axes,9,1700,-0.024242117014352214,0.503860660333124
0->2,heart_light,9,1666,0.08916548788523532,0.869691433617007
0->2,ssl,9,2450,0.06784925689120638,0.8429753051424528
0->2,activity_steps,9,2450,0.14684273365971087,0.7692713219659174
0->2,screen_phone,9,2450,0.11584607766562262,0.6028795329510791
0->2,routine_axes,9,2450,0.04041491759099396,0.5586167137733598
0->2,sleep_episode,9,98,0.10907910305726876,0.5486300940389723
0->2,location_context,9,2450,-0.1262785437832269,0.3928960791216418
1->0,sleep_episode,10,66,0.037173761140087226,0.9110679496931319
1->0,ssl,10,1650,0.024433848921953553,0.879801883841931
1->0,heart_light,10,1122,-0.19557267304123196,0.856567252542431
1->0,activity_steps,10,1650,0.02030785662952362,0.8202124074608197
1->0,location_context,10,1650,-0.21541834312495367,0.6107928623798924
1->0,screen_phone,10,1650,-0.10609470964944354,0.5819944435828032
1->0,routine_axes,10,1650,0.0026540033691632107,0.48384490089632093
1->2,ssl,8,1850,0.042960137559808015,0.7853029869968612
1->2,heart_light,8,1258,0.06529174042376047,0.7308428516955745
1->2,screen_phone,8,1850,0.08863053146760208,0.6565802782100691
1->2,activity_steps,8,1850,0.039406350833842745,0.6461613376476699
1->2,sleep_episode,8,74,-0.002926361789543068,0.6350937893758537
1->2,routine_axes,8,1850,-0.02656179518652553,0.49162903328692364
1->2,location_context,8,1850,-0.09203473048827546,0.4200273320553812
2->0,ssl,10,2450,-0.0800209708757677,0.8872412947586509
2->0,sleep_episode,10,98,-0.006629105278352662,0.7120019101319016
2->0,activity_steps,10,2450,0.02251275878982563,0.7018741609763274
2->0,screen_phone,10,2450,-0.03565350340999495,0.6770109117074503
2->0,heart_light,10,1666,-0.03897298122888198,0.6374377881744765
2->0,routine_axes,10,2450,0.007866665696971973,0.5656858317421879
2->0,location_context,10,2450,0.042289664088448475,0.45860097934037397
2->1,ssl,9,1750,0.04229991684925507,0.8636092203873809
2->1,sleep_episode,9,70,0.06910521942823832,0.7548521583503466
2->1,screen_phone,9,1750,-0.10777405231585623,0.6861958488315304
2->1,heart_light,9,1190,-0.038512110019561195,0.6791219386625701
2->1,activity_steps,9,1750,-0.04548127651518996,0.6634773205233653
2->1,routine_axes,9,1750,0.015420705008199325,0.473588567742777
2->1,location_context,9,1750,-0.03941096432755332,0.43039025848881324
