family,target,candidate,mode,mean_delta,std_delta,mean_coverage,mean_move
chrono_tail,Q1,nn_rest_boundary,top20_w075,-0.04152787420103269,0.005366807042776114,0.2058303177706163,0.17661117196617207
chrono_tail,Q1,nn_rest_boundary,top30_w060,-0.039735115653299534,0.004594713524879322,0.3041686922283937,0.1289770666912218
chrono_tail,S4,nn_identity_token,top50_w050,-0.034855171817800325,0.010386383323878761,0.5420090420090421,0.10132661446006337
chrono_tail,Q1,nn_rest_boundary,top50_w050,-0.031876189685607424,0.00743162329637199,0.5033330033330033,0.09221866505635963
chrono_tail,Q1,nn_rest_boundary,top10_w090,-0.030191428501200896,0.007845613429537525,0.10749194331283884,0.23631363433339336
chrono_tail,Q1,nn_semantic_app,top30_w060,-0.029778230364408187,0.003283073307679388,0.3041686922283937,0.13846474037503104
chrono_tail,Q1,nn_semantic_app,top10_w090,-0.02961560149743266,0.0075086335853752585,0.10749194331283884,0.26915910347465166
chrono_tail,Q1,nn_semantic_app,top20_w075,-0.028083739116233703,0.007739264429789193,0.2058303177706163,0.1903721435685004
chrono_tail,Q1,near_date_peer_w7,top10_w090,-0.02550728719890331,0.007923368135549341,0.12448696030785582,0.29578990551486495
chrono_tail,S4,nn_identity_token,top30_w060,-0.024838094363079415,0.015264664305888779,0.3091438166065032,0.1414423626277045
chrono_tail,Q2,near_date_peer_w3,top50_w050,-0.022157058676740227,0.01410192734384734,0.5033330033330033,0.13095461408573925
chrono_tail,Q1,nn_semantic_app,top50_w050,-0.021998981566174303,0.00411322851490229,0.5033330033330033,0.0974478137260648
chrono_tail,S4,nn_identity_token,top10_w090,-0.021579043122174846,0.01272333459363698,0.1771436846063712,0.24977379012751347
chrono_tail,S4,nn_identity_token,top20_w075,-0.021420009596401852,0.018384285095843028,0.24680675426944085,0.180701673205886
chrono_tail,S1,nn_rest_boundary,top50_w050,-0.02089628768552476,0.003276812630507258,0.5033330033330033,0.0805450504696248
chrono_tail,S4,nn_identity_token,blend_all_w025,-0.02068230542950707,0.00464468778333065,1.0,0.04006971933138754
chrono_tail,Q1,nn_rest_boundary,blend_all_w025,-0.020048641989342492,0.004085052082427662,1.0,0.03373050176636511
chrono_tail,S1,nn_semantic_app,top30_w060,-0.019181246225450848,0.0031164673613616987,0.3041686922283937,0.1023504916785765
chrono_tail,Q1,near_date_peer_w7,top20_w075,-0.018819965641907688,0.00223743091928687,0.21080544214872574,0.24277171003019893
chrono_tail,S1,nn_rest_boundary,top30_w060,-0.018778195858634494,0.003993359798899349,0.3041686922283937,0.09241858903442705
chrono_tail,Q2,near_date_peer_w3,blend_all_w025,-0.017298972783384325,0.008094762028512748,1.0,0.04273115116649018
hole_v1,S3,nn_hour_transition,top50_w050,-0.016414875723176108,0.00896962340251603,0.5045045045045045,0.07094459879214367
hole_v1,S3,nn_hour_transition,top20_w075,-0.015875892967554667,0.013019781989045971,0.2072072072072072,0.14893641784714623
chrono_tail,Q1,nn_hour_transition,top30_w060,-0.015560178891314558,0.012263399034487322,0.3041686922283937,0.14631404342870305
chrono_tail,Q1,nn_hour_transition,top50_w050,-0.015060941477517945,0.013079068817723416,0.5033330033330033,0.10671368446669675
chrono_tail,S2,nn_identity_token,blend_all_w025,-0.01482524405360793,0.013497859052661555,1.0,0.035165726197627645
hole_v1,Q3,nn_identity_token,blend_all_w025,-0.01479375960057372,0.007021451984060312,1.0,0.03450972644199246
chrono_tail,Q1,nn_identity_token,blend_all_w025,-0.014323076346726471,0.00113749113337004,1.0,0.03257723028022895
hole_v1,S3,nn_hour_transition,top30_w060,-0.013946597149883907,0.009186045877922808,0.3063063063063063,0.10520798408344705
chrono_tail,Q1,nn_identity_token,top50_w050,-0.013330355151750703,0.0027449092248868637,0.508823568525061,0.08899542305096754
chrono_tail,S1,nn_semantic_app,top20_w075,-0.012565017948378313,0.006072468807464684,0.2058303177706163,0.1428432650602967
chrono_tail,S1,nn_rest_boundary,top20_w075,-0.012215418506957695,0.008128499857159818,0.2058303177706163,0.11904935308628684
mirror_v1,Q3,nn_hour_transition,blend_all_w025,-0.012044856486511879,0.0008453478593021919,1.0,0.04302446511003085
hole_v1,Q1,near_date_peer_w7,top30_w060,-0.010840486965470944,0.011076905422205996,0.3063063063063063,0.09231616964505591
mirror_v1,Q2,nn_rest_boundary,blend_all_w025,-0.010489714206320352,0.0030182818708223507,1.0,0.03486784594956973
chrono_tail,S1,nn_rest_boundary,blend_all_w025,-0.010485381981348444,0.0027727016570061143,1.0,0.03728557120857202
chrono_tail,S4,near_date_peer_w7,top30_w060,-0.010247121901864683,0.008038900975370212,0.31163137879555786,0.14417611479698098
hole_v1,S3,nn_hour_transition,top10_w090,-0.010170215111231581,0.01791605495411293,0.10810810810810811,0.2407937018419255
hole_v1,Q1,near_date_peer_w7,top10_w090,-0.009400576383704728,0.020681107047041816,0.10810810810810811,0.22274341761325347
chrono_tail,Q1,nn_hour_transition,blend_all_w025,-0.009319686876879044,0.006966909725866495,1.0,0.039381622671607185
hole_v1,Q2,nn_identity_token,top50_w050,-0.009099773334443562,0.010261536243602532,0.5045045045045045,0.07225083015775578
hole_v1,Q1,near_date_peer_w7,top50_w050,-0.009036674065312611,0.011192337629259518,0.5045045045045045,0.06553935387240653
