split,target,model,seed,params,k,ncols,logloss,base_logloss
chrono_last_20,Q1,sk_logistic_sameK,-1,51,50,260,0.6169773429002083,0.6169773429002083
chrono_last_20,Q1,torch_linear,0,51,50,260,0.6197869327566925,0.6169773429002083
chrono_last_20,Q1,torch_linear,1,51,50,260,0.6478032058956795,0.6169773429002083
chrono_last_20,Q1,bottleneck_z2,0,105,50,260,0.6719110728808294,0.6169773429002083
chrono_last_20,Q1,bottleneck_z2,1,105,50,260,0.6339584729756758,0.6169773429002083
chrono_last_20,Q1,bottleneck_z4,0,209,50,260,0.6234928909235897,0.6169773429002083
chrono_last_20,Q1,bottleneck_z4,1,209,50,260,0.6101499322573892,0.6169773429002083
chrono_last_20,Q1,bottleneck_z8,0,417,50,260,0.6225351382860395,0.6169773429002083
chrono_last_20,Q1,bottleneck_z8,1,417,50,260,0.6326333385541258,0.6169773429002083
chrono_last_20,Q1,micro_moe_z2_e2,0,114,50,260,0.6405792018271519,0.6169773429002083
chrono_last_20,Q1,micro_moe_z2_e2,1,114,50,260,0.6195602950483546,0.6169773429002083
chrono_last_20,Q1,micro_moe_z4_e2,0,224,50,260,0.6315433410938683,0.6169773429002083
chrono_last_20,Q1,micro_moe_z4_e2,1,224,50,260,0.590233144262816,0.6169773429002083
chrono_last_20,Q1,micro_moe_z4_e3,0,234,50,260,0.6459195969291507,0.6169773429002083
chrono_last_20,Q1,micro_moe_z4_e3,1,234,50,260,0.6220473158958127,0.6169773429002083
chrono_last_20,Q2,sk_logistic_sameK,-1,21,20,576,0.6453954725237822,0.6453954725237822
chrono_last_20,Q2,torch_linear,0,21,20,576,0.6902338999508911,0.6453954725237822
chrono_last_20,Q2,torch_linear,1,21,20,576,0.6458613874913063,0.6453954725237822
chrono_last_20,Q2,bottleneck_z2,0,45,20,576,0.6305356967735203,0.6453954725237822
chrono_last_20,Q2,bottleneck_z2,1,45,20,576,0.6671929217512699,0.6453954725237822
chrono_last_20,Q2,bottleneck_z4,0,89,20,576,0.6899804675682942,0.6453954725237822
chrono_last_20,Q2,bottleneck_z4,1,89,20,576,0.6658307913008308,0.6453954725237822
chrono_last_20,Q2,bottleneck_z8,0,177,20,576,0.68403165428472,0.6453954725237822
chrono_last_20,Q2,bottleneck_z8,1,177,20,576,0.6462334368186491,0.6453954725237822
chrono_last_20,Q2,micro_moe_z2_e2,0,54,20,576,0.6957397356112103,0.6453954725237822
chrono_last_20,Q2,micro_moe_z2_e2,1,54,20,576,0.664128189039748,0.6453954725237822
chrono_last_20,Q2,micro_moe_z4_e2,0,104,20,576,0.6864941841663814,0.6453954725237822
chrono_last_20,Q2,micro_moe_z4_e2,1,104,20,576,0.6548889519754598,0.6453954725237822
chrono_last_20,Q2,micro_moe_z4_e3,0,114,20,576,0.6850265662928295,0.6453954725237822
chrono_last_20,Q2,micro_moe_z4_e3,1,114,20,576,0.6802452409411149,0.6453954725237822
chrono_last_20,Q3,sk_logistic_sameK,-1,11,10,11,0.6473137331648486,0.6473137331648486
chrono_last_20,Q3,torch_linear,0,11,10,11,0.664387625916005,0.6473137331648486
chrono_last_20,Q3,torch_linear,1,11,10,11,0.6589372350583662,0.6473137331648486
chrono_last_20,Q3,bottleneck_z2,0,25,10,11,0.7029639232447891,0.6473137331648486
chrono_last_20,Q3,bottleneck_z2,1,25,10,11,0.686425605720222,0.6473137331648486
chrono_last_20,Q3,bottleneck_z4,0,49,10,11,0.6612704756205041,0.6473137331648486
chrono_last_20,Q3,bottleneck_z4,1,49,10,11,0.6939524553935241,0.6473137331648486
chrono_last_20,Q3,bottleneck_z8,0,97,10,11,0.6694600870770366,0.6473137331648486
chrono_last_20,Q3,bottleneck_z8,1,97,10,11,0.6839287639536648,0.6473137331648486
chrono_last_20,Q3,micro_moe_z2_e2,0,34,10,11,0.6572689261662554,0.6473137331648486
chrono_last_20,Q3,micro_moe_z2_e2,1,34,10,11,0.6752817080099106,0.6473137331648486
chrono_last_20,Q3,micro_moe_z4_e2,0,64,10,11,0.6807802158242579,0.6473137331648486
chrono_last_20,Q3,micro_moe_z4_e2,1,64,10,11,0.689024253812364,0.6473137331648486
chrono_last_20,Q3,micro_moe_z4_e3,0,74,10,11,0.695023485204721,0.6473137331648486
chrono_last_20,Q3,micro_moe_z4_e3,1,74,10,11,0.6850049111682632,0.6473137331648486
chrono_last_20,S1,sk_logistic_sameK,-1,21,20,604,0.5332210678841163,0.5332210678841163
chrono_last_20,S1,torch_linear,0,21,20,604,0.6227995587628163,0.5332210678841163
chrono_last_20,S1,torch_linear,1,21,20,604,0.6268775284544956,0.5332210678841163
chrono_last_20,S1,bottleneck_z2,0,45,20,604,0.629308304899356,0.5332210678841163
chrono_last_20,S1,bottleneck_z2,1,45,20,604,0.6178972618970201,0.5332210678841163
chrono_last_20,S1,bottleneck_z4,0,89,20,604,0.6372973724905308,0.5332210678841163
chrono_last_20,S1,bottleneck_z4,1,89,20,604,0.6065787712798261,0.5332210678841163
chrono_last_20,S1,bottleneck_z8,0,177,20,604,0.6532198417924386,0.5332210678841163
chrono_last_20,S1,bottleneck_z8,1,177,20,604,0.6571210193262096,0.5332210678841163
chrono_last_20,S1,micro_moe_z2_e2,0,54,20,604,0.6148395173307242,0.5332210678841163
