mask,scheme,normalized,n_cols,accuracy,balanced_accuracy,state_logloss,majority_acc,modality
testpattern0,testpattern,False,6,0.392,0.3565419573028958,1.1029412786498223,0.365,raw_ac
testpattern1,testpattern,False,6,0.336,0.323781159750722,1.1312693014275341,0.39,raw_ac
testpattern2,testpattern,False,6,0.376,0.34893784421715185,1.1008388026753813,0.37,raw_ac
tail,testpattern,False,6,0.3496932515337423,0.3221337013026461,1.115007854109604,0.36585365853658536,raw_ac
deep_interleaved_rank0,interleaved_rank,False,6,0.368,0.33675085438026175,1.1148544055332885,0.355,raw_ac
deep_interleaved_rank1,interleaved_rank,False,6,0.344,0.30874504954930737,1.1040571668834591,0.345,raw_ac
deep_interleaved_rank2,interleaved_rank,False,6,0.356,0.3293364411705396,1.1254659206388038,0.345,raw_ac
testpattern0,testpattern,True,6,0.36,0.3379218628901571,1.1127789290496681,0.365,raw_ac
testpattern1,testpattern,True,6,0.316,0.3029715762273902,1.137047354272539,0.39,raw_ac
testpattern2,testpattern,True,6,0.332,0.31431943351691577,1.1134447686445264,0.37,raw_ac
tail,testpattern,True,6,0.3128834355828221,0.28714190250548915,1.128286572466545,0.36585365853658536,raw_ac
deep_interleaved_rank0,interleaved_rank,True,6,0.328,0.3000333416687505,1.1121096955580934,0.355,raw_ac
deep_interleaved_rank1,interleaved_rank,True,6,0.34,0.3062965551433913,1.1218147424596376,0.345,raw_ac
deep_interleaved_rank2,interleaved_rank,True,6,0.348,0.3143998434219423,1.118294855105393,0.345,raw_ac
testpattern0,testpattern,False,6,0.396,0.371259306230771,1.1063200897735987,0.365,raw_screen
testpattern1,testpattern,False,6,0.348,0.33196059431524544,1.097270424478906,0.39,raw_screen
testpattern2,testpattern,False,6,0.376,0.36282891861176675,1.0913668544428272,0.37,raw_screen
tail,testpattern,False,6,0.38650306748466257,0.3584185998073368,1.0844534834575805,0.36585365853658536,raw_screen
deep_interleaved_rank0,interleaved_rank,False,6,0.372,0.34419402972808927,1.0790537557584534,0.355,raw_screen
deep_interleaved_rank1,interleaved_rank,False,6,0.412,0.39565555017950055,1.0763409079403672,0.345,raw_screen
deep_interleaved_rank2,interleaved_rank,False,6,0.328,0.32127326429664427,1.1074648635350817,0.345,raw_screen
testpattern0,testpattern,True,6,0.324,0.3034876347495244,1.1142759212131244,0.365,raw_screen
testpattern1,testpattern,True,6,0.324,0.3109420124639003,1.1326435007558766,0.39,raw_screen
testpattern2,testpattern,True,6,0.34,0.3171605909607483,1.107962663052344,0.37,raw_screen
tail,testpattern,True,6,0.34355828220858897,0.3167573572166246,1.1160894556663241,0.36585365853658536,raw_screen
deep_interleaved_rank0,interleaved_rank,True,6,0.36,0.32870717679419853,1.108333242981481,0.355,raw_screen
deep_interleaved_rank1,interleaved_rank,True,6,0.348,0.315565471390427,1.1126273939051565,0.345,raw_screen
deep_interleaved_rank2,interleaved_rank,True,6,0.324,0.2916313772938092,1.125637891076724,0.345,raw_screen
testpattern0,testpattern,False,6,0.3,0.2753329105897273,1.1350556428771121,0.365,raw_act
testpattern1,testpattern,False,6,0.316,0.30377906976744184,1.142204915076125,0.39,raw_act
testpattern2,testpattern,False,6,0.372,0.34439199230701983,1.1138547370291203,0.37,raw_act
