name,public_lb,posterior_bce,abs_error
v76_anchor,0.5999627447,0.599962744699745,2.5501822875639846e-13
v83_repaired,0.5997645835,0.5997645834997279,2.7200464103316335e-13
v18_old15,0.6057860899,0.6057860898998884,1.1168843627729075e-13
sample_support,0.6104310794,0.6104310793997647,2.3525625891807067e-13
v82_failed,0.6629409456,0.6629409455996402,3.5982328228101323e-13
v85_failed,0.6157626029,0.6157626028983779,1.6220358389773537e-12
cl_catboost_safe,0.6218639574,0.6218639573997333,2.666755705149626e-13
cl_sleep_state,0.6146217599,0.6146217598996908,3.091971123581061e-13
cl_imported_failed,0.6610032443,0.6610032442997368,2.632338791386246e-13
cl_wcap02,0.6311869686,0.631186968599753,2.4702462297909733e-13
