K,seed,loglik,bic,iter
3,26,-1941.3471435976246,4023.2069815988298,103
3,16,-1941.3471444559837,4023.206983315548,144
3,18,-1941.347145269227,4023.2069849420345,110
3,3,-1941.3471463762387,4023.206987156058,113
3,0,-1941.3471490174438,4023.206992438468,137
3,22,-1941.3471495204176,4023.2069934444157,71
3,25,-1941.3471562552163,4023.207006914013,100
3,10,-1941.3474985619257,4023.207691527432,85
3,20,-1941.3475953661646,4023.2078851359097,59
3,6,-1941.3476122345971,4023.207918872775,77
3,27,-1941.3477859173295,4023.2082662382395,87
3,12,-1941.3478416914788,4023.208377786538,87
3,7,-1941.347855458489,4023.2084053205585,86
3,17,-1941.347920063603,4023.2085345307864,85
3,21,-1941.3480325662613,4023.208759536103,83
3,8,-1941.3481006033142,4023.208895610209,97
3,11,-1941.3482526492544,4023.2091997020893,66
3,13,-1941.3482888807973,4023.209272165175,76
3,9,-1941.348396582636,4023.2094875688526,108
3,5,-1941.348398600417,4023.209491604415,93
3,15,-1941.348398803743,4023.2094920110667,106
3,24,-1941.3483988384432,4023.209492080467,111
3,19,-1941.3483989393403,4023.209492282261,123
3,14,-1941.3484002519522,4023.209494907485,102
3,4,-1941.3484003113635,4023.2094950263076,102
3,23,-1941.3484036955429,4023.2095017946663,106
3,29,-1941.348404066075,4023.2095025357307,83
3,1,-1941.3484087070003,4023.209511817581,156
3,28,-1941.348409257956,4023.2095129194927,113
4,28,-1922.6738664576924,4034.73440798108,124
4,8,-1922.674254383146,4034.7351838319873,128
4,29,-1922.6743227353572,4034.7353205364097,112
4,12,-1922.6743288123698,4034.735332690435,164
4,25,-1922.6743333694571,4034.7353418046096,155
4,17,-1922.674337793333,4034.7353506523614,177
4,4,-1922.6743420907019,4034.735359247099,143
4,2,-1922.6743475258752,4034.7353701174457,126
4,11,-1922.923862991523,4035.2344010487413,78
4,7,-1922.9260587115941,4035.2387924888835,119
4,15,-1922.9264183286132,4035.2395117229216,127
4,10,-1922.9264202799345,4035.2395156255643,183
4,9,-1923.8100682025079,4037.006811470711,170
2,17,-1975.4817797635674,4042.6022732686,30
2,13,-1975.4817802729617,4042.602274287389,40
2,3,-1975.4818505390313,4042.602414819528,18
2,14,-1975.4818505925596,4042.6024149265845,19
2,10,-1975.4818506297756,4042.6024150010167,27
2,19,-1975.4818506484687,4042.602415038403,27
2,12,-1975.4818506739264,4042.602415089318,17
2,22,-1975.4818506932743,4042.602415128014,22
2,11,-1975.4818508798626,4042.6024155011905,13
2,6,-1975.4818508915423,4042.60241552455,17
2,7,-1975.4818509957288,4042.602415732923,44
2,29,-1975.4818510541895,4042.6024158498444,26
2,0,-1975.4818510632922,4042.60241586805,43
2,18,-1975.4818511965236,4042.6024161345126,12
2,28,-1975.48185122322,4042.6024161879054,21
2,16,-1975.4818513304003,4042.602416402266,14
2,27,-1975.481851359501,4042.6024164604673,15
2,20,-1975.4818514020612,4042.602416545588,28
2,26,-1975.4818514979706,4042.6024167374067,31
2,21,-1975.4818515123093,4042.602416766084,21
2,8,-1975.4818515265633,4042.602416794592,17
2,24,-1975.4818515269094,4042.602416795284,26
2,9,-1975.481851660641,4042.6024170627475,28
2,2,-1975.4818516740745,4042.6024170896144,19
2,1,-1975.4818517358117,4042.6024172130888,16
2,23,-1975.4818517978033,4042.602417337072,21
2,4,-1975.4818518289726,4042.6024173994106,24
2,25,-1975.4818518994412,4042.6024175403477,16
2,5,-1975.4818519856722,4042.6024177128097,38
2,15,-1975.4818525197718,4042.602418781009,11
4,13,-1927.7118774707155,4044.8104300071263,125
4,16,-1927.7177377696132,4044.8221506049217,125
4,22,-1927.7177532390106,4044.8221815437164,141
5,12,-1904.25829406301,4046.7772438538304,138
5,15,-1904.2583522647442,4046.777360257299,216
5,19,-1904.2585732249004,4046.777802177611,167
5,1,-1904.2586935597958,4046.778042847402,196
4,0,-1929.0295913062828,4047.445857678261,77
4,18,-1929.048452915556,4047.4835808968073,267
4,27,-1929.0503676549424,4047.48741037558,297
4,24,-1929.0503682014282,4047.4874114685517,385
4,21,-1929.050370975538,4047.4874170167714,384
4,6,-1929.0503715426707,4047.4874181510368,327
4,20,-1929.0503719580236,4047.4874189817424,403
4,26,-1929.0503730958658,4047.487421257427,376
4,23,-1929.0503737538631,4047.4874225734216,354
4,19,-1929.0503753116125,4047.48742568892,351
4,3,-1929.0503758179357,4047.4874267015666,331
4,14,-1929.0503816652852,4047.4874383962656,399
4,5,-1929.0742206775617,4047.5351164208187,83
5,7,-1905.092214977065,4048.4450856819403,221
4,1,-1932.2127620292385,4053.8121991241724,241
3,2,-1957.4130500429642,4055.338794489509,55
5,2,-1909.2649142626055,4056.7904842530215,66
5,24,-1909.266138268691,4056.7929322651926,191
5,25,-1909.2668007393947,4056.7942572066,111
5,29,-1909.2678076951236,4056.7962711180576,135
5,0,-1909.480526769879,4057.2217092675683,87
5,21,-1909.4827688718337,4057.226193471478,65
5,10,-1909.4849742530364,4057.2306042338832,71
5,8,-1909.485858046312,4057.2323718204343,106
5,6,-1909.4859745198855,4057.2326047675815,160
5,17,-1909.486093386095,4057.2328425000005,116
5,4,-1909.4863367351031,4057.2333291980167,148
5,18,-1909.4864065787647,4057.23346888534,208
5,3,-1909.4864183943248,4057.23349251646,174
5,11,-1910.1794316301937,4058.619518988198,499
5,28,-1910.1794368044207,4058.619529336652,407
5,14,-1910.179440514969,4058.6195367577484,361
5,13,-1910.179445510581,4058.6195467489724,371
5,5,-1910.1798094674145,4058.6202746626395,500
5,16,-1910.1805766697194,4058.621809067249,500
5,22,-1910.589506385701,4059.4396684992125,113
