name,source,target,mode,mask,gamma,old_bce,refit_bce,robust,drift,max_drift,dmean
posterior_refit_values|Q1|rank_logit|all|g0.16,posterior_refit_values,Q1,rank_logit,all,0.16,0.597284202823637,0.5986533011249474,0.5986533011249474,0.004462874069278064,0.06821661288247649,-0.0003709571198431405
posterior_old_refit_avg|Q1|rank_logit|all|g0.16,posterior_old_refit_avg,Q1,rank_logit,all,0.16,0.5972101434053166,0.5986827155234555,0.5986827155234555,0.004463358927005422,0.06877050980862054,-0.0002752120616471565
posterior_old_values|Q1|rank_logit|all|g0.16,posterior_old_values,Q1,rank_logit,all,0.16,0.5971699349102442,0.5988195128416612,0.5988195128416612,0.004476942509171968,0.06876507331624881,-0.00017105625378266431
posterior_refit_values|Q1|rank_logit|all|g0.12,posterior_refit_values,Q1,rank_logit,all,0.12,0.5973393752615991,0.598854023708614,0.598854023708614,0.0033430829154450998,0.051106566774584694,-0.0002806277144806746
posterior_old_refit_avg|Q1|rank_logit|all|g0.12,posterior_old_refit_avg,Q1,rank_logit,all,0.12,0.597283737510484,0.5988759913201204,0.5988759913201204,0.0033440757681496925,0.051522230503005195,-0.0002073408340259597
submission_cl_anchor_clue_v85_soft_direction_w006_prob|Q1|rank_logit|all|g0.16,cl/outputs/submission_cl_anchor_clue_v85_soft_direction_w006_prob.csv,Q1,rank_logit,all,0.16,0.5973542572644001,0.5989506017463393,0.5989506017463393,0.004442274597686326,0.06767178249796135,-0.0007751164633827967
posterior_old_values|Q1|rank_logit|all|g0.12,posterior_old_values,Q1,rank_logit,all,0.12,0.5972531018437552,0.5989781100133503,0.5989781100133503,0.003356135457065313,0.05151652597810519,-0.00012787229984745352
posterior_refit_values|Q1|rank_logit|inside_future|g0.16,posterior_refit_values,Q1,rank_logit,inside_future,0.16,0.5974059101586586,0.5990042484848431,0.5990042484848431,0.0029245217801277265,0.06821661288247649,-0.0004722128629229827
posterior_old_refit_avg|Q1|rank_logit|inside_future|g0.16,posterior_old_refit_avg,Q1,rank_logit,inside_future,0.16,0.5973565381271843,0.5990105437963653,0.5990105437963653,0.0029768100764566317,0.06877050980862054,-0.000750438171829515
posterior_refit_values|Q1|rank_logit|small_gap5|g0.16,posterior_refit_values,Q1,rank_logit,small_gap5,0.16,0.5974794496563867,0.5990349831460853,0.5990349831460853,0.00306415706672999,0.06792028169164299,0.0015827955344293043
submission_v84_shape_q010_s005_plus_v18_l06|Q1|rank_logit|all|g0.16,outputs/v84_public_pivot/submission_v84_shape_q010_s005_plus_v18_l06.csv,Q1,rank_logit,all,0.16,0.5975399414584094,0.5990434928696445,0.5990434928696445,0.004437649975964831,0.06724491360389129,0.0004959576701076829
submission_v84_shape_two_thirds_v83_plus_v18_l06|Q1|rank_logit|all|g0.16,outputs/v84_public_pivot/submission_v84_shape_two_thirds_v83_plus_v18_l06.csv,Q1,rank_logit,all,0.16,0.5975399414584094,0.5990434928696445,0.5990434928696445,0.004437649975964831,0.06724491360389129,0.0004959576701076829
posterior_old_refit_avg|Q1|rank_logit|small_gap5|g0.16,posterior_old_refit_avg,Q1,rank_logit,small_gap5,0.16,0.5974317392772651,0.5990499863876773,0.5990499863876773,0.003008994199416834,0.06821115080361739,0.0012000336817811208
submission_v84_shape_q010_s005_plus_v18_p06|Q1|rank_logit|all|g0.16,outputs/v84_public_pivot/submission_v84_shape_q010_s005_plus_v18_p06.csv,Q1,rank_logit,all,0.16,0.5975511245892885,0.5990583630834552,0.5990583630834552,0.004429966892580208,0.06613700777095521,0.000525650619903173
submission_v84_shape_two_thirds_v83_plus_v18_p06|Q1|rank_logit|all|g0.16,outputs/v84_public_pivot/submission_v84_shape_two_thirds_v83_plus_v18_p06.csv,Q1,rank_logit,all,0.16,0.5975511245892885,0.5990583630834552,0.5990583630834552,0.004429966892580208,0.06613700777095521,0.000525650619903173
posterior_old_values|Q1|rank_logit|inside_future|g0.16,posterior_old_values,Q1,rank_logit,inside_future,0.16,0.5973285627335376,0.5990771909738006,0.5990771909738006,0.0030072901734134396,0.06876507331624881,-0.0012960062553939444
submission_cl_anchor_clue_v85_soft_direction_w006_prob|Q1|rank_logit|all|g0.12,cl/outputs/submission_cl_anchor_clue_v85_soft_direction_w006_prob.csv,Q1,rank_logit,all,0.12,0.5973923837651705,0.5990774668476573,0.5990774668476573,0.0033361179371270418,0.05069090937536713,-0.0005802990059854407
posterior_refit_values|Q1|rank_logit|all|g0.08,posterior_refit_values,Q1,rank_logit,all,0.08,0.5974460425511872,0.5991062411439068,0.5991062411439068,0.0022253366299043557,0.03400723836683006,-0.00018828295502815173
