target,subset,k,C,feature
Q2,q2_tail_safe_longterm,8,0.01,human_q2_light_screen_arousal
Q2,q2_tail_safe_longterm,8,0.01,human_q2_tired_but_wired_prev7_std
Q2,q2_tail_safe_longterm,8,0.01,human_q2_tired_but_wired_prev30_std
Q2,q2_tail_safe_longterm,8,0.01,human_q2_light_screen_arousal_prev3_mean
Q2,q2_tail_safe_longterm,8,0.01,human_q2_tired_but_wired_subj_z_all_prev14_mean
Q2,q2_tail_safe_longterm,8,0.01,human_q2_tired_but_wired_subj_z_all_prev30_std
Q2,q2_tail_safe_longterm,8,0.01,human_q2_light_screen_arousal_subj_z_all_prev30_std
Q2,q2_tail_safe_longterm,8,0.01,human_s2_rhythm_late_subj_z_all_prev30_std
Q2,q2_tail_safe_longterm,8,0.03,human_q2_light_screen_arousal
Q2,q2_tail_safe_longterm,8,0.03,human_q2_tired_but_wired_prev7_std
Q2,q2_tail_safe_longterm,8,0.03,human_q2_tired_but_wired_prev30_std
Q2,q2_tail_safe_longterm,8,0.03,human_q2_light_screen_arousal_prev3_mean
Q2,q2_tail_safe_longterm,8,0.03,human_q2_tired_but_wired_subj_z_all_prev14_mean
Q2,q2_tail_safe_longterm,8,0.03,human_q2_tired_but_wired_subj_z_all_prev30_std
Q2,q2_tail_safe_longterm,8,0.03,human_q2_light_screen_arousal_subj_z_all_prev30_std
Q2,q2_tail_safe_longterm,8,0.03,human_s2_rhythm_late_subj_z_all_prev30_std
Q2,q2_tail_safe_longterm,15,0.01,human_q2_light_screen_arousal
Q2,q2_tail_safe_longterm,15,0.01,human_q2_physical_load_prev30_mean
Q2,q2_tail_safe_longterm,15,0.01,human_q2_tired_but_wired_prev7_std
Q2,q2_tail_safe_longterm,15,0.01,human_q2_tired_but_wired_prev30_std
Q2,q2_tail_safe_longterm,15,0.01,human_q2_light_screen_arousal_prev3_mean
Q2,q2_tail_safe_longterm,15,0.01,human_q2_light_screen_arousal_prev14_mean
Q2,q2_tail_safe_longterm,15,0.01,human_q2_tired_but_wired_subj_z_all_prev7_std
Q2,q2_tail_safe_longterm,15,0.01,human_q2_tired_but_wired_subj_z_all_prev14_mean
Q2,q2_tail_safe_longterm,15,0.01,human_q2_tired_but_wired_subj_z_all_prev30_mean
Q2,q2_tail_safe_longterm,15,0.01,human_q2_tired_but_wired_subj_z_all_prev30_std
Q2,q2_tail_safe_longterm,15,0.01,human_q2_late_after_busy_day_subj_z_all_prev14_mean
Q2,q2_tail_safe_longterm,15,0.01,human_q2_late_after_busy_day_subj_z_all_prev30_mean
Q2,q2_tail_safe_longterm,15,0.01,human_q2_light_screen_arousal_subj_z_all_prev7_std
Q2,q2_tail_safe_longterm,15,0.01,human_q2_light_screen_arousal_subj_z_all_prev30_std
Q2,q2_tail_safe_longterm,15,0.01,human_s2_rhythm_late_subj_z_all_prev30_std
Q2,q2_tail_safe_longterm,15,0.03,human_q2_light_screen_arousal
Q2,q2_tail_safe_longterm,15,0.03,human_q2_physical_load_prev30_mean
Q2,q2_tail_safe_longterm,15,0.03,human_q2_tired_but_wired_prev7_std
Q2,q2_tail_safe_longterm,15,0.03,human_q2_tired_but_wired_prev30_std
Q2,q2_tail_safe_longterm,15,0.03,human_q2_light_screen_arousal_prev3_mean
Q2,q2_tail_safe_longterm,15,0.03,human_q2_light_screen_arousal_prev14_mean
Q2,q2_tail_safe_longterm,15,0.03,human_q2_tired_but_wired_subj_z_all_prev7_std
Q2,q2_tail_safe_longterm,15,0.03,human_q2_tired_but_wired_subj_z_all_prev14_mean
Q2,q2_tail_safe_longterm,15,0.03,human_q2_tired_but_wired_subj_z_all_prev30_mean
Q2,q2_tail_safe_longterm,15,0.03,human_q2_tired_but_wired_subj_z_all_prev30_std
Q2,q2_tail_safe_longterm,15,0.03,human_q2_late_after_busy_day_subj_z_all_prev14_mean
Q2,q2_tail_safe_longterm,15,0.03,human_q2_late_after_busy_day_subj_z_all_prev30_mean
Q2,q2_tail_safe_longterm,15,0.03,human_q2_light_screen_arousal_subj_z_all_prev7_std
Q2,q2_tail_safe_longterm,15,0.03,human_q2_light_screen_arousal_subj_z_all_prev30_std
Q2,q2_tail_safe_longterm,15,0.03,human_s2_rhythm_late_subj_z_all_prev30_std
Q2,q2_interleaved_shortterm,8,0.01,human_q2_tired_but_wired_prev30_std
Q2,q2_interleaved_shortterm,8,0.01,human_q2_light_screen_arousal_prev3_mean
Q2,q2_interleaved_shortterm,8,0.01,human_q2_tired_but_wired_subj_z_all_prev30_mean
