scheme,target,modality,normalized,masks,mean_logloss,mean_auc
interleaved_rank,Q1,raw_wifi,False,3,0.686087828307652,0.5979110891174733
interleaved_rank,Q1,raw_ble,True,3,0.691604379678528,0.5682340840360309
interleaved_rank,Q1,raw_wlight,False,3,0.6911316859737392,0.5653874760471833
interleaved_rank,Q1,raw_amb,True,3,0.6987819701522923,0.5568461845887213
interleaved_rank,Q1,raw_usage,False,3,0.6906771149540024,0.5463842251549944
interleaved_rank,Q1,raw_ble,False,3,0.6929905948924722,0.5444498336089955
interleaved_rank,Q1,raw_wlight,True,3,0.6973944877188547,0.5443647851747634
interleaved_rank,Q1,raw_hr,False,3,0.6934960817205114,0.5402707808158155
interleaved_rank,Q1,raw_act,False,3,0.706750423665043,0.5300630881236558
interleaved_rank,Q1,raw_act,True,3,0.7137120341113748,0.5264970094071358
interleaved_rank,Q1,raw_mlight,False,3,0.7035405674193558,0.5256859004723303
interleaved_rank,Q1,raw_gps,True,3,0.6939289844829312,0.517320927850519
interleaved_rank,Q1,raw_mlight,True,3,0.7097756802623415,0.5163787642300512
interleaved_rank,Q1,raw_pedo,False,3,0.6976098768701311,0.5150114270256895
interleaved_rank,Q1,raw_screen,True,3,0.7012359497377751,0.5112224239229376
interleaved_rank,Q1,raw_pedo,True,3,0.7042040735008381,0.5020452242187401
interleaved_rank,Q1,raw_ac,True,3,0.7020163805637948,0.5016084659027691
interleaved_rank,Q1,raw_gps,False,3,0.7061013800765471,0.49962251222965626
interleaved_rank,Q1,raw_screen,False,3,0.7036519171185164,0.49494830276120094
interleaved_rank,Q1,raw_amb,False,3,0.702976148800803,0.4920883753460468
interleaved_rank,Q1,raw_hr,True,3,0.7045868074305807,0.49061348113967124
interleaved_rank,Q1,raw_wifi,True,3,0.7012738210225274,0.48456147131877664
interleaved_rank,Q1,raw_ac,False,3,0.7093278418221262,0.44597408403887834
interleaved_rank,Q1,raw_usage,True,3,0.7051989978592981,0.4452751290383246
interleaved_rank,Q2,raw_ac,True,3,0.6872276109173595,0.5871308855787382
interleaved_rank,Q2,raw_ac,False,3,0.7052220671623536,0.5649692092504282
interleaved_rank,Q2,raw_mlight,False,3,0.6985220776351796,0.5558468303021579
interleaved_rank,Q2,raw_screen,True,3,0.6954443992586801,0.5550895091440866
