model,fold_id,mean_logloss,logloss_Q1,logloss_Q2,logloss_Q3,logloss_S1,logloss_S2,logloss_S3,logloss_S4,n_components,hidden
pca16_logistic,chrono_last_25,0.667529389517308,0.6805300736263988,0.7381167911919188,0.7336686840987463,0.5664215191130387,0.6114463558393314,0.6921028347758804,0.6504194679758413,16.0,
pca8_logistic,chrono_last_25,0.6687917130634068,0.7309956133616341,0.7178847316669008,0.7076752402209061,0.5941931803563453,0.6007840467588851,0.6626668747013836,0.6673423043777916,8.0,
pca8_logistic,chrono_last_30,0.6700531205537498,0.7252874392937786,0.7147993891388138,0.6926844616830591,0.6066098369798588,0.6082350066826401,0.667317930375474,0.6754377797226239,8.0,
pca32_logistic,chrono_last_25,0.6721086157968239,0.6648325784185208,0.7606002667963911,0.7514935617964326,0.6061500189124318,0.6346512545071457,0.6632479711372387,0.6237846590096068,32.0,
pca16_logistic,chrono_last_20,0.6738722199593948,0.6681187914741065,0.7494929908993697,0.7904051984088086,0.5635331247245526,0.610052820863153,0.7152650482014786,0.6202375651442942,16.0,
pca8_logistic,chrono_last_20,0.6745299938686758,0.7106420111823636,0.7193168040232968,0.7396765553953271,0.5943896702890215,0.6277108871356678,0.6638929940827616,0.6660810349722931,8.0,
pca16_logistic,chrono_last_30,0.6777536999813435,0.6683934297664826,0.7580848967070924,0.7107940956538383,0.5927645855559485,0.6642128348197583,0.6811313939256315,0.6688946634406536,16.0,
pca32_logistic,chrono_last_30,0.6847181898820559,0.6577261189396726,0.7708345051247213,0.7132616063435309,0.6410787011900415,0.6794561514353148,0.6754463811055381,0.6552238650355711,32.0,
pca32_logistic,chrono_last_20,0.687194873052283,0.6617263767493825,0.7683404786039337,0.8021587134990839,0.6420245085362363,0.6412175208268719,0.6805836585355644,0.614312854614909,32.0,
pca64_logistic,chrono_last_25,0.6944533840480694,0.6784758531687869,0.8150237127830894,0.759095996710724,0.6097009897243021,0.694601913643313,0.6418849038034758,0.6623903185027953,64.0,
pca64_logistic,chrono_last_30,0.7132153869127121,0.6732555368586941,0.8647722876983849,0.7055075548067465,0.6370339438824157,0.7570245921712394,0.6683329279100353,0.686580865061468,64.0,
pca64_logistic,chrono_last_20,0.7173277949336307,0.6581437107577158,0.8101238544745841,0.7838830303151713,0.6814500062763265,0.7525668859759478,0.6855684239260239,0.6495586528096458,64.0,
"mlp_(16, 8)",chrono_last_30,0.7312178684732491,0.6913527199592368,0.8196590723634034,0.8435068251591948,0.6329587568315868,0.6669326428336032,0.7224910494382165,0.7416240127275023,,"(16, 8)"
"mlp_(16,)",chrono_last_20,0.7445651397296734,0.7434276216445446,0.7842689097169969,0.8038823871966357,0.6466117444646367,0.696688838816947,0.8291796197489227,0.7078968565190294,,"(16,)"
"mlp_(16, 8)",chrono_last_25,0.7451449275302915,0.7990754579744396,0.871922581043334,0.873857774947344,0.6074672029076164,0.6583509571914772,0.6945604145001789,0.7107801041476501,,"(16, 8)"
"mlp_(16, 8)",chrono_last_20,0.7460782084968614,0.7507102610005996,0.8702372540688846,0.860478231084881,0.6859435954071579,0.6255047708911093,0.7585612404631333,0.6711121065622635,,"(16, 8)"
"mlp_(16,)",chrono_last_25,0.7925286115276516,1.0279272878296717,0.922565266483098,0.7299947018292678,0.7004476167021318,0.6966136024973483,0.6880591402584676,0.7820926650935764,,"(16,)"
"mlp_(32, 16)",chrono_last_30,0.8104990295238536,0.8021494687573759,0.921393017940904,0.7879613634288378,0.6603437683167518,0.7362897329985773,0.9494402595694087,0.8159155956551195,,"(32, 16)"
"mlp_(32, 16)",chrono_last_25,0.8181217362142756,0.8959540598741363,0.9801787056913549,0.8536797210134877,0.6828699938592088,0.6932350079615907,0.9107784201431638,0.7101562449569875,,"(32, 16)"
"mlp_(16,)",chrono_last_30,0.829297551840731,0.844121999472293,0.9823418116308616,0.8463546626496278,0.7243267365543021,0.6834579528272886,0.8732750580594033,0.8512046416913405,,"(16,)"
"mlp_(32, 16)",chrono_last_20,0.8809603024579352,0.7095789682766993,0.9231966783644624,0.8848819469851504,0.703403467486186,1.0863816829569932,0.7530323088266924,1.1062470643093631,,"(32, 16)"
"mlp_(8,)",chrono_last_25,1.017274928344596,0.9520562724997236,1.1225779672547855,1.3093547296303683,1.2650814695815351,0.689870473828176,0.7119077682880879,1.0700758173294957,,"(8,)"
"mlp_(8,)",chrono_last_30,1.0782893016386228,0.9621035198908435,1.130944644015428,1.257647442940415,1.295310653315826,1.3367724250362987,0.7834589949889509,0.7817874312825978,,"(8,)"
"mlp_(8,)",chrono_last_20,1.1623774334817216,0.9812885210434953,1.296494948104293,1.2940763109606404,0.7160285919359114,1.3754595014916562,1.312206554264569,1.161087606571487,,"(8,)"
