target,source,H_y_bits,H_y_given_source_bits,info_gain_bits,explained_entropy_share,n_groups
Q1,latent_state,0.99994300388978,0.5621609440086549,0.43778205988112506,0.43780701317790327,3
Q1,subject+state,0.99994300388978,0.5633224095973202,0.4366205942924598,0.436645481386444,30
Q1,subject+prevnext,0.99994300388978,0.859077003249814,0.14086600063996602,0.140874029911702,58
Q1,same_row_other_labels,0.99994300388978,0.8654308649787288,0.13451213891105118,0.13451980601674168,53
Q1,prevnext+gap,0.99994300388978,0.9180301872674962,0.08191281662228378,0.081917485600322,19
Q1,prevnext,0.99994300388978,0.9188899070148147,0.08105309687496531,0.08105771684952906,8
Q1,subject_id,0.99994300388978,0.9235033317836654,0.07643967210611458,0.07644402911842388,10
Q1,prev_only,0.99994300388978,0.9509751332091154,0.04896787068066455,0.04897066181790307,3
Q1,next_only,0.99994300388978,0.9581170199248044,0.04182598396497561,0.04182836801924956,3
Q2,Q2Q3_pair_axis,0.9887998960380002,0.8015755441808655,0.1872243518571347,0.18934503594440058,16
Q2,subject+prevnext,0.9887998960380002,0.8075345787988883,0.18126531723911188,0.1833185035368832,60
Q2,prevnext+gap,0.9887998960380002,0.8675746380795272,0.12122525795847305,0.1225983724757737,20
Q2,same_row_other_labels,0.9887998960380002,0.8713112016078617,0.11748869443013854,0.11881948501501802,53
Q2,prevnext,0.9887998960380002,0.8717228721465731,0.11707702389142716,0.118403151497629,8
Q2,subject+state,0.9887998960380002,0.8737398939539595,0.11506000208404077,0.11636328295044535,30
Q2,next_only,0.9887998960380002,0.9226818693370942,0.06611802670090605,0.06686694341881796,3
Q2,prev_only,0.9887998960380002,0.9236148549944023,0.0651850410435979,0.06592338986359764,3
Q2,subject_id,0.9887998960380002,0.9325340043128956,0.056265891725104655,0.05690321363357255,10
Q2,latent_state,0.9887998960380002,0.9702964746133824,0.018503421424617805,0.01871300907166227,3
Q3,Q2Q3_pair_axis,0.9709505944546686,0.8005980191198777,0.17035257533479087,0.17544927240141284,15
Q3,subject+prevnext,0.9709505944546686,0.8311457291231803,0.13980486533148828,0.1439876201013186,60
Q3,same_row_other_labels,0.9709505944546686,0.8552376688786277,0.11571292557604085,0.1191748851454493,53
Q3,prevnext,0.9709505944546686,0.86448967896626,0.10646091548840864,0.10964606860166977,8
Q3,prevnext+gap,0.9709505944546686,0.8656703229835129,0.1052802714711557,0.10843010146184219,21
Q3,subject+state,0.9709505944546686,0.8849936399068563,0.08595695454781227,0.08852865947941432,30
Q3,next_only,0.9709505944546686,0.9152564182955792,0.05569417615908934,0.057360463526334005,3
Q3,prev_only,0.9709505944546686,0.9168083490035037,0.05414224545116486,0.055762101347261325,3
Q3,subject_id,0.9709505944546686,0.9277188601993616,0.04323173425530702,0.04452516379537106,10
Q3,latent_state,0.9709505944546686,0.9496439252520055,0.02130666920266311,0.021944133228148373,3
S1,subject+state,0.901948483021582,0.5621241589960245,0.3398243240255575,0.37676688904351324,30
S1,latent_state,0.901948483021582,0.6749028677898868,0.2270456152316952,0.2517279196158506,3
S1,same_row_other_labels,0.901948483021582,0.6868473652267171,0.21510111779486496,0.23848492662714305,57
S1,subject+prevnext,0.901948483021582,0.7723222669867097,0.12962621603487234,0.14371798220738358,57
S1,subject_id,0.901948483021582,0.8009953344808284,0.10095314854075366,0.11192784337588162,10
S1,prevnext+gap,0.901948483021582,0.8448748485728828,0.057073634448699284,0.06327815337911447,19
S1,prevnext,0.901948483021582,0.849167971740585,0.05278051128099703,0.05851832147239621,8
S1,prev_only,0.901948483021582,0.8730485611518356,0.028899921869746437,0.03204165472170866,3
S1,next_only,0.901948483021582,0.87470928784593,0.027239195175651987,0.03020038914462058,3
S2,latent_state,0.933071822502139,0.04607731782043234,0.8869945046817067,0.9506176087314793,3
S2,subject+state,0.933071822502139,0.18122990586685536,0.7518419166352837,0.8057706797094498,30
S2,same_row_other_labels,0.933071822502139,0.588026861344609,0.34504496115753003,0.36979464263774725,62
S2,subject+prevnext,0.933071822502139,0.7459186931278474,0.18715312937429163,0.2005774098637113,58
