model,k,C,scaler,fold_id,mean_logloss,logloss_Q1,logloss_Q2,logloss_Q3,logloss_S1,logloss_S2,logloss_S3,logloss_S4
selectk_logistic_feature_only,50,0.003,robust,chrono_last_25,0.6396021948976226,0.6944878862757762,0.6693328437667903,0.7579618480622987,0.5687692588401777,0.5637434161211724,0.5930196557699343,0.6299004554472091
selectk_logistic_feature_only,50,0.003,robust,chrono_last_20,0.6424867787954192,0.6899385829124841,0.6877446127322202,0.7855730546245879,0.5553745610631947,0.5661892675766107,0.6025512332923093,0.6100361393665277
selectk_logistic_feature_only,50,0.01,robust,chrono_last_25,0.6434706170469211,0.7020724222701205,0.6715895878617794,0.7871727494486411,0.5540501618891446,0.5743130231817535,0.5823436404783938,0.632752734198615
selectk_logistic_feature_only,80,0.003,robust,chrono_last_25,0.6455615057182615,0.7067728242011035,0.6787436812345102,0.7790552193521352,0.5587987382966715,0.5662542445373778,0.5883849833683877,0.6409208490376448
selectk_logistic_feature_only,30,0.003,robust,chrono_last_20,0.6464667457697589,0.6905371351965487,0.6921091225726715,0.7053089970572459,0.5607416252336309,0.6325515892318286,0.6350185435743297,0.6090002075220574
selectk_logistic_feature_only,30,0.03,robust,chrono_last_25,0.6471234204721645,0.7179964940926847,0.6759689521806517,0.7109408208628762,0.5647289134481345,0.6143176141014671,0.6008377874013933,0.6450733612179449
selectk_logistic_feature_only,30,0.01,robust,chrono_last_20,0.6472238266216702,0.7035236191655686,0.7047513239478336,0.7253089779207981,0.5446056629874118,0.6200730375525322,0.6147643984475544,0.6175397663299935
selectk_logistic_feature_only,20,0.01,robust,chrono_last_25,0.6474150919077674,0.709138594595068,0.6778902361867716,0.6937355119625849,0.595638022919076,0.6186596643888077,0.6071476640404332,0.6296959492616299
selectk_logistic_feature_only,50,0.01,robust,chrono_last_20,0.6474433323575622,0.6985766835413291,0.6930330004177845,0.8104505225428872,0.536869787263637,0.5862831836268106,0.5963673723102748,0.610522776800213
selectk_logistic_feature_only,20,0.03,robust,chrono_last_25,0.6476427695405486,0.720248454372955,0.6846764629240627,0.7057472466622702,0.5673463661982395,0.6158922133248305,0.600484092023327,0.6391045512781552
selectk_logistic_feature_only,20,0.01,robust,chrono_last_20,0.6479144501308051,0.6987907330840099,0.6885964106466921,0.7180372542264281,0.5840226435841547,0.6216140771620895,0.6150594642156346,0.6092805679966271
selectk_logistic_feature_only,30,0.1,robust,chrono_last_25,0.6479261601238336,0.7180461665734637,0.681155836083897,0.7182705724784332,0.5473313172004171,0.6168213930402175,0.6027706682233678,0.6510871672670394
selectk_logistic_feature_only,30,0.3,robust,chrono_last_25,0.6485602097146976,0.7098982752554548,0.6902155429253322,0.7216422441971777,0.5402128690762124,0.6190186993835456,0.6064787382624984,0.6524550989026625
selectk_logistic_feature_only,30,0.01,robust,chrono_last_25,0.6485707911632698,0.7097422135760586,0.6734872437446943,0.7000307640420413,0.5934069543148391,0.6172137724631606,0.6080740731699221,0.6380405168321728
selectk_logistic_feature_only,20,0.03,robust,chrono_last_20,0.6486005707569803,0.7065664655865609,0.6911809205091864,0.7357114286155308,0.552078151527515,0.6245441701173611,0.6142700398783627,0.6158528190643454
selectk_logistic_feature_only,30,0.3,standard,chrono_last_25,0.6492555924103653,0.7035506050387005,0.6945716873324512,0.723711496886032,0.5415721824690604,0.6188970468336511,0.6088195491394248,0.6536665791732379
selectk_logistic_feature_only,50,0.03,robust,chrono_last_25,0.6496778430465453,0.7088567283464334,0.6769964446364499,0.8103790258380096,0.5419482117189602,0.5907741377714091,0.5832455708827659,0.6355447821317892
