group,source,model,k,n,C,blend_w,logloss,delta,auc,runs
chrono,combo_existing_dayflat,pls_logit,48.0,4.0,0.001,1.0,0.6872434758093681,0.1176932020955513,0.5884167429361117,3
chrono,combo_existing_dayflat,pls_logit,48.0,4.0,0.003,1.0,0.679030246463295,0.10947997274947818,0.599007069678997,3
chrono,combo_existing_dayflat,pls_logit,48.0,8.0,0.001,1.0,0.6882949647125686,0.11874469099875173,0.5747545473992149,3
chrono,combo_existing_dayflat,pls_logit,48.0,8.0,0.003,1.0,0.6822838655800189,0.11273359186620206,0.5812213385742797,3
chrono,combo_existing_dayflat,pls_logit,48.0,12.0,0.001,1.0,0.6894263702963285,0.11987609658251168,0.5564583653058067,3
chrono,combo_existing_dayflat,pls_logit,48.0,12.0,0.003,1.0,0.6864474400265274,0.11689716631271045,0.5713441822361,3
chrono,combo_existing_dayflat,pls_logit,64.0,4.0,0.001,1.0,0.6855462296247907,0.11599595591097389,0.6049540085647211,3
chrono,combo_existing_dayflat,pls_logit,64.0,4.0,0.003,1.0,0.6748487704437182,0.10529849672990133,0.6095564902355911,3
chrono,combo_existing_dayflat,pls_logit,64.0,8.0,0.001,1.0,0.6867851201108666,0.11723484639704969,0.6137358142857904,3
chrono,combo_existing_dayflat,pls_logit,64.0,8.0,0.003,1.0,0.6785191217501766,0.10896884803635976,0.6191869584265567,3
chrono,combo_existing_dayflat,pls_logit,64.0,12.0,0.001,1.0,0.6881540769664699,0.11860380325265311,0.600718632820498,3
chrono,combo_existing_dayflat,pls_logit,64.0,12.0,0.003,1.0,0.6832466091024143,0.11369633538859747,0.6062408998444387,3
chrono,combo_existing_dayflat,pls_logit,96.0,4.0,0.001,1.0,0.6842730506140661,0.11472277690024928,0.614853064111792,3
chrono,combo_existing_dayflat,pls_logit,96.0,4.0,0.003,1.0,0.6719778462981908,0.102427572584374,0.6178289132975886,3
chrono,combo_existing_dayflat,pls_logit,96.0,8.0,0.001,1.0,0.6838563656748816,0.11430609196106485,0.6287944528857968,3
chrono,combo_existing_dayflat,pls_logit,96.0,8.0,0.003,1.0,0.67143769727183,0.1018874235580131,0.6311497233304981,3
chrono,combo_existing_dayflat,pls_logit,96.0,12.0,0.001,1.0,0.6850055822892925,0.1154553085754757,0.6504518879459099,3
chrono,combo_existing_dayflat,pls_logit,96.0,12.0,0.003,1.0,0.6753586394852776,0.1058083657714608,0.6505426649974714,3
chrono,combo_existing_dayflat,raw,20.0,,0.001,1.0,0.6005616273849445,0.03101135367112758,0.689869408006663,3
chrono,combo_existing_dayflat,raw,20.0,,0.003,1.0,0.5963925293133757,0.026842255599558922,0.6884411256242915,3
chrono,combo_existing_dayflat,raw,20.0,,0.01,1.0,0.5994787887465888,0.029928515032771903,0.693669914760302,3
chrono,combo_existing_dayflat,raw,32.0,,0.001,1.0,0.5696639034549379,0.0001136297411210944,0.7167559294771154,3
chrono,combo_existing_dayflat,raw,32.0,,0.003,1.0,0.5742961134060649,0.004745839692248103,0.7159603924070685,3
chrono,combo_existing_dayflat,raw,32.0,,0.01,1.0,0.5898362851053328,0.020286011391516052,0.7182916331768556,3
chrono,combo_existing_dayflat,raw,48.0,,0.001,1.0,0.5875354476448441,0.017985173931027276,0.7211242240056205,3
chrono,combo_existing_dayflat,raw,48.0,,0.003,1.0,0.5923492208244427,0.022798947110625873,0.7188337903306818,3
chrono,combo_existing_dayflat,raw,48.0,,0.01,1.0,0.6121405233757171,0.04259024966190028,0.7131647998458138,3
chrono,combo_existing_dayflat,raw,64.0,,0.001,1.0,0.5968237177635513,0.027273444049734346,0.7058496187023208,3
chrono,combo_existing_dayflat,raw,64.0,,0.003,1.0,0.6032890918251949,0.033738818111378056,0.7050638328495813,3
chrono,combo_existing_dayflat,raw,64.0,,0.01,1.0,0.6244270909301638,0.05487681721634693,0.7068501264221015,3
chrono,combo_existing_dayflat,raw_blend_base,32.0,,0.001,0.1,0.5695292355678407,-2.1038145976093325e-05,0.7179716080720384,3
chrono,combo_existing_dayflat,raw_blend_base,32.0,,0.001,0.2,0.5695153205331374,-3.495318067943861e-05,0.7179986166834564,3
chrono,combo_existing_dayflat,raw_blend_base,32.0,,0.001,0.3,0.5695085543174349,-4.171939638205243e-05,0.7174002344255812,3
chrono,combo_existing_dayflat,raw_blend_base,32.0,,0.001,0.4,0.5695089644328833,-4.130928093341405e-05,0.7167647888714365,3
chrono,combo_existing_dayflat,raw_blend_base,32.0,,0.001,0.5,0.569516580223398,-3.369349041881797e-05,0.7145636272967694,3
chrono,combo_existing_dayflat,raw_blend_base,32.0,,0.001,0.7,0.5695535555428585,3.281829041634765e-06,0.7158948217413066,3
chrono,combo_existing_dayflat,select_pca,48.0,8.0,0.001,1.0,0.684727673797517,0.11517740008370014,0.6196164300301077,3
chrono,combo_existing_dayflat,select_pca,48.0,8.0,0.003,1.0,0.6734305924463477,0.10388031873253083,0.6253427511079352,3
chrono,combo_existing_dayflat,select_pca,48.0,16.0,0.001,1.0,0.6945015898676136,0.12495131615379673,0.58537874793255,3
chrono,combo_existing_dayflat,select_pca,48.0,16.0,0.003,1.0,0.6842005131310454,0.11465023941722852,0.5941049230982277,3
chrono,combo_existing_dayflat,select_pca,48.0,32.0,0.001,1.0,0.7058872052014261,0.13633693148760928,0.5773722119848376,3
chrono,combo_existing_dayflat,select_pca,48.0,32.0,0.003,1.0,0.6945535213043165,0.12500324759049966,0.5924709361701231,3
chrono,combo_existing_dayflat,select_pca,64.0,8.0,0.001,1.0,0.6840193562228274,0.11446908250901049,0.6624686607828646,3
chrono,combo_existing_dayflat,select_pca,64.0,8.0,0.003,1.0,0.6722512750109303,0.10270100129711357,0.6684920951659356,3
chrono,combo_existing_dayflat,select_pca,64.0,16.0,0.001,1.0,0.6834062048252294,0.11385593111141257,0.643423059396278,3
chrono,combo_existing_dayflat,select_pca,64.0,16.0,0.003,1.0,0.6711840145573875,0.10163374084357073,0.648515154983352,3
chrono,combo_existing_dayflat,select_pca,64.0,32.0,0.001,1.0,0.7094871891770165,0.13993691546319964,0.6264093837862369,3
chrono,combo_existing_dayflat,select_pca,64.0,32.0,0.003,1.0,0.6936286565112398,0.12407838279742293,0.6374677101243337,3
chrono,combo_existing_dayflat,select_pca,96.0,8.0,0.001,1.0,0.6812957540927339,0.11174548037891703,0.6852275343906143,3
chrono,combo_existing_dayflat,select_pca,96.0,8.0,0.003,1.0,0.6662693036041913,0.09671902989037455,0.6867636994848855,3
chrono,combo_existing_dayflat,select_pca,96.0,16.0,0.001,1.0,0.682515228826038,0.11296495511222104,0.638604152724191,3
chrono,combo_existing_dayflat,select_pca,96.0,16.0,0.003,1.0,0.6697563969084381,0.10020612319462137,0.6384367067652578,3
chrono,combo_existing_dayflat,select_pca,96.0,32.0,0.001,1.0,0.7058304714214464,0.13628019770762953,0.649060767951251,3
chrono,combo_existing_dayflat,select_pca,96.0,32.0,0.003,1.0,0.6863318058798761,0.11678153216605913,0.657165289852999,3
chrono,existing_base_cfg,basecfg,,,,0.0,0.5695502737138168,0.0,0.7174574070915534,3
chrono,existing_no_flat,pls_logit,48.0,4.0,0.001,1.0,0.6868536868598661,0.11730341314604938,0.6126726188419158,3
chrono,existing_no_flat,pls_logit,48.0,4.0,0.003,1.0,0.6776762101419914,0.10812593642817463,0.616346031530154,3
chrono,existing_no_flat,pls_logit,48.0,8.0,0.001,1.0,0.688032880566218,0.1184826068524012,0.5807614520909595,3
chrono,existing_no_flat,pls_logit,48.0,8.0,0.003,1.0,0.6813996342667389,0.11184936055292209,0.5918448330810837,3
chrono,existing_no_flat,pls_logit,48.0,12.0,0.001,1.0,0.6854547729525639,0.11590449923874702,0.5921809326759111,3
chrono,existing_no_flat,pls_logit,48.0,12.0,0.003,1.0,0.6754848880475528,0.10593461433373592,0.6053080591937599,3
chrono,existing_no_flat,pls_logit,64.0,4.0,0.001,1.0,0.6849897409787328,0.11543946726491594,0.608920106409346,3
chrono,existing_no_flat,pls_logit,64.0,4.0,0.003,1.0,0.6732457717268284,0.10369549801301166,0.6169707690152454,3
chrono,existing_no_flat,pls_logit,64.0,8.0,0.001,1.0,0.6856086470408057,0.11605837332698883,0.6284873777939297,3
chrono,existing_no_flat,pls_logit,64.0,8.0,0.003,1.0,0.6752423027390148,0.10569202902519788,0.6377814676953845,3
chrono,existing_no_flat,pls_logit,64.0,12.0,0.001,1.0,0.6864985900631483,0.11694831634933134,0.6311380615063064,3
chrono,existing_no_flat,pls_logit,64.0,12.0,0.003,1.0,0.6785207602895745,0.10897048657575766,0.6387694991831768,3
chrono,existing_no_flat,pls_logit,96.0,4.0,0.001,1.0,0.6859992436861374,0.11644896997232068,0.6353469302895415,3
chrono,existing_no_flat,pls_logit,96.0,4.0,0.003,1.0,0.675558721973041,0.10600844825922422,0.6351584831379188,3
chrono,existing_no_flat,pls_logit,96.0,8.0,0.001,1.0,0.6856429526680768,0.1160926789542599,0.6353494168654379,3
chrono,existing_no_flat,pls_logit,96.0,8.0,0.003,1.0,0.6753321659223243,0.10578189220850738,0.6381437181413269,3
chrono,existing_no_flat,pls_logit,96.0,12.0,0.001,1.0,0.686698769035742,0.11714849532192521,0.6501644391529613,3
chrono,existing_no_flat,pls_logit,96.0,12.0,0.003,1.0,0.6796951065309589,0.11014483281714198,0.6541052315203438,3
chrono,existing_no_flat,pls_logit_blend_base,64.0,8.0,0.003,0.1,0.5778286088689645,0.008278335155147679,0.7218619752813918,3
chrono,existing_no_flat,pls_logit_blend_base,64.0,8.0,0.003,0.2,0.5865143440802348,0.016964070366417967,0.721769547737984,3
chrono,existing_no_flat,pls_logit_blend_base,64.0,8.0,0.003,0.3,0.5956361407063299,0.026085866992512956,0.7175888395041911,3
chrono,existing_no_flat,pls_logit_blend_base,64.0,8.0,0.003,0.4,0.6052268398545932,0.03567656614077641,0.7178713708842833,3
chrono,existing_no_flat,pls_logit_blend_base,64.0,8.0,0.003,0.5,0.6153242636949298,0.045773989981113004,0.7164205823579328,3
chrono,existing_no_flat,pls_logit_blend_base,64.0,8.0,0.003,0.7,0.637221888729233,0.06767161501541612,0.7139446804678751,3
chrono,existing_no_flat,raw,20.0,,0.001,1.0,0.5695502737138168,0.0,0.7174574070915534,3
chrono,existing_no_flat,raw,20.0,,0.003,1.0,0.5717218552431876,0.002171581529370803,0.7169883639395834,3
chrono,existing_no_flat,raw,20.0,,0.01,1.0,0.5835020187714524,0.013951745057635523,0.7156556645437564,3
chrono,existing_no_flat,raw,32.0,,0.001,1.0,0.5788433663330209,0.009293092619204116,0.7124741046190114,3
chrono,existing_no_flat,raw,32.0,,0.003,1.0,0.571451997888946,0.001901724175129164,0.7217215131610158,3
chrono,existing_no_flat,raw,32.0,,0.01,1.0,0.5878998685309269,0.018349594817110033,0.7224861460872938,3
chrono,existing_no_flat,raw,48.0,,0.001,1.0,0.5956445198624983,0.026094246148681426,0.7200819678222835,3
chrono,existing_no_flat,raw,48.0,,0.003,1.0,0.6000835566801129,0.030533282966296094,0.7181843635932589,3
chrono,existing_no_flat,raw,48.0,,0.01,1.0,0.6189293159018635,0.04937904218804667,0.7118035621144182,3
chrono,existing_no_flat,raw,64.0,,0.001,1.0,0.5958086017392297,0.026258328025412836,0.7165923728573178,3
chrono,existing_no_flat,raw,64.0,,0.003,1.0,0.6019138625608097,0.0323635888469929,0.7117958980106279,3
chrono,existing_no_flat,raw,64.0,,0.01,1.0,0.6244074175732218,0.05485714385940502,0.7107893952585487,3
chrono,existing_no_flat,raw_blend_base,32.0,,0.001,0.1,0.5697085903956555,0.0001583166818385958,0.7170495838716787,3
