mask,scheme,target,normalized,n_cols,logloss,auc,modality
testpattern0,testpattern,Q1,False,6,0.7095027474837072,0.456288,raw_ac
testpattern1,testpattern,Q1,False,6,0.698723211100234,0.4598628996091998,raw_ac
testpattern2,testpattern,Q1,False,6,0.693599677660659,0.47388131361628577,raw_ac
tail,testpattern,Q1,False,6,0.7012508123486098,0.46485671191553546,raw_ac
deep_interleaved_rank0,interleaved_rank,Q1,False,6,0.7086457156755644,0.4577252944188428,raw_ac
deep_interleaved_rank1,interleaved_rank,Q1,False,6,0.7120532483423713,0.4269648480174796,raw_ac
deep_interleaved_rank2,interleaved_rank,Q1,False,6,0.7072845614484428,0.45323210968031263,raw_ac
testpattern0,testpattern,Q2,False,6,0.6766779458056983,0.5864929677879317,raw_ac
testpattern1,testpattern,Q2,False,6,0.677402042399825,0.5938916256157636,raw_ac
testpattern2,testpattern,Q2,False,6,0.6960938802379901,0.5908116883116884,raw_ac
tail,testpattern,Q2,False,6,0.6752484957807178,0.6386062288004932,raw_ac
deep_interleaved_rank0,interleaved_rank,Q2,False,6,0.7159211598104533,0.5633043595445051,raw_ac
deep_interleaved_rank1,interleaved_rank,Q2,False,6,0.7029849655009944,0.5588077336197637,raw_ac
deep_interleaved_rank2,interleaved_rank,Q2,False,6,0.696760076175613,0.5727955345870158,raw_ac
testpattern0,testpattern,Q3,False,6,0.6808010757811032,0.4370325449767536,raw_ac
testpattern1,testpattern,Q3,False,6,0.6763444621078649,0.5595994137762579,raw_ac
testpattern2,testpattern,Q3,False,6,0.6832403553890749,0.4463666666666667,raw_ac
tail,testpattern,Q3,False,6,0.6758096190259842,0.4666666666666667,raw_ac
deep_interleaved_rank0,interleaved_rank,Q3,False,6,0.6745111371769982,0.4649822695035461,raw_ac
deep_interleaved_rank1,interleaved_rank,Q3,False,6,0.6745280697843339,0.5289625756741883,raw_ac
deep_interleaved_rank2,interleaved_rank,Q3,False,6,0.6748997101788298,0.4873455961331901,raw_ac
testpattern0,testpattern,S1,False,6,0.631054117024772,0.4946332737030411,raw_ac
testpattern1,testpattern,S1,False,6,0.6392315842349385,0.45769976147883124,raw_ac
testpattern2,testpattern,S1,False,6,0.6360718811711427,0.4756828780812791,raw_ac
tail,testpattern,S1,False,6,0.6369904505273465,0.4766112266112266,raw_ac
deep_interleaved_rank0,interleaved_rank,S1,False,6,0.6352661010384155,0.5142084885674629,raw_ac
deep_interleaved_rank1,interleaved_rank,S1,False,6,0.6327280615061893,0.475793915167666,raw_ac
deep_interleaved_rank2,interleaved_rank,S1,False,6,0.6396475352729406,0.46898969975893057,raw_ac
