fold,target,level,source_set,n_features,logloss
mirror_v1_seed0,Q1,0,S0_global,1,0.6939515166124238
mirror_v1_seed0,Q1,1,S1_subject,10,0.6693479997492482
mirror_v1_seed0,Q1,2,S2_calendar,14,0.6700641905137962
mirror_v1_seed0,Q1,3,S3_own_neighbor,16,0.6920499258783221
mirror_v1_seed0,Q1,4,S4_other_neighbor,28,0.6976589911259246
mirror_v1_seed0,Q1,5,S5_latent,29,0.6941644755776181
mirror_v1_seed0,Q1,6,S6_engineered,59,0.8074825368976519
mirror_v1_seed0,Q1,7,S7_coverage,79,0.8443274412669847
mirror_v1_seed0,Q1,8,S8_context_tokens,84,0.8589639874959143
mirror_v1_seed0,Q2,0,S0_global,1,0.6820879592530781
mirror_v1_seed0,Q2,1,S1_subject,10,0.7227597512113296
mirror_v1_seed0,Q2,2,S2_calendar,14,0.7157474339492779
mirror_v1_seed0,Q2,3,S3_own_neighbor,16,0.7132367830786442
mirror_v1_seed0,Q2,4,S4_other_neighbor,28,0.726380095168681
mirror_v1_seed0,Q2,5,S5_latent,29,0.7145625784015176
mirror_v1_seed0,Q2,6,S6_engineered,59,0.770570365497122
mirror_v1_seed0,Q2,7,S7_coverage,79,0.7545969539440539
mirror_v1_seed0,Q2,8,S8_context_tokens,84,0.7567754043145771
mirror_v1_seed0,Q3,0,S0_global,1,0.6668583541142783
mirror_v1_seed0,Q3,1,S1_subject,10,0.6990382960086314
mirror_v1_seed0,Q3,2,S2_calendar,14,0.7028658017555454
mirror_v1_seed0,Q3,3,S3_own_neighbor,16,0.701898858787435
mirror_v1_seed0,Q3,4,S4_other_neighbor,28,0.6991462239115661
mirror_v1_seed0,Q3,5,S5_latent,29,0.6970246925976817
mirror_v1_seed0,Q3,6,S6_engineered,59,0.8211700833025449
mirror_v1_seed0,Q3,7,S7_coverage,79,0.8226698530424786
mirror_v1_seed0,Q3,8,S8_context_tokens,84,0.8446379594591986
mirror_v1_seed0,S1,0,S0_global,1,0.639863887030679
mirror_v1_seed0,S1,1,S1_subject,10,0.6187695717381788
mirror_v1_seed0,S1,2,S2_calendar,14,0.6205201037529193
mirror_v1_seed0,S1,3,S3_own_neighbor,16,0.6205078484306168
mirror_v1_seed0,S1,4,S4_other_neighbor,28,0.6669055748004186
mirror_v1_seed0,S1,5,S5_latent,29,0.7027258392053815
mirror_v1_seed0,S1,6,S6_engineered,59,0.8760984376376576
mirror_v1_seed0,S1,7,S7_coverage,79,0.8797455508901597
mirror_v1_seed0,S1,8,S8_context_tokens,84,0.8902526581517538
mirror_v1_seed0,S2,0,S0_global,1,0.6669055024743188
mirror_v1_seed0,S2,1,S1_subject,10,0.5813599676090399
mirror_v1_seed0,S2,2,S2_calendar,14,0.5830672610228619
mirror_v1_seed0,S2,3,S3_own_neighbor,16,0.6029596567727422
mirror_v1_seed0,S2,4,S4_other_neighbor,28,0.5998046252905195
mirror_v1_seed0,S2,5,S5_latent,29,0.7787348788529802
mirror_v1_seed0,S2,6,S6_engineered,59,0.7782034927136546
mirror_v1_seed0,S2,7,S7_coverage,79,0.765500144952723
mirror_v1_seed0,S2,8,S8_context_tokens,84,0.7507555710640093
mirror_v1_seed0,S3,0,S0_global,1,0.6447983400696824
mirror_v1_seed0,S3,1,S1_subject,10,0.5915141730358987
mirror_v1_seed0,S3,2,S2_calendar,14,0.5936020638584858
mirror_v1_seed0,S3,3,S3_own_neighbor,16,0.6060568816211049
mirror_v1_seed0,S3,4,S4_other_neighbor,28,0.6273032642075235
mirror_v1_seed0,S3,5,S5_latent,29,0.6644650238374918
mirror_v1_seed0,S3,6,S6_engineered,59,0.7051418752465062
mirror_v1_seed0,S3,7,S7_coverage,79,0.7276843452845507
mirror_v1_seed0,S3,8,S8_context_tokens,84,0.7430208503564589
mirror_v1_seed0,S4,0,S0_global,1,0.6893795953575346
mirror_v1_seed0,S4,1,S1_subject,10,0.6274007491493848
mirror_v1_seed0,S4,2,S2_calendar,14,0.6383600712963563
mirror_v1_seed0,S4,3,S3_own_neighbor,16,0.6442872066309902
mirror_v1_seed0,S4,4,S4_other_neighbor,28,0.6767314217040814
mirror_v1_seed0,S4,5,S5_latent,29,0.6749738484064968
mirror_v1_seed0,S4,6,S6_engineered,59,0.7345889661703722
mirror_v1_seed0,S4,7,S7_coverage,79,0.7644321063843909
mirror_v1_seed0,S4,8,S8_context_tokens,84,0.7622525917896347
mirror_v1_seed1,Q1,0,S0_global,1,0.6946835093869611
mirror_v1_seed1,Q1,1,S1_subject,10,0.7066275795240655
mirror_v1_seed1,Q1,2,S2_calendar,14,0.6992440156238395
mirror_v1_seed1,Q1,3,S3_own_neighbor,16,0.6867139581397957
mirror_v1_seed1,Q1,4,S4_other_neighbor,28,0.7096214000572956
mirror_v1_seed1,Q1,5,S5_latent,29,0.7166902076828048
mirror_v1_seed1,Q1,6,S6_engineered,59,0.8199450842704186
mirror_v1_seed1,Q1,7,S7_coverage,79,0.9077641070628654
mirror_v1_seed1,Q1,8,S8_context_tokens,84,0.9141860996458461
mirror_v1_seed1,Q2,0,S0_global,1,0.6825545696823127
mirror_v1_seed1,Q2,1,S1_subject,10,0.7831624679876689
mirror_v1_seed1,Q2,2,S2_calendar,14,0.7791237010348439
mirror_v1_seed1,Q2,3,S3_own_neighbor,16,0.772978070911825
mirror_v1_seed1,Q2,4,S4_other_neighbor,28,0.7583822542461282
mirror_v1_seed1,Q2,5,S5_latent,29,0.7512439945613311
mirror_v1_seed1,Q2,6,S6_engineered,59,0.7927638288411344
mirror_v1_seed1,Q2,7,S7_coverage,79,0.8348396650610034
mirror_v1_seed1,Q2,8,S8_context_tokens,84,0.8392947639757289
mirror_v1_seed1,Q3,0,S0_global,1,0.6668583541142784
mirror_v1_seed1,Q3,1,S1_subject,10,0.7713105068721813
mirror_v1_seed1,Q3,2,S2_calendar,14,0.7573340570301172
mirror_v1_seed1,Q3,3,S3_own_neighbor,16,0.7435024345613525
