fold,target,model,control,logloss
mirror_v1_seed0,Q1,subj_tokens,C0_real,0.6825888567984648
mirror_v1_seed0,Q1,subj_tokens,C1_within_subj_perm_seed0,0.6762186124953117
mirror_v1_seed0,Q1,subj_tokens,C1_within_subj_perm_seed1,0.6974894295473463
mirror_v1_seed0,Q1,subj_tokens,C1_within_subj_perm_seed2,0.6736591051055008
mirror_v1_seed0,Q1,subj_tokens,C2_date_shifted_feats,0.6759129591090511
mirror_v1_seed0,Q1,subj_tokens,C5_fake_target_seed0,0.7246620544503912
mirror_v1_seed0,Q1,subj_tokens,C5_fake_target_seed1,0.6904372475626859
mirror_v1_seed0,Q1,subj_cov,C0_real,0.7019503045029927
mirror_v1_seed0,Q1,subj_cov,C1_within_subj_perm_seed0,0.6730066134951039
mirror_v1_seed0,Q1,subj_cov,C1_within_subj_perm_seed1,0.6667706604095204
mirror_v1_seed0,Q1,subj_cov,C1_within_subj_perm_seed2,0.6973568787190937
mirror_v1_seed0,Q1,subj_cov,C2_date_shifted_feats,0.7147737619897536
mirror_v1_seed0,Q1,subj_cov,C5_fake_target_seed0,0.7442013186760953
mirror_v1_seed0,Q1,subj_cov,C5_fake_target_seed1,0.7085064056841966
mirror_v1_seed0,Q1,subject_only,C4_subject_only,0.6693479997492482
mirror_v1_seed0,Q1,coverage_only,C3_coverage_only,0.725416781398438
mirror_v1_seed0,Q2,subj_tokens,C0_real,0.7426988621128464
mirror_v1_seed0,Q2,subj_tokens,C1_within_subj_perm_seed0,0.7257466518711952
mirror_v1_seed0,Q2,subj_tokens,C1_within_subj_perm_seed1,0.7287839257509832
mirror_v1_seed0,Q2,subj_tokens,C1_within_subj_perm_seed2,0.7327261923967924
mirror_v1_seed0,Q2,subj_tokens,C2_date_shifted_feats,0.7250730394246812
mirror_v1_seed0,Q2,subj_tokens,C5_fake_target_seed0,0.7491063063314998
mirror_v1_seed0,Q2,subj_tokens,C5_fake_target_seed1,0.7923179193702566
mirror_v1_seed0,Q2,subj_cov,C0_real,0.7018403536466553
mirror_v1_seed0,Q2,subj_cov,C1_within_subj_perm_seed0,0.7380330322249374
mirror_v1_seed0,Q2,subj_cov,C1_within_subj_perm_seed1,0.7400409647954996
mirror_v1_seed0,Q2,subj_cov,C1_within_subj_perm_seed2,0.7425253599410684
mirror_v1_seed0,Q2,subj_cov,C2_date_shifted_feats,0.7235593674011392
mirror_v1_seed0,Q2,subj_cov,C5_fake_target_seed0,0.7369880360023219
mirror_v1_seed0,Q2,subj_cov,C5_fake_target_seed1,0.7477377374527477
mirror_v1_seed0,Q2,subject_only,C4_subject_only,0.7227597512113295
mirror_v1_seed0,Q2,coverage_only,C3_coverage_only,0.6979868650189223
mirror_v1_seed0,Q3,subj_tokens,C0_real,0.7101158318403469
mirror_v1_seed0,Q3,subj_tokens,C1_within_subj_perm_seed0,0.6995060103561761
mirror_v1_seed0,Q3,subj_tokens,C1_within_subj_perm_seed1,0.7152335495893918
mirror_v1_seed0,Q3,subj_tokens,C1_within_subj_perm_seed2,0.7275887709716563
mirror_v1_seed0,Q3,subj_tokens,C2_date_shifted_feats,0.7103712627643697
mirror_v1_seed0,Q3,subj_tokens,C5_fake_target_seed0,0.7561566725775121
mirror_v1_seed0,Q3,subj_tokens,C5_fake_target_seed1,0.7660426279983145
mirror_v1_seed0,Q3,subj_cov,C0_real,0.7039702406441946
mirror_v1_seed0,Q3,subj_cov,C1_within_subj_perm_seed0,0.7080067796176075
mirror_v1_seed0,Q3,subj_cov,C1_within_subj_perm_seed1,0.707327922393105
mirror_v1_seed0,Q3,subj_cov,C1_within_subj_perm_seed2,0.7330893562293311
mirror_v1_seed0,Q3,subj_cov,C2_date_shifted_feats,0.7014790313186811
mirror_v1_seed0,Q3,subj_cov,C5_fake_target_seed0,0.7549217362192345
mirror_v1_seed0,Q3,subj_cov,C5_fake_target_seed1,0.7922069301570588
mirror_v1_seed0,Q3,subject_only,C4_subject_only,0.6990382960086315
mirror_v1_seed0,Q3,coverage_only,C3_coverage_only,0.672713888582401
mirror_v1_seed0,S1,subj_tokens,C0_real,0.6226617341225849
mirror_v1_seed0,S1,subj_tokens,C1_within_subj_perm_seed0,0.6354191980703912
mirror_v1_seed0,S1,subj_tokens,C1_within_subj_perm_seed1,0.6336787783617099
mirror_v1_seed0,S1,subj_tokens,C1_within_subj_perm_seed2,0.6216059716610454
mirror_v1_seed0,S1,subj_tokens,C2_date_shifted_feats,0.6221643951363588
mirror_v1_seed0,S1,subj_tokens,C5_fake_target_seed0,0.6393896665393135
mirror_v1_seed0,S1,subj_tokens,C5_fake_target_seed1,0.6964656694919931
mirror_v1_seed0,S1,subj_cov,C0_real,0.6272273396303053
mirror_v1_seed0,S1,subj_cov,C1_within_subj_perm_seed0,0.6235853477488095
mirror_v1_seed0,S1,subj_cov,C1_within_subj_perm_seed1,0.6246699444718812
mirror_v1_seed0,S1,subj_cov,C1_within_subj_perm_seed2,0.6406994769614668
mirror_v1_seed0,S1,subj_cov,C2_date_shifted_feats,0.6178918132730911
mirror_v1_seed0,S1,subj_cov,C5_fake_target_seed0,0.6403917528195057
mirror_v1_seed0,S1,subj_cov,C5_fake_target_seed1,0.6801170157820838
mirror_v1_seed0,S1,subject_only,C4_subject_only,0.6187695717381789
mirror_v1_seed0,S1,coverage_only,C3_coverage_only,0.6413558398710125
mirror_v1_seed0,S2,subj_tokens,C0_real,0.5972799377075589
mirror_v1_seed0,S2,subj_tokens,C1_within_subj_perm_seed0,0.5998798694555412
mirror_v1_seed0,S2,subj_tokens,C1_within_subj_perm_seed1,0.6067632252868336
mirror_v1_seed0,S2,subj_tokens,C1_within_subj_perm_seed2,0.5795043106627537
mirror_v1_seed0,S2,subj_tokens,C2_date_shifted_feats,0.58407218393713
mirror_v1_seed0,S2,subj_tokens,C5_fake_target_seed0,0.6365040089605616
mirror_v1_seed0,S2,subj_tokens,C5_fake_target_seed1,0.6281499795546786
mirror_v1_seed0,S2,subj_cov,C0_real,0.5899964148203589
mirror_v1_seed0,S2,subj_cov,C1_within_subj_perm_seed0,0.6000440071489785
mirror_v1_seed0,S2,subj_cov,C1_within_subj_perm_seed1,0.5913022884041248
mirror_v1_seed0,S2,subj_cov,C1_within_subj_perm_seed2,0.6201832136336479
mirror_v1_seed0,S2,subj_cov,C2_date_shifted_feats,0.5835137223897571
mirror_v1_seed0,S2,subj_cov,C5_fake_target_seed0,0.6206792317770317
mirror_v1_seed0,S2,subj_cov,C5_fake_target_seed1,0.6088398595090162
mirror_v1_seed0,S2,subject_only,C4_subject_only,0.5813599676090399
mirror_v1_seed0,S2,coverage_only,C3_coverage_only,0.660867683950852
mirror_v1_seed0,S3,subj_tokens,C0_real,0.6073846814401285
mirror_v1_seed0,S3,subj_tokens,C1_within_subj_perm_seed0,0.6119935437925372
