source,model,n,k,C,mean_delta,worst_delta,best_group_delta,groups,mean_auc
existing_no_flat,raw_selectk,,32.0,0.003,-0.011506361448285287,0.001901724175129164,-0.01811786497021754,4,0.7177907045440666
combo_existing_dayflat,raw_selectk,,32.0,0.003,-0.010341667866662779,0.004745839692248103,-0.022611778948397204,4,0.7169061443561116
combo_existing_dayflat,raw_selectk,,32.0,0.001,-0.00873461411078782,0.0001136297411210944,-0.020249167840692417,4,0.7166961060182147
existing_no_flat,raw_selectk,,32.0,0.01,-0.006891330232831594,0.018349594817110033,-0.025376874400925398,4,0.7180612392833461
existing_no_flat,raw_selectk,,32.0,0.001,-0.0063671607814410214,0.009293092619204116,-0.02219994891974711,4,0.7131345363130978
existing_no_flat,raw_selectk,,60.0,0.001,-0.006278092773251601,0.02545646242179737,-0.043651887849856706,4,0.7198772576649093
combo_existing_dayflat,raw_selectk,,32.0,0.01,-0.0056030734530347235,0.020286011391516052,-0.029104262873817344,4,0.7156530274548207
combo_existing_dayflat_axes,raw_selectk,,32.0,0.003,-0.0055617805423174875,0.0028419134233445367,-0.016923345234850045,4,0.7131416894906778
existing_no_flat,raw_selectk,,60.0,0.003,-0.005374964665309426,0.029173589968507534,-0.04188537578599405,4,0.7150371993204574
existing_no_flat,raw_selectk,,20.0,0.01,-0.005062377853557717,0.013951745057635523,-0.026851268590889377,4,0.714346990733712
existing_no_flat,raw_selectk,,20.0,0.003,-0.004531416412543142,0.002171581529370803,-0.012709056541445718,4,0.7132469003884523
combo_existing_dayflat_axes,raw_selectk,,32.0,0.01,-0.004523876200792874,0.015616640654290137,-0.027802955222882158,4,0.7115982071634205
combo_existing_dayflat_axes,raw_selectk,,60.0,0.001,-0.0034084371220523928,0.027465093246570833,-0.032498117282366366,4,0.7129666823689648
combo_existing_dayflat,raw_selectk,,60.0,0.001,-0.003391399708737675,0.02713180531571835,-0.0319448073392171,4,0.7129337180534054
combo_existing_dayflat_axes,raw_selectk,,60.0,0.003,-0.0025443733692315593,0.03342123768951729,-0.03182585395486246,4,0.7103667796152597
combo_existing_dayflat,raw_selectk,,60.0,0.003,-0.002234477519760609,0.033592429679744885,-0.030907574347493732,4,0.7100385384139397
combo_existing_dayflat_axes,raw_selectk,,32.0,0.001,-0.0013880949371287514,-6.643958859425814e-05,-0.0032959194223458796,4,0.7128301841643441
existing_base_cfg,basecfg,,,,0.0,0.0,0.0,4,0.712450084530649
existing_no_flat,raw_selectk,,20.0,0.001,0.0,0.0,0.0,4,0.712450084530649
combo_existing_dayflat,raw_selectk,,20.0,0.01,0.00020769284041106256,0.029928515032771903,-0.03387495938815297,4,0.7075424750487449
existing_no_flat,raw_selectk,,20.0,0.03,0.0020145332892629693,0.03364774239804887,-0.03003811507216501,4,0.7150892458123752
combo_existing_dayflat_axes,raw_selectk,,20.0,0.01,0.0029204666147679657,0.028789682547122247,-0.03297332667474969,4,0.7024455358752981
existing_no_flat,raw_selectk,,32.0,0.03,0.003965857379558489,0.0388833355643449,-0.023389586506256405,4,0.7159341555856427
combo_existing_dayflat_axes,raw_selectk,,32.0,0.03,0.004217531111007431,0.03413382174524582,-0.023365462047475343,4,0.7101445826362756
combo_existing_dayflat,raw_selectk,,20.0,0.03,0.004523365300684357,0.04357113713500719,-0.0378790632067012,4,0.7111143466979502
existing_no_flat,raw_selectk,,12.0,0.01,0.004842315448689188,0.03034282184650794,-0.026111981397075767,4,0.6998669319254753
combo_existing_dayflat,raw_selectk,,20.0,0.003,0.005485284145028233,0.026842255599558922,-0.016098292496008988,4,0.7047038551956837
combo_existing_dayflat_axes,raw_selectk,,20.0,0.03,0.005742154932226197,0.04061151543422999,-0.035593264995555964,4,0.7056138725868657
existing_no_flat,raw_selectk,,12.0,0.03,0.005855677197033778,0.043812014561959156,-0.03451272737513955,4,0.6982181650108884
existing_no_flat,raw_selectk,,60.0,0.01,0.006522989703827865,0.047200100962438506,-0.031039331485769373,4,0.7118540907485108
combo_existing_dayflat,raw_selectk,,32.0,0.03,0.0066828962408932505,0.04172734355948112,-0.021243128245674408,4,0.7127009340216321
combo_existing_dayflat_axes,raw_selectk,,60.0,0.01,0.009246277472311337,0.05294858261711988,-0.019872803509374204,4,0.7079070395179492
combo_existing_dayflat_axes,raw_selectk,,20.0,0.003,0.009766597089481268,0.03401221798505241,-0.015745968266335435,4,0.7011983605559479
combo_existing_dayflat,raw_selectk,,60.0,0.01,0.010699824170490322,0.05558605829330369,-0.018670879789955314,4,0.7078839772365131
existing_no_flat,raw_selectk,,12.0,0.003,0.012334940269741624,0.036091409001005714,-0.010006147559386724,4,0.6994892117988915
combo_existing_dayflat_axes,raw_selectk,,12.0,0.03,0.013291162876674277,0.06787950158913843,-0.0386646563584964,4,0.6878085678610845
combo_existing_dayflat,raw_selectk,,20.0,0.001,0.013323240326648904,0.03101135367112758,-0.0010109273055767993,4,0.7039226758307224
combo_existing_dayflat,raw_selectk,,12.0,0.03,0.013414290456510027,0.06787950158913843,-0.0381721460391534,4,0.688055247290088
combo_existing_dayflat_axes,raw_selectk,,12.0,0.01,0.01601576607764607,0.06547684775518021,-0.031975778885167304,4,0.6896452731591037
combo_existing_dayflat,raw_selectk,,12.0,0.01,0.016166013074114388,0.06547684775518021,-0.031374790899294035,4,0.689756057333806
existing_no_flat,svd,32.0,,0.03,0.01690039107563088,0.0534905685236586,-0.018659204875907238,4,0.695615971496281
existing_no_flat,raw_selectk,,8.0,0.03,0.017897930657426356,0.07676477861434287,-0.03664863845848219,4,0.6706417102257289
combo_existing_dayflat_axes,raw_selectk,,20.0,0.001,0.01865278704548195,0.04345578925069557,-0.0008073483539704496,4,0.6993872533711281
existing_no_flat,pca,32.0,,0.03,0.018991917097543526,0.06921091701600775,-0.028916888900349862,4,0.697233943967412
existing_no_flat,raw_selectk,,12.0,0.001,0.02058006214503469,0.046072417775056995,0.0016859063972046173,4,0.7001993840966574
combo_existing_dayflat,raw_selectk,,8.0,0.03,0.020906687802060828,0.07537559621317298,-0.02985081919230015,4,0.6788420884993651
combo_existing_dayflat_axes,raw_selectk,,8.0,0.03,0.020906687802060828,0.07537559621317298,-0.02985081919230015,4,0.6788420884993651
day_flat_hourly,raw_selectk,,8.0,0.03,0.022974082707042078,0.05052403237751194,-0.010156930498036435,4,0.66191826214495
existing_no_flat,raw_selectk,,8.0,0.01,0.02367581591650415,0.07364640737217946,-0.020849050558078303,4,0.6691505018840385
combo_existing_dayflat_axes,svd,32.0,,0.03,0.025195971271237093,0.05571607129725383,-0.007093545530061214,4,0.6759031444253061
existing_no_flat,raw_selectk,,60.0,0.03,0.026046206937257437,0.072333989582044,-0.015389923157160165,4,0.7049864062186612
combo_existing_dayflat_axes,pca,32.0,,0.03,0.027485192581451753,0.06618203025921181,-0.01288071978671762,4,0.67502396226109
combo_existing_dayflat,raw_selectk,,8.0,0.01,0.028777804203929166,0.07227454061904219,-0.013571855882597553,4,0.6776907734799681
combo_existing_dayflat_axes,raw_selectk,,8.0,0.01,0.028777804203929166,0.07227454061904219,-0.013571855882597553,4,0.6776907734799681
combo_existing_dayflat,pca,32.0,,0.03,0.029642970908076896,0.06683942941758947,-0.010895762002280929,4,0.6752838632809357
combo_existing_dayflat_axes,pca,16.0,,0.03,0.03005047799367314,0.0710679818461674,-0.01062759373545935,4,0.6770637840800362
combo_existing_dayflat_axes,raw_selectk,,60.0,0.03,0.030101596455607803,0.07798287586112163,-0.01848413773437781,4,0.6985819048271462
combo_existing_dayflat_axes,raw_selectk,,12.0,0.003,0.03013732529186791,0.07909492751816931,-0.0143023909869087,4,0.6932303978798696
combo_existing_dayflat,raw_selectk,,12.0,0.003,0.030216224715586524,0.07909492751816931,-0.013986793292034247,4,0.692865548664517
combo_existing_dayflat_axes,svd,16.0,,0.03,0.03064636650405899,0.05945993353443505,-0.002610076750008461,4,0.6682878360179373
combo_existing_dayflat,svd,32.0,,0.03,0.031365973041290185,0.06634244105134324,-0.005868871602165408,4,0.669160406506442
day_flat_hourly,raw_selectk,,12.0,0.03,0.03221763440051009,0.06511418550983139,0.001274428505916932,4,0.6424376839603065
day_flat_hourly,raw_selectk,,20.0,0.03,0.03240088013330705,0.06261731321409462,0.004930687239923108,4,0.655783388647523
combo_existing_dayflat,raw_selectk,,60.0,0.03,0.033192468395604885,0.08359150515197981,-0.01573424301363635,4,0.7001526123978106
day_flat_hourly,raw_selectk,,8.0,0.01,0.03464932216109329,0.059014799910461435,0.005284848268285162,4,0.6608059886011733
existing_no_flat,svd,16.0,,0.03,0.0356563487557308,0.07546551203078518,-0.0007150343540021087,4,0.6686035268376238
combo_existing_dayflat,pca,16.0,,0.03,0.036626001341317896,0.08209810462889384,-0.011720746312202213,4,0.6734420748464631
combo_existing_dayflat,svd,16.0,,0.03,0.036967551699369,0.0749083912909625,-0.008672325215309954,4,0.6679862897326585
existing_no_flat,svd,32.0,,0.01,0.03875874400101479,0.06724444697953928,0.01008797577028725,4,0.6893886571255752
day_flat_hourly,raw_selectk,,12.0,0.01,0.038911421975238454,0.0658715926481374,0.011230155147167945,4,0.6483594295287467
day_flat_hourly,raw_selectk,,20.0,0.01,0.038980617250302725,0.06294910025462697,0.023262760136410782,4,0.6534426034465399
existing_no_flat,pca,32.0,,0.01,0.03931437548531049,0.07708748746769678,-0.00015887160101368814,4,0.6924408223384397
existing_no_flat,raw_selectk,,8.0,0.003,0.04093600485690868,0.08719438669593649,0.0011126560075401988,4,0.669606611721503
existing_no_flat,pca,16.0,,0.03,0.042235287488762555,0.10171370440102523,-0.008616485619515038,4,0.6750660306756298
combo_existing_dayflat_axes,svd,32.0,,0.01,0.043532178299766196,0.06793144079914926,0.01415107702193071,4,0.6700641800550134
combo_existing_dayflat_axes,raw_selectk,,12.0,0.001,0.044567998808118854,0.09703469221559331,-0.0003489192165855859,4,0.6937492116388811
combo_existing_dayflat,raw_selectk,,12.0,0.001,0.04460321284515548,0.09703469221559331,-0.0002080630684390868,4,0.6932986893284255
combo_existing_dayflat_axes,pca,32.0,,0.01,0.04495577411860956,0.07630778440490786,0.008270087581657537,4,0.6693641118019198
combo_existing_dayflat,kmeans,32.0,,0.03,0.04510558429603303,0.08540283924385832,0.014131023735588258,4,0.6630189615927303
day_flat_hourly,pca,32.0,,0.03,0.045797122607988364,0.09206395827666798,-0.004303046441161122,4,0.6242278505454555
day_flat_hourly,raw_selectk,,32.0,0.03,0.04590782019453736,0.07260077544748351,0.01797226443353363,4,0.6453977269661597
combo_existing_dayflat,pca,32.0,,0.01,0.047519994923366955,0.07933378314520982,0.009244184610227116,4,0.667239742944537
combo_existing_dayflat,svd,32.0,,0.01,0.048547905197440684,0.07698976919437255,0.01344356846185559,4,0.6602565953893798
day_flat_hourly,raw_selectk,,32.0,0.01,0.04902266396097818,0.07268895501396362,0.031686165277092705,4,0.6326628990437526
combo_existing_dayflat_axes,kmeans,32.0,,0.03,0.04906989955617844,0.09815385432793744,0.009961115115358096,4,0.6628925113514005
combo_existing_dayflat,raw_selectk,,8.0,0.003,0.049571823586650174,0.08578196786850467,0.010614327015882552,4,0.6772147904660742
combo_existing_dayflat_axes,raw_selectk,,8.0,0.003,0.049571823586650174,0.08578196786850467,0.010614327015882552,4,0.6772147904660742
combo_existing_dayflat_axes,svd,16.0,,0.01,0.0497773370269384,0.07628994764907404,0.019830271261310966,4,0.656450772214779
combo_existing_dayflat,kmeans,16.0,,0.03,0.05043297807968449,0.0838412507631419,0.022742016580203844,4,0.6446599109053175
day_flat_hourly,svd,32.0,,0.03,0.05055965079224867,0.09904127034720622,0.0006615987755278682,4,0.6056782876732001
combo_existing_dayflat_axes,pca,16.0,,0.01,0.05058781288116924,0.0853040733346151,0.012679831086392332,4,0.6664252162964991
existing_no_flat,kmeans,32.0,,0.03,0.05089886794302491,0.10879688827004634,-0.008012443183983439,4,0.6668110548503037
existing_no_flat,svd,16.0,,0.01,0.051765543916304474,0.08278153398899717,0.02225538275537729,4,0.6570188109814259
day_flat_hourly,pca,32.0,,0.01,0.05226028653230549,0.08946370445999496,0.009659899792448357,4,0.6198287205729008
combo_existing_dayflat_axes,kmeans,16.0,,0.03,0.05255593403958378,0.09249611838191456,0.020070079483876402,4,0.6423830244072863
existing_no_flat,pca,8.0,,0.03,0.05307670468364159,0.10288530087214849,-0.0013044967313739868,4,0.6313977524925231
existing_no_flat,pca,2.0,,0.03,0.05433078147445956,0.08656182834693467,0.015362093457492362,4,0.597179177001153
existing_no_flat,pca,16.0,,0.01,0.05496957497684022,0.09939807383280841,0.013397574102002504,4,0.6688417130120682
day_flat_hourly,svd,32.0,,0.01,0.05508063990019579,0.09443676217779869,0.012328901262899853,4,0.5966132358575409
day_flat_hourly,raw_selectk,,20.0,0.003,0.05588445494065767,0.07806713621952673,0.03584029881739089,4,0.6528254226265122
combo_existing_dayflat,pca,16.0,,0.01,0.0560004375469188,0.09670369312981379,0.011763109585823162,4,0.6625868458066366
combo_existing_dayflat,svd,16.0,,0.01,0.05601107127377074,0.09099426548710765,0.015052205690739747,4,0.6579212925682267
existing_no_flat,raw_selectk,,8.0,0.001,0.05615642239599651,0.10382368363863681,0.015277242594592252,4,0.6676655805850792
day_flat_hourly,kmeans,32.0,,0.03,0.05641929307941693,0.09398983362039152,0.015127339322646427,4,0.6063872836056823
combo_existing_dayflat,pca,4.0,,0.03,0.05661721291748294,0.09042588057040642,0.01791386010944951,4,0.6152336252769656
existing_no_flat,kmeans,8.0,,0.03,0.05763734745800426,0.10782288260083968,0.012045309553282793,4,0.6575249792189655
existing_no_flat,kmeans,16.0,,0.03,0.058016440557007734,0.11681172081503759,0.006152597480422332,4,0.6580292515207247
existing_no_flat,pca,4.0,,0.03,0.0583776522244223,0.09081766889973035,0.019714161337361296,4,0.5996083217744664
day_flat_hourly,raw_selectk,,8.0,0.003,0.058456402341556975,0.0839739258558998,0.026644995509799502,4,0.6610931521559955
existing_no_flat,svd,4.0,,0.03,0.058649283959333304,0.0834457351013989,0.03285573838064212,4,0.6041249097886812
day_flat_hourly,raw_selectk,,12.0,0.003,0.05864978834099098,0.08484012339933338,0.0284636119446523,4,0.6501120913038155
existing_no_flat,svd,8.0,,0.03,0.058816382319662665,0.09087168745909598,0.01896719926061143,4,0.6250187619259623
combo_existing_dayflat_axes,pca,8.0,,0.03,0.05965595835326104,0.10785927424689427,0.008748138588843065,4,0.6201198791660532
combo_existing_dayflat,pca,8.0,,0.03,0.06000881304787311,0.10558353811892658,0.009262709096459468,4,0.6186985236678882
day_flat_hourly,svd,8.0,,0.03,0.06038947984988514,0.09632433292066463,0.022248167255327505,4,0.577558785520974
day_flat_hourly,raw_selectk,,32.0,0.003,0.060893525407543156,0.08528441357163552,0.040109479988426434,4,0.6175624648353514
day_flat_hourly,svd,16.0,,0.03,0.06117573755966487,0.10305208453582566,0.018946065556384395,4,0.5497702479586146
combo_existing_dayflat_axes,pca,4.0,,0.03,0.06227971203439587,0.10019118420289423,0.02337535056878613,4,0.5897908902077094
existing_no_flat,pca,8.0,,0.01,0.06228536411791427,0.10021639478735833,0.018782628356879622,4,0.6270393684027143
day_flat_hourly,kmeans,16.0,,0.03,0.06249729762318927,0.10039604448628332,0.02228842802460847,4,0.5818205968632986
day_flat_hourly,pca,16.0,,0.03,0.06261875556653877,0.10462124957048986,0.01886158812915158,4,0.5439308057314637
combo_existing_dayflat_axes,kmeans,32.0,,0.01,0.0626384100392821,0.09693582377467617,0.03489930135614577,4,0.6464305094541827
combo_existing_dayflat,kmeans,32.0,,0.01,0.06404889737124125,0.09712883142075197,0.037516703022111984,4,0.6424921390345358
existing_no_flat,pca,2.0,,0.01,0.06407281018710966,0.09433617155577619,0.027381631153163406,4,0.5873008401687589
existing_no_flat,svd,2.0,,0.03,0.06409668927430362,0.09818699876513615,0.02440539936666501,4,0.5736522952621766
combo_existing_dayflat,svd,8.0,,0.03,0.06441414007188817,0.10007475038795537,0.020979284550071087,4,0.6001160244176172
existing_no_flat,svd,8.0,,0.01,0.06510726126231234,0.08969833968441021,0.03352282081442163,4,0.6126676940497099
day_flat_hourly,svd,16.0,,0.01,0.06543240522233534,0.10260421317592265,0.02567460722119186,4,0.5425426917964612
existing_no_flat,pca,4.0,,0.01,0.06554830329430221,0.09553064310043761,0.029329581749484707,4,0.5932145978796719
day_flat_hourly,pca,8.0,,0.03,0.06572996734162614,0.10593086691726887,0.020848514555067494,4,0.5298065078477135
existing_no_flat,kmeans,32.0,,0.01,0.06578497562586348,0.1136997705656047,0.01788980696196128,4,0.6565803011662786
combo_existing_dayflat,kmeans,8.0,,0.03,0.06598828413142921,0.1021956669336046,0.030664214417795505,4,0.582881097446801
combo_existing_dayflat_axes,pca,8.0,,0.01,0.06617245491896794,0.10603250984408437,0.023618207859486835,4,0.6110966026352839
existing_no_flat,pca,32.0,,0.003,0.06638824129590169,0.09680841418926718,0.029123276166878893,4,0.6873031517602578
day_flat_hourly,pca,16.0,,0.01,0.06649075323340463,0.10387846137085754,0.025480041844698098,4,0.5417884064438827
existing_no_flat,svd,32.0,,0.003,0.06651105642296334,0.09063697321494608,0.0368777328607184,4,0.6807677051127828
existing_no_flat,svd,4.0,,0.01,0.06676913935183121,0.09059652794598994,0.040429137598910626,4,0.5955820129513077
combo_existing_dayflat,pca,4.0,,0.01,0.06682840840998357,0.09850317527516213,0.02865323860695525,4,0.5996842691108891
day_flat_hourly,svd,8.0,,0.01,0.0668543468516001,0.10087390783389445,0.029227418473269855,4,0.5624184091809771
combo_existing_dayflat_axes,svd,8.0,,0.03,0.06696659220151664,0.10240329082859419,0.02775402843271883,4,0.5841345117164423
combo_existing_dayflat,pca,2.0,,0.03,0.0670288690492987,0.10685774353383559,0.017305971074748534,4,0.5223557436171656
combo_existing_dayflat,pca,8.0,,0.01,0.06706944440830888,0.10495256917347984,0.023729288251644536,4,0.6054702824851901
day_flat_hourly,kmeans,32.0,,0.01,0.06716900839222534,0.10092210735166818,0.028561705665862153,4,0.5887211308403921
day_flat_hourly,kmeans,2.0,,0.03,0.06767757889427076,0.11076766853397424,0.018799881783050493,4,0.5497056549319613
combo_existing_dayflat_axes,pca,2.0,,0.03,0.06803386812475484,0.10808743430174657,0.019040352525885523,4,0.4980755608956733
combo_existing_dayflat,kmeans,16.0,,0.01,0.06825080513149509,0.09855303885276001,0.041517001041856516,4,0.6192079101910611
combo_existing_dayflat,raw_selectk,,8.0,0.001,0.06826253871783236,0.10279918117551783,0.02741929698766421,4,0.6738507704852275
combo_existing_dayflat_axes,raw_selectk,,8.0,0.001,0.06826253871783236,0.10279918117551783,0.02741929698766421,4,0.6738507704852275
combo_existing_dayflat_axes,svd,32.0,,0.003,0.06833848010866918,0.09283609270601086,0.03555803732231059,4,0.661859655462224
day_flat_hourly,kmeans,8.0,,0.03,0.0684957307439734,0.10779611567579768,0.022385733511048667,4,0.5513709052911094
combo_existing_dayflat,svd,2.0,,0.03,0.06885882490497172,0.10441530220309865,0.02533114625373654,4,0.5075061059877315
combo_existing_dayflat_axes,kmeans,8.0,,0.03,0.06894503571277491,0.10625967678381239,0.034780441839811736,4,0.5683689775959244
day_flat_hourly,pca,2.0,,0.03,0.06901981704161603,0.11160140881675966,0.01780778213952583,4,0.46596902931544293
combo_existing_dayflat_axes,pca,32.0,,0.003,0.06907485259491095,0.09834392295018639,0.03213942750048384,4,0.6626446486468821
combo_existing_dayflat_axes,kmeans,16.0,,0.01,0.06927055442345478,0.10358979087970144,0.039248746149570836,4,0.6162395553899066
day_flat_hourly,raw_selectk,,60.0,0.01,0.06932077483458403,0.10008248779992816,0.045356487260935385,4,0.6033463519511252
day_flat_hourly,svd,2.0,,0.03,0.06958395966513527,0.11190433955537904,0.019309393607634617,4,0.4517305530517782
combo_existing_dayflat_axes,pca,4.0,,0.01,0.06972138267841475,0.10517392114227986,0.030934882060287328,4,0.565137534990536
combo_existing_dayflat,svd,4.0,,0.03,0.06980738240434435,0.10193197698105057,0.032631429238774566,4,0.5247642836570406
day_flat_hourly,kmeans,16.0,,0.01,0.06981966530295307,0.10337325052254583,0.032877737212636926,4,0.5752446669414968
combo_existing_dayflat_axes,svd,2.0,,0.03,0.07000384325288986,0.10531503188924973,0.02739314259138198,4,0.4918079677030143
day_flat_hourly,pca,8.0,,0.01,0.07005156494386941,0.10655154156521567,0.028502550226920203,4,0.5278775136027872
existing_no_flat,svd,2.0,,0.01,0.07038943839838455,0.09912918551520007,0.036399758201386835,4,0.5630303645916798
combo_existing_dayflat,pca,32.0,,0.003,0.07068629674208533,0.10055656869713743,0.032589395914902376,4,0.6597239359379986
day_flat_hourly,kmeans,4.0,,0.03,0.07101741518587558,0.1151775749748895,0.02148425046056977,4,0.5263599941995436
combo_existing_dayflat_axes,svd,8.0,,0.01,0.07102849790771065,0.10096917541340548,0.03688726682616109,4,0.5738882790758026
combo_existing_dayflat_axes,svd,4.0,,0.03,0.07102882635018563,0.10271262246339075,0.035183125481443034,4,0.5162317251381008
combo_existing_dayflat,svd,8.0,,0.01,0.07112432548209706,0.10148269423299039,0.033338800975823535,4,0.5843711457052567
combo_existing_dayflat,svd,32.0,,0.003,0.07113431695001796,0.09813984627730281,0.034911103417617495,4,0.6523933933078631
day_flat_hourly,pca,32.0,,0.003,0.07129694461666358,0.10317544608749347,0.032027189156472124,4,0.6139732038591652
day_flat_hourly,raw_selectk,,20.0,0.001,0.0716277470641314,0.09691330375089253,0.04267851225265192,4,0.6445089353675783
day_flat_hourly,kmeans,2.0,,0.01,0.07188840737819675,0.10836559710094129,0.02926090229745178,4,0.5500573550766453
combo_existing_dayflat_axes,svd,16.0,,0.003,0.07204633464037069,0.09966588434619827,0.03855808531739896,4,0.6483662770872931
combo_existing_dayflat,pca,2.0,,0.01,0.07216963265302692,0.10768630885033877,0.02866710925886007,4,0.5050515359405319
day_flat_hourly,raw_selectk,,60.0,0.003,0.07224845532841688,0.10213321543057918,0.0479488692551581,4,0.5786428037758757
day_flat_hourly,svd,32.0,,0.003,0.07226195399221673,0.10545700309972254,0.03267477166963353,4,0.587495533066299
day_flat_hourly,pca,4.0,,0.03,0.07230618239014025,0.11483055395615012,0.022629072331116995,4,0.43809441322208204
existing_no_flat,kmeans,4.0,,0.03,0.07249961964598918,0.11956215384325723,0.025940258310652997,4,0.5626472905284832
existing_no_flat,kmeans,16.0,,0.01,0.07253369921189962,0.12078304903429053,0.028169054609205862,4,0.6470131681453796
day_flat_hourly,pca,2.0,,0.01,0.07267857767303355,0.10920518058306732,0.02858290313842608,4,0.4670791106846369
combo_existing_dayflat_axes,pca,2.0,,0.01,0.07288743007496595,0.10900172171097544,0.029363104687394875,4,0.4778590758989446
combo_existing_dayflat_axes,pca,16.0,,0.003,0.07292265161052926,0.10491150354606722,0.035182688915600745,4,0.6571756475164686
day_flat_hourly,svd,2.0,,0.01,0.07298597299302292,0.10967701499995479,0.028741163147016396,4,0.45096895669026427
day_flat_hourly,kmeans,8.0,,0.01,0.07299593827080479,0.10810240490042518,0.03130603286684552,4,0.5472918200070396
day_flat_hourly,raw_selectk,,32.0,0.001,0.0730998023242953,0.10170214042815577,0.04482650050783319,4,0.6043587313340573
existing_no_flat,svd,16.0,,0.003,0.07311656094493102,0.10030843394032996,0.041563016715425484,4,0.6484768914900052
combo_existing_dayflat,svd,2.0,,0.01,0.07317343525517354,0.10358965411163679,0.035678352212641186,4,0.5011935810178729
combo_existing_dayflat,kmeans,2.0,,0.03,0.07326365658630643,0.11329046608399614,0.02692606983443883,4,0.5116146395032313
existing_no_flat,pca,16.0,,0.003,0.0733410051234963,0.10709676997888277,0.035224269902352424,4,0.6657966637393447
combo_existing_dayflat,svd,4.0,,0.01,0.07347468468650241,0.10243977966240363,0.039117344476006156,4,0.5163956643413918
existing_no_flat,kmeans,8.0,,0.01,0.07358964219230027,0.11775291487551243,0.030848235342040047,4,0.6444635450482745
day_flat_hourly,kmeans,4.0,,0.01,0.07365993969183125,0.11124878068235548,0.030681995483478903,4,0.5302086773774404
day_flat_hourly,raw_selectk,,60.0,0.03,0.07391425962721958,0.10602098270289344,0.03755085377978581,4,0.6229725955711873
day_flat_hourly,pca,4.0,,0.01,0.07405059889909549,0.11060855513967116,0.030498083680504478,4,0.44936420210008
combo_existing_dayflat_axes,svd,2.0,,0.01,0.07412209971686312,0.10463394403359665,0.037048713996108505,4,0.47259928344339946
