group,target,feature,selected_count
semantic_app,Q1,sem__topapp_all_시스템_ui_time,9
semantic_app,Q1,sem__topapp_all_naver_time,9
semantic_app,Q1,sem__topapp_evening_시스템_ui_time,9
semantic_app,Q1,sem__topapp_evening_통화_time,9
semantic_app,Q1,sem__topapp_21_03_nonogram_elf_time,9
semantic_app,Q1,sem__topapp_21_03_통화_time,9
semantic_app,Q1,sem__topapp_evening_전화_time,9
semantic_app,Q1,sem__topapp_all_lg_thinq_time,9
semantic_app,Q1,sem__topapp_all_시프티_time,9
semantic_app,Q1,sem__topapp_21_03_전화_time,9
semantic_app,Q1,sem__topapp_21_03_설정_time,9
semantic_app,Q1,sem__topapp_evening_시프티_time,9
semantic_app,Q1,sem__topapp_all_instagram_time,8
semantic_app,Q1,sem__app_hourly_time_std,8
semantic_app,Q1,sem__topapp_evening_배달의민족_time,8
semantic_app,Q1,sem__topapp_21_03_youtube_music_time,8
semantic_app,Q1,sem__topapp_21_03_배달의민족_time,8
semantic_app,Q1,sem__topapp_evening_카카오맵_time,8
semantic_app,Q1,sem__topapp_00_06_당근_time,8
semantic_app,Q1,sem__topapp_00_06_chrome_time,8
semantic_app,Q1,sem__topapp_all_anyauth_time,8
semantic_app,Q1,sem__topapp_all_당근_time,7
semantic_app,Q1,sem__topapp_21_03_시스템_ui_time,7
semantic_app,Q1,sem__topapp_21_03_instagram_time,7
semantic_app,Q1,sem__topapp_evening_당근_time,7
semantic_app,Q1,sem__topapp_21_03_naver_time,7
semantic_app,Q1,sem__topapp_00_06_merge_designer_decor_story_time,7
semantic_app,Q1,sem__topapp_evening_토스_time,7
semantic_app,Q1,sem__topapp_00_06_google_play_스토어_time,7
semantic_app,Q1,sem__topapp_all_kb스타뱅킹_time,7
identity_token,Q1,tok__wifi_bssid:08:5d:dd:d8:9e:53,9
identity_token,Q1,tok__wifi_bssid:3a:5d:dd:d8:9e:53,9
identity_token,Q1,tok__wifi_bssid:08:5d:dd:d8:9e:52,9
identity_token,Q1,tok__wifi_bssid:42:23:aa:e3:b6:42,9
identity_token,Q1,tok__wifi_bssid:08:5d:dd:d1:35:67,9
identity_token,Q1,tok__wifi_bssid:3a:5d:dd:d1:35:67,9
identity_token,Q1,tok__wifi_bssid:3a:5d:dd:d8:9e:52,9
identity_token,Q1,tok__wifi_bssid:00:23:aa:e3:b6:42,9
identity_token,Q1,tok__wifi_bssid:0a:5d:dd:d8:9e:53,9
identity_token,Q1,tok__wifi_bssid:08:5d:dd:d1:35:66,9
identity_token,Q1,tok__usage_app_name:시스템 UI,9
identity_token,Q1,tok__wifi_bssid:3a:5d:dd:70:c5:30,9
identity_token,Q1,tok__wifi_bssid:08:5d:dd:70:c5:30,9
identity_token,Q1,tok__wifi_bssid:12:23:aa:e3:b6:42,9
identity_token,Q1,tok__wifi_bssid:42:23:aa:dc:6f:96,9
identity_token,Q1,tok__wifi_bssid:0a:5d:dd:d1:35:67,9
identity_token,Q1,tok__wifi_bssid:00:23:aa:dc:6f:96,9
identity_token,Q1,tok__wifi_bssid:3a:5d:dd:d1:35:66,9
identity_token,Q1,tok__wifi_bssid:12:23:aa:dc:6f:96,9
identity_token,Q1,tok__wifi_bssid:0a:5d:dd:70:c5:30,9
identity_token,Q1,tok__wifi_bssid:3a:5d:dd:73:32:68,9
identity_token,Q1,tok__wifi_bssid:08:5d:dd:73:32:68,9
identity_token,Q1,tok__wifi_bssid:0c:96:cd:86:47:1a,9
identity_token,Q1,tok__wifi_bssid:42:23:aa:e3:b6:43,9
identity_token,Q1,tok__wifi_bssid:0c:96:cd:86:47:1b,9
identity_token,Q1,tok__wifi_bssid:0a:5d:dd:73:32:68,9
identity_token,Q1,tok__wifi_bssid:22:23:aa:e3:b6:43,9
identity_token,Q1,tok__wifi_bssid:00:23:aa:e3:b6:43,9
identity_token,Q1,tok__wifi_bssid:0c:96:cd:ca:a9:1c,9
identity_token,Q1,tok__wifi_bssid:42:23:aa:d4:b5:02,9
hour_transition,Q1,h4__g4_h08_wlight_max_h_rz,9
hour_transition,Q1,h4__g4_h20_mlight_max_h_rz,9
hour_transition,Q1,h4__g4_late_21_02_mlight_max_h_rz_maxabs__prev_abs_delta,9
hour_transition,Q1,h4__g4_day_10_18_mlight_max_h_rz_maxabs__prev_abs_delta,9
hour_transition,Q1,h4__g4_morning_06_10_mlight_max_h_rz_maxabs__prev_abs_delta,9
hour_transition,Q1,h4__g4_h21_screen_use_sum_h_rz,9
hour_transition,Q1,h4__g4_day_10_18_mlight_max_h_rz_mean__prev_delta,9
hour_transition,Q1,h4__g4_h14_wlight_max_h_rz,9
hour_transition,Q1,h4__g4_morning_06_10_wlight_max_h_rz_mean,9
hour_transition,Q1,h4__g4_sleep_00_06_mlight_max_h_rz_mean__prev_abs_delta,9
