model,subset,n_features,k,C,fold_id,mean_logloss,logloss_Q1,logloss_Q2,logloss_Q3,logloss_S1,logloss_S2,logloss_S3,logloss_S4
feature_subset_selectk_logistic,daily_windows_only,1204,10,0.03,chrono_last_20,0.639833561207597,0.6768818703371108,0.6920355268690588,0.7005592399181905,0.5433098584827635,0.6369743966724811,0.5898025385675945,0.63927149760598
feature_subset_selectk_logistic,daily_windows_only,1204,10,0.03,chrono_last_30,0.639970279471867,0.6736940707965737,0.6620879413261983,0.6739516019231648,0.5807277354641283,0.6550668268977005,0.576380897769281,0.6578828821260221
feature_subset_selectk_logistic,daily_windows_only,1204,10,0.1,chrono_last_20,0.640305846254419,0.6806825403329797,0.6918188925179446,0.711219551485177,0.5264450121504146,0.6383039100622113,0.5983211809353498,0.6353498362968559
feature_subset_selectk_logistic,no_flat_hourly,3185,30,0.01,chrono_last_25,0.6410353847998497,0.6742216658182985,0.677621075647907,0.7095923083032771,0.5724944002025544,0.6363614444027833,0.5916237478639889,0.6253330513601394
feature_subset_selectk_logistic,no_flat_hourly,3185,30,0.03,chrono_last_25,0.6414960507037543,0.6801419170685791,0.6969840900371219,0.7079129115557569,0.5497488783296758,0.6298370833386142,0.5902028837388895,0.6356445908576424
feature_subset_selectk_logistic,daily_windows_only,1204,10,0.1,chrono_last_30,0.6416705787485139,0.6727022313037199,0.6709529334704072,0.670151916165573,0.5754774632902068,0.658451764780681,0.5831049683903983,0.6608527738386111
feature_subset_selectk_logistic,semantic_only,1281,80,0.001,chrono_last_30,0.6419979987388323,0.652510678672623,0.6718133221550668,0.6915445122858392,0.6501171983961279,0.592250714850701,0.5832388861388457,0.6525106786726236
feature_subset_selectk_logistic,no_flat_hourly,3185,10,0.03,chrono_last_25,0.6428829170909488,0.6702838497755913,0.6623074345643466,0.7167653954908764,0.5721970924625526,0.6439706597974972,0.592351117564977,0.6423048699808006
feature_subset_selectk_logistic,no_flat_hourly,3185,30,0.01,chrono_last_20,0.6433131138521672,0.6586852344905662,0.6904997747968178,0.740388291548441,0.5568068822379756,0.6389020219529189,0.6039909492356386,0.6139186427028127
feature_subset_selectk_logistic,no_flat_hourly,3185,10,0.1,chrono_last_25,0.6434683249106324,0.6809253307363562,0.6644231574390109,0.7225519811047779,0.5529915898944903,0.6431272213393313,0.5966697236325904,0.6435892702278695
