state,rank,feature,family,std_mean_diff,direction
1,69,app_browser_search_time__prev_delta__subj_mean,screen_phone,-0.3808728876723151,lower_in_state
1,70,amb_speech_prob_21_03__dev_roll3__subj_mean,location_context,0.37815272223210034,higher_in_state
1,71,amb_outside_prob__subj_mean,location_context,0.3770280788399736,higher_in_state
1,72,app_study_work_time__weekday_vs_subject_mean__subj_z,screen_phone,0.3642405256803845,higher_in_state
1,73,gps_count__dev_roll7__subj_mean,location_context,-0.3617836365966693,lower_in_state
1,74,amb_vehicle_prob_21_03__weekday_vs_subject_mean__subj_mean,location_context,0.3597669628277731,higher_in_state
1,75,activity_mean__dev_weekday_mean__subj_mean,activity_steps,0.3583949063690739,higher_in_state
1,76,app_records__dev_roll7__subj_mean,screen_phone,0.3549911006394522,higher_in_state
1,77,activity_mean__dev_roll7__subj_mean,activity_steps,-0.35183197100866354,lower_in_state
1,78,amb_vehicle_prob_21_03__dev_roll3__subj_mean,location_context,0.35057147057986515,higher_in_state
1,79,ble_rssi_mean__prev_abs_delta__subj_mean,location_context,0.3496633029349594,higher_in_state
1,80,ble_unique_21_03__dev_weekday_mean,location_context,0.34923241244942693,higher_in_state
1,81,ble_unique_21_03__dev_weekday_mean__subj_delta,location_context,0.34923241244942693,higher_in_state
1,82,ble_unique_21_03__dev_weekday_mean__routine_deviation_features_v1,location_context,0.34923241244942693,higher_in_state
1,83,ble_unique_21_03__subj_delta,location_context,0.34029087242757605,higher_in_state
1,84,app_top_time__prev_abs_delta__subj_mean,screen_phone,0.3378192715019139,higher_in_state
1,85,activity_sum_21_03__weekday_vs_subject_mean__subj_mean,activity_steps,-0.33737173717010516,lower_in_state
1,86,first_screen_hour_any__subj_mean,screen_phone,-0.33712631465743775,lower_in_state
1,87,amb_music_prob__subj_mean,location_context,0.3293983986653077,higher_in_state
1,88,app_active_hours,screen_phone,-0.32895646302931325,lower_in_state
1,89,app_unique_count__subj_mean,screen_phone,-0.32874999814491457,lower_in_state
1,90,activity_sum_21_03__dev_weekday_mean__subj_mean,activity_steps,-0.3261573006663007,lower_in_state
1,91,amb_speech_prob__weekday_vs_subject_mean__subj_mean,location_context,0.3258902752531009,higher_in_state
1,92,app_top_share__prev_abs_delta__subj_mean,screen_phone,0.32003590536707405,higher_in_state
1,93,bright_interrupt_hours__sleep_block_features_v1,sleep_episode,0.3175993838597258,higher_in_state
1,94,ble_unique_21_03__dev_weekday_mean__subj_z,location_context,0.317236702970846,higher_in_state
1,95,amb_speech_prob_21_03__subj_mean,location_context,0.31450513459226054,higher_in_state
1,96,ble_near_count__prev_delta__subj_mean,location_context,-0.3140943010027275,lower_in_state
1,97,amb_speech_prob_21_03,location_context,0.3140330410183364,higher_in_state
1,98,ble_unique_21_03__subj_z,location_context,0.31155645415457456,higher_in_state
1,99,app_media_time,screen_phone,0.309921997037027,higher_in_state
1,100,app_time_21_03__dev_roll3__subj_mean,screen_phone,-0.3091504020264358,lower_in_state
1,101,app_top_time__subj_mean,screen_phone,-0.30898897209207543,lower_in_state
1,102,activity_mean__dev_roll3__subj_mean,activity_steps,-0.3086590000087937,lower_in_state
1,103,activity_sum_21_03__dev_roll3__subj_mean,activity_steps,-0.3085885775600936,lower_in_state
1,104,app_unique_count__prev_abs_delta__subj_mean,screen_phone,-0.30769836163184616,lower_in_state
1,105,activity_mean__prev_abs_delta__subj_mean,activity_steps,-0.3021869697247886,lower_in_state
1,106,app_browser_search_time__subj_mean,screen_phone,-0.29831346910998796,lower_in_state
1,107,evening_mlight_mean__weekday_vs_subject_mean__subj_mean,heart_light,0.2980305487674069,higher_in_state
1,108,app_social_time__prev_abs_delta__subj_mean,screen_phone,-0.29378527681443195,lower_in_state
1,109,ble_deviceclass_7936_count,location_context,-0.29244116410235965,lower_in_state
1,110,gps_count__weekday_vs_subject_mean__subj_delta,location_context,-0.2922950078810383,lower_in_state
1,111,app_unique_count__dev_weekday_mean__subj_mean,screen_phone,-0.2919213438009117,lower_in_state
1,112,ble_unique_21_03__dev_roll3__routine_deviation_features_v1,location_context,0.2919036923212742,higher_in_state
1,113,ble_unique_21_03__dev_roll3,location_context,0.2919036923212742,higher_in_state
1,114,ble_rssi_max__prev_abs_delta__subj_mean,location_context,0.2912814310187213,higher_in_state
1,115,app_social_time__subj_mean,screen_phone,-0.29032530202155177,lower_in_state
1,116,ble_unique_21_03__dev_roll3__subj_delta,location_context,0.2902558114744026,higher_in_state
1,117,ble_unique_21_03,location_context,0.2882614407843717,higher_in_state
1,118,ble_near_count__dev_roll7__subj_mean,location_context,-0.28808842287098363,lower_in_state
1,119,first_screen_hour_any__dev_roll3__subj_mean,screen_phone,-0.28677690881478235,lower_in_state
1,120,app_study_work_time__prev_abs_delta__routine_deviation_features_v1,screen_phone,0.28676620305164713,higher_in_state
1,121,app_study_work_time__prev_abs_delta,screen_phone,0.28676620305164713,higher_in_state
1,122,ble_rssi_mean__subj_mean,location_context,0.28620277509266656,higher_in_state
1,123,gps_count__weekday_vs_subject_mean__routine_deviation_features_v1,location_context,-0.2838615093468435,lower_in_state
1,124,gps_count__weekday_vs_subject_mean,location_context,-0.2838615093468435,lower_in_state
