source,source_short,target,mode,mask,gamma,old_bce,refit_bce,robust,delta_robust_vs_v83,drift,max_drift,dmean
posterior_refit_values,posterior_refit_values,Q3,logit_blend,all,0.16,0.596658839802891,0.5967595815635527,0.5967595815635527,-0.0030050019361752556,0.0036114881155165524,0.10707627922223362,0.007934848025055952
posterior_refit_values,posterior_refit_values,Q3,rank_logit,all,0.16,0.5968103311665047,0.5967626738598468,0.5968103311665047,-0.0029542523332232173,0.004155735696200818,0.062024213060714484,-0.0013416147525922018
posterior_old_refit_avg,posterior_old_refit_avg,Q3,rank_logit,all,0.16,0.5965408848543577,0.5968237639221596,0.5968237639221596,-0.00294081957756831,0.004198054478500967,0.06718774392754606,-0.0010501313089072983
posterior_refit_values,posterior_refit_values,Q3,rank_logit,all,0.12,0.5969902739874796,0.5974423557285183,0.5974423557285183,-0.0023222277712096062,0.003130450897769476,0.04644125449745662,-0.0009239887463673435
posterior_refit_values,posterior_refit_values,Q3,logit_blend,all,0.12,0.5968801236705044,0.597443504712033,0.597443504712033,-0.0023210787876949412,0.0027306928163716355,0.0834362456767983,0.006070615006289359
posterior_old_refit_avg,posterior_old_refit_avg,Q3,rank_logit,all,0.12,0.596787064091172,0.5974870481130559,0.5974870481130559,-0.0022775353866720804,0.003160544577914949,0.05036201530090739,-0.0007061924722185919
posterior_old_values,posterior_old_values,Q3,rank_logit,all,0.16,0.5963233346420139,0.5975456325978641,0.5975456325978641,-0.0022189509018638587,0.004208467368586902,0.06829447343922151,-0.0005710528167028883
cl/outputs/submission_cl_anchor_clue_v85_soft_direction_w006_prob.csv,submission_cl_anchor_clue_v85_soft_direction_w006_prob,Q3,rank_logit,all,0.16,0.5965794248542539,0.5976370646590056,0.5976370646590056,-0.0021275188407223755,0.00421966093859275,0.06884776286375488,-0.0013898931130472691
posterior_old_refit_avg,posterior_old_refit_avg,S1,rank_logit,all,0.16,0.5977062778944328,0.5976544076857899,0.5977062778944328,-0.0020583056052951854,0.0037697415469294363,0.06769849545315626,0.0006277086532068266
posterior_old_refit_avg,posterior_old_refit_avg,Q3,logit_blend,all,0.16,0.5967731019582025,0.5977615402197636,0.5977615402197636,-0.002003043279964367,0.002418461033261046,0.0665682272077025,0.00656632316005612
