candidate,file,gamma,mean_abs_move_v83,max_abs_move_v83,dmean_Q1,dmean_Q2,dmean_Q3,dmean_S1,dmean_S2,dmean_S3,dmean_S4
s1_rank_g005,/Users/kbsoo/Downloads/dacon/etri/cl/outputs/submission_cl_v83_residual_ranker_s1_rank_g005_prob.csv,0.005,0.00011911814174472604,0.0021082429975800565,0.0,0.0,0.0,-0.00011484610522594085,0.0,0.0,0.0
q1_rank_g005,/Users/kbsoo/Downloads/dacon/etri/cl/outputs/submission_cl_v83_residual_ranker_q1_rank_g005_prob.csv,0.005,0.00014052313718275806,0.00214682297712665,2.7016863923812195e-07,0.0,0.0,0.0,0.0,0.0,0.0
s1_rank_g010,/Users/kbsoo/Downloads/dacon/etri/cl/outputs/submission_cl_v83_residual_ranker_s1_rank_g010_prob.csv,0.01,0.00023817155555288253,0.004217879742376418,0.0,0.0,0.0,-0.00023085234670683352,0.0,0.0,0.0
q1s1_rank_g005,/Users/kbsoo/Downloads/dacon/etri/cl/outputs/submission_cl_v83_residual_ranker_q1s1_rank_g005_prob.csv,0.005,0.0002596412789274841,0.00214682297712665,2.7016863923812195e-07,0.0,0.0,-0.00011484610522594085,0.0,0.0,0.0
sleep_family_rank_g005,/Users/kbsoo/Downloads/dacon/etri/cl/outputs/submission_cl_v83_residual_ranker_sleep_family_rank_g005_prob.csv,0.005,0.0005150313675672728,0.00214682297712665,2.7016863923812195e-07,0.0,0.0,-0.00011484610522594085,-0.00011488887698818395,0.0,-3.245423570186201e-05
q1s1_rank_g010,/Users/kbsoo/Downloads/dacon/etri/cl/outputs/submission_cl_v83_residual_ranker_q1s1_rank_g010_prob.csv,0.01,0.0005191507660625214,0.004294841694269802,4.520521607043193e-07,0.0,0.0,-0.00023085234670683352,0.0,0.0,0.0
s1_rank_g030,/Users/kbsoo/Downloads/dacon/etri/cl/outputs/submission_cl_v83_residual_ranker_s1_rank_g030_prob.csv,0.03,0.0007137116041305007,0.012668867968215536,0.0,0.0,0.0,-0.0007063602640976496,0.0,0.0,0.0
q1_rank_g030,/Users/kbsoo/Downloads/dacon/etri/cl/outputs/submission_cl_v83_residual_ranker_q1_rank_g030_prob.csv,0.03,0.0008420912395959999,0.012897292075789768,2.972890860153399e-07,0.0,0.0,0.0,0.0,0.0,0.0
s1_rank_g050,/Users/kbsoo/Downloads/dacon/etri/cl/outputs/submission_cl_v83_residual_ranker_s1_rank_g050_prob.csv,0.05,0.0011881108886560036,0.021136150915691876,0.0,0.0,0.0,-0.0011999515969106644,0.0,0.0,0.0
q1s1_rank_g030,/Users/kbsoo/Downloads/dacon/etri/cl/outputs/submission_cl_v83_residual_ranker_q1s1_rank_g030_prob.csv,0.03,0.0015558028437265006,0.012897292075789768,2.972890860153399e-07,0.0,0.0,-0.0007063602640976496,0.0,0.0,0.0
s1_rank_g100_stress,/Users/kbsoo/Downloads/dacon/etri/cl/outputs/submission_cl_v83_residual_ranker_s1_rank_g100_stress_prob.csv,0.1,0.002368571044224212,0.0423437965896179,0.0,0.0,0.0,-0.0025104333580097116,0.0,0.0,0.0
q1s1_rank_g050,/Users/kbsoo/Downloads/dacon/etri/cl/outputs/submission_cl_v83_residual_ranker_q1s1_rank_g050_prob.csv,0.05,0.0025900752226501807,0.02151252943064147,-1.26777333941952e-06,0.0,0.0,-0.0011999515969106644,0.0,0.0,0.0
sleep_family_rank_g030,/Users/kbsoo/Downloads/dacon/etri/cl/outputs/submission_cl_v83_residual_ranker_sleep_family_rank_g030_prob.csv,0.03,0.003085782164475657,0.012897292075789768,2.972890860153399e-07,0.0,0.0,-0.0007063602640976496,-0.0007009879490188498,0.0,-0.0002028274223513371
sleep_family_rank_g050,/Users/kbsoo/Downloads/dacon/etri/cl/outputs/submission_cl_v83_residual_ranker_sleep_family_rank_g050_prob.csv,0.05,0.005136702172685645,0.02151252943064147,-1.26777333941952e-06,0.0,0.0,-0.0011999515969106644,-0.0011836580063026014,0.0,-0.0003487262549264347
