feature_family,feature_file,target,n,mean_delta,chrono_delta,hole_delta,mirror_delta,mean_abs_move,mean_features,mirror_hole_delta,worst_delta,consistent_gain,scout_score
prior_sleep_proxy_features_v1,prior_sleep_proxy_features_v1.parquet,S1,1260,-0.03369829472236693,-0.022932009314054518,-0.04787648138747861,-0.030286393465567645,0.08584519627718612,80.33333333333333,-0.039081437426523126,-0.022932009314054518,True,-0.032620138357226595
prior_sleep_window_features_v1,prior_sleep_window_features_v1.parquet,S1,1260,-0.04185240404706511,-0.050302859311008474,-0.05496957689472711,-0.020284775935459742,0.08882752099288484,81.0,-0.03762717641509343,-0.020284775935459742,True,-0.03042029616687222
goal4_sleep_boundary_rest_features_v1,goal4_sleep_boundary_rest_features_v1.parquet,Q1,1260,-0.023969207366828307,-0.023444023743548703,-0.0327122407816605,-0.01575135757527572,0.07664509529699107,81.0,-0.024231799178468107,-0.01575135757527572,True,-0.02007052535422034
goal4_sleep_boundary_rest_features_v1,goal4_sleep_boundary_rest_features_v1.parquet,S1,1260,-0.030041117068027465,-0.04177381720468062,-0.024230313653525976,-0.024119220345875807,0.08758805960283869,81.0,-0.024174766999700892,-0.024119220345875807,True,-0.01727775209899122
prior_sleep_window_features_v1,prior_sleep_window_features_v1.parquet,S2,1260,-0.01856374851263365,-0.031455310220807275,-0.014918314584239645,-0.009317620732854026,0.06280276639024092,81.0,-0.012117967658546835,-0.009317620732854026,True,-0.011417276060986605
prior_sleep_window_features_v1,prior_sleep_window_features_v1.parquet,Q1,1260,-0.012237442392197324,-0.014942677812203375,-0.007355129789527126,-0.01441451957486147,0.058435121891347946,81.0,-0.010884824682194299,-0.007355129789527126,True,-0.010884824682194299
goal4_sleep_boundary_rest_features_v1,goal4_sleep_boundary_rest_features_v1.parquet,S2,1260,-0.011838800978439763,-0.01458084603598723,-0.009956983501383446,-0.01097857339794861,0.0445234905799686,81.0,-0.010467778449666027,-0.009956983501383446,True,-0.010467778449666027
goal4_sleep_boundary_rest_features_v1,goal4_sleep_boundary_rest_features_v1.parquet,S4,1260,-0.010928616020812632,-0.012685803070302648,-0.0030730342524236307,-0.017027010739711617,0.04780284945897867,81.0,-0.010050022496067623,-0.0030730342524236307,True,-0.010050022496067623
prior_sleep_proxy_features_v1,prior_sleep_proxy_features_v1.parquet,Q1,1260,-0.010547024024034327,-0.011559431634360537,-0.004658665152445914,-0.015422975285296533,0.04381118058814523,80.33333333333333,-0.010040820218871224,-0.004658665152445914,True,-0.010040820218871224
prior_sleep_window_features_v1,prior_sleep_window_features_v1.parquet,S4,1260,-0.010195880860434646,-0.012571711970698432,-0.0029731484068130274,-0.015042782203792479,0.04825647291628085,81.0,-0.009007965305302753,-0.0029731484068130274,True,-0.009007965305302753
