candidate,fold_family,gamma,base_logloss,new_logloss,delta,move
axis1_bcg_s1s3_g030,chrono_tail,0.03,0.5654163369656473,0.5637166523171211,-0.0016996846485262118,0.004944002071739721
axis1_bcg_s1s3_g030,hole_v1,0.03,0.5540196741168415,0.5524911718989052,-0.0015285022179363228,0.004868716878825027
axis1_bcg_s1s3_g030,mirror_v1,0.03,0.570550672146435,0.569056645295644,-0.0014940268507909193,0.00483353813502169
axis1_bcg_s1s3_g050,chrono_tail,0.05,0.5654163369656473,0.5626780857409847,-0.0027382512246626467,0.008222215428628474
axis1_bcg_s1s3_g050,hole_v1,0.05,0.5540196741168415,0.5515656469187904,-0.002454027198051101,0.008096263346813801
axis1_bcg_s1s3_g050,mirror_v1,0.05,0.570550672146435,0.5681531430463892,-0.002397529100045759,0.008037725160154597
axis1_bcg_s1s3_g100_stress,chrono_tail,0.1,0.5654163369656473,0.560409465529873,-0.005006871435774274,0.016352611005999964
axis1_bcg_s1s3_g100_stress,hole_v1,0.1,0.5540196741168415,0.5495758864026676,-0.0044437877141738635,0.016098133850242138
axis1_bcg_s1s3_g100_stress,mirror_v1,0.1,0.570550672146435,0.5662150847833545,-0.004335587363080484,0.015981886313375243
axis2_twofactor_qonly_g030,chrono_tail,0.03,0.6720079698466696,0.6712571201643053,-0.0007508496823642741,0.005984386326161539
axis2_twofactor_qonly_g030,hole_v1,0.03,0.670269579702128,0.6685200565140265,-0.0017495231881015094,0.005976904081347153
axis2_twofactor_qonly_g030,mirror_v1,0.03,0.6945667883241623,0.6951776331702785,0.0006108448461161764,0.005849171453524478
axis2_twofactor_qs_g030,chrono_tail,0.03,0.6293713166942607,0.6282409330254316,-0.0011303836688291158,0.005568232624392812
axis2_twofactor_qs_g030,hole_v1,0.03,0.6237696174680135,0.622108502667978,-0.0016611148000355014,0.005533629200338302
axis2_twofactor_qs_g030,mirror_v1,0.03,0.6449603418530713,0.6447292380204247,-0.00023110383264657308,0.005442918126123362
axis2_twofactor_qs_g050,chrono_tail,0.05,0.6293713166942607,0.627594115517752,-0.0017772011765087026,0.00926571357994961
axis2_twofactor_qs_g050,hole_v1,0.05,0.6237696174680135,0.6211073848099866,-0.0026622326580268973,0.009208982437860131
axis2_twofactor_qs_g050,mirror_v1,0.05,0.6449603418530713,0.6446791889337244,-0.0002811529193468276,0.009053509969490038
axis3_lag_core_g030,chrono_tail,0.03,0.6293713166942607,0.6293752244237845,3.907729523744408e-06,0.004907018455375405
axis3_lag_core_g030,hole_v1,0.03,0.6237696174680135,0.6218998605806451,-0.0018697568873684567,0.005499589068647529
axis3_lag_core_g030,mirror_v1,0.03,0.6449603418530713,0.6443788634742713,-0.00058147837879996,0.005410819647420814
axis3_lag_core_g050,chrono_tail,0.05,0.6293713166942607,0.6294854143546378,0.00011409766037706603,0.008164970021161825
axis3_lag_core_g050,hole_v1,0.05,0.6237696174680135,0.6207585549923351,-0.0030110624756783944,0.009157914430449065
axis3_lag_core_g050,mirror_v1,0.05,0.6449603418530713,0.6440952513934783,-0.0008650904595929321,0.009007768248283378
axis3_lag_core_g100_stress,chrono_tail,0.1,0.6293713166942607,0.6301349234350051,0.0007636067407443825,0.01625691148136968
axis3_lag_core_g100_stress,hole_v1,0.1,0.6237696174680135,0.6182721105033144,-0.005497506964699084,0.01827041644321515
axis3_lag_core_g100_stress,mirror_v1,0.1,0.6449603418530713,0.643748605316808,-0.0012117365362632748,0.017959468082201342
axis3_lag_all_g030,chrono_tail,0.03,0.6379261107816505,0.6378428158075774,-8.329497407311148e-05,0.005000620429698603
axis3_lag_all_g030,hole_v1,0.03,0.6193765414531921,0.6178611255201718,-0.001515415933020292,0.005474419694701046
axis3_lag_all_g030,mirror_v1,0.03,0.637424040754979,0.636677260351901,-0.0007467804030780734,0.005427417279729597
combo_bcg_lag_core_g030,chrono_tail,0.03,0.6293713166942607,0.6288959584671997,-0.00047535822706101794,0.005147362115142393
combo_bcg_lag_core_g030,hole_v1,0.03,0.6237696174680135,0.621540472521687,-0.0022291449463265334,0.00552203531720554
combo_bcg_lag_core_g030,mirror_v1,0.03,0.6449603418530713,0.6439831046134297,-0.000977237239641604,0.005422519884941501
combo_twofactor_bcg_lag_g030,chrono_tail,0.03,0.6293713166942607,0.6284720514570823,-0.000899265237178426,0.0055600562448419166
combo_twofactor_bcg_lag_g030,hole_v1,0.03,0.6237696174680135,0.6213939923142735,-0.002375625153740013,0.005506239320837167
combo_twofactor_bcg_lag_g030,mirror_v1,0.03,0.6449603418530713,0.6444934538153702,-0.00046688803770111864,0.005418349397245241
