split,seed,target,method,C,logloss,base_logloss
testpattern,0,Q1,learned_calibrator,0.01,0.6389834425796355,0.6870597649240474
testpattern,0,Q1,learned_calibrator,0.03,0.6535291988175899,0.6870597649240474
testpattern,0,Q1,learned_calibrator,0.1,0.6885516064709918,0.6870597649240474
testpattern,0,Q1,learned_calibrator,0.3,0.7264737674134634,0.6870597649240474
testpattern,0,Q1,base_plus_calib_w0.15,0.03,0.6766105489673931,0.6870597649240474
testpattern,0,Q1,base_plus_calib_w0.25,0.03,0.6708542292694315,0.6870597649240474
testpattern,0,Q1,base_plus_calib_w0.35,0.03,0.6659672399005346,0.6870597649240474
testpattern,0,Q1,base_plus_calib_w0.5,0.03,0.6601582157581908,0.6870597649240474
testpattern,0,Q2,learned_calibrator,0.01,0.6604335205499974,0.7937430169835941
testpattern,0,Q2,learned_calibrator,0.03,0.7008118472096283,0.7937430169835941
testpattern,0,Q2,learned_calibrator,0.1,0.7696926223539423,0.7937430169835941
testpattern,0,Q2,learned_calibrator,0.3,0.8303462885941786,0.7937430169835941
testpattern,0,Q2,base_plus_calib_w0.15,0.03,0.7683594698823804,0.7937430169835941
testpattern,0,Q2,base_plus_calib_w0.25,0.03,0.7542709349898519,0.7937430169835941
testpattern,0,Q2,base_plus_calib_w0.35,0.03,0.7420427339445484,0.7937430169835941
testpattern,0,Q2,base_plus_calib_w0.5,0.03,0.7267855250872589,0.7937430169835941
testpattern,0,Q3,learned_calibrator,0.01,0.6413258168445684,0.6658124971835364
testpattern,0,Q3,learned_calibrator,0.03,0.6342487343849776,0.6658124971835364
testpattern,0,Q3,learned_calibrator,0.1,0.6405189568327128,0.6658124971835364
testpattern,0,Q3,learned_calibrator,0.3,0.6559764098089299,0.6658124971835364
testpattern,0,Q3,base_plus_calib_w0.15,0.03,0.6590853759180823,0.6658124971835364
testpattern,0,Q3,base_plus_calib_w0.25,0.03,0.65500539044267,0.6658124971835364
testpattern,0,Q3,base_plus_calib_w0.35,0.03,0.6512407400554077,0.6658124971835364
testpattern,0,Q3,base_plus_calib_w0.5,0.03,0.6461738716116279,0.6658124971835364
testpattern,0,S1,learned_calibrator,0.01,0.6523455709408748,0.6242283267825465
testpattern,0,S1,learned_calibrator,0.03,0.6653433518052233,0.6242283267825465
testpattern,0,S1,learned_calibrator,0.1,0.7125612506746124,0.6242283267825465
testpattern,0,S1,learned_calibrator,0.3,0.7644796779565677,0.6242283267825465
testpattern,0,S1,base_plus_calib_w0.15,0.03,0.6251406841441318,0.6242283267825465
testpattern,0,S1,base_plus_calib_w0.25,0.03,0.6268929867300532,0.6242283267825465
testpattern,0,S1,base_plus_calib_w0.35,0.03,0.6294832064004003,0.6242283267825465
testpattern,0,S1,base_plus_calib_w0.5,0.03,0.6348571306470255,0.6242283267825465
testpattern,0,S2,learned_calibrator,0.01,0.627924897070842,0.590564789571288
testpattern,0,S2,learned_calibrator,0.03,0.610881048435845,0.590564789571288
testpattern,0,S2,learned_calibrator,0.1,0.6061395068606261,0.590564789571288
testpattern,0,S2,learned_calibrator,0.3,0.6150489306418638,0.590564789571288
testpattern,0,S2,base_plus_calib_w0.15,0.03,0.5920304621258615,0.590564789571288
testpattern,0,S2,base_plus_calib_w0.25,0.03,0.5933133064727231,0.590564789571288
testpattern,0,S2,base_plus_calib_w0.35,0.03,0.5948405840370273,0.590564789571288
testpattern,0,S2,base_plus_calib_w0.5,0.03,0.5975920445220422,0.590564789571288
testpattern,0,S3,learned_calibrator,0.01,0.5676702509193656,0.5222196646315913
testpattern,0,S3,learned_calibrator,0.03,0.5400819128044341,0.5222196646315913
testpattern,0,S3,learned_calibrator,0.1,0.5307207134171062,0.5222196646315913
testpattern,0,S3,learned_calibrator,0.3,0.5376744008273714,0.5222196646315913
testpattern,0,S3,base_plus_calib_w0.15,0.03,0.522554210236919,0.5222196646315913
testpattern,0,S3,base_plus_calib_w0.25,0.03,0.5232478969487878,0.5222196646315913
testpattern,0,S3,base_plus_calib_w0.35,0.03,0.5243040417557978,0.5222196646315913
testpattern,0,S3,base_plus_calib_w0.5,0.03,0.5265576354306456,0.5222196646315913
testpattern,0,S4,learned_calibrator,0.01,0.68854028456304,0.7087739805982347
testpattern,0,S4,learned_calibrator,0.03,0.7007345637013928,0.7087739805982347
testpattern,0,S4,learned_calibrator,0.1,0.7165949527747517,0.7087739805982347
testpattern,0,S4,learned_calibrator,0.3,0.730051223418106,0.7087739805982347
testpattern,0,S4,base_plus_calib_w0.15,0.03,0.7045595539385029,0.7087739805982347
testpattern,0,S4,base_plus_calib_w0.25,0.03,0.7023373041073219,0.7087739805982347
testpattern,0,S4,base_plus_calib_w0.35,0.03,0.7005793901564716,0.7087739805982347
testpattern,0,S4,base_plus_calib_w0.5,0.03,0.6988117642247638,0.7087739805982347
