,mean,lo,hi
Q1,0.6504190762094161,0.6434844696219605,0.6596284472655457
Q2,0.6546752935481834,0.648465129740016,0.6637649414493552
Q3,0.6503073873565093,0.6448184337829258,0.6588184322362481
S1,0.5654006442307199,0.5581045864470092,0.5754550452018761
S2,0.5676221064338778,0.5595610887620639,0.5784596732366494
S3,0.5317100693041507,0.5228103499453071,0.5427125513390771
S4,0.6341727551612192,0.6266993160664879,0.6437941322334684
__avg__,0.6077581903205823,0.6041691918855482,0.6120038855501635
