model,fold_id,mean_q_logloss,logloss_Q1,logloss_Q3,auc_Q1,auc_Q3,acc_Q1,acc_Q3,cfg
ssl_masked_ae_latent_logistic_q,chrono_last_20,0.6839171179587491,0.6948181162563966,0.6730161196611016,0.5074478649453823,0.5721003134796239,0.5384615384615384,0.6043956043956044,"{""Q1"": {""C"": 0.001}, ""Q3"": {""C"": 0.03}}"
ssl_masked_ae_latent_logistic_q,chrono_last_25,0.6840321923831233,0.6933267828399707,0.6747376019262759,0.5255984042553191,0.5519105984138428,0.5405405405405406,0.6216216216216216,"{""Q1"": {""C"": 0.001}, ""Q3"": {""C"": 0.01}}"
ssl_masked_ae_latent_logistic_q,chrono_last_30,0.6895441589389519,0.6951774443989183,0.6839108734789857,0.48506624747361327,0.5229291716686675,0.48507462686567165,0.6044776119402985,"{""Q1"": {""C"": 0.001}, ""Q3"": {""C"": 0.01}}"
ssl_dino_temporal_latent_logistic_q,chrono_last_20,0.6852403176443542,0.6966003345255544,0.673880300763154,0.464746772591857,0.5067920585161965,0.5274725274725275,0.5934065934065934,"{""Q1"": {""C"": 0.001}, ""Q3"": {""C"": 0.1}}"
ssl_dino_temporal_latent_logistic_q,chrono_last_25,0.682701002628666,0.6947912261047688,0.6706107791525631,0.49168882978723405,0.48521989906272533,0.5495495495495496,0.6216216216216216,"{""Q1"": {""C"": 0.001}, ""Q3"": {""C"": 0.1}}"
ssl_dino_temporal_latent_logistic_q,chrono_last_30,0.6861859415608242,0.6956040948070719,0.6767677883145767,0.47922748708735685,0.5003601440576231,0.4626865671641791,0.6044776119402985,"{""Q1"": {""C"": 0.001}, ""Q3"": {""C"": 0.03}}"
