model,splitter,subset,k,C,mean_logloss,logloss_Q1,logloss_Q2,logloss_Q3,logloss_S1,logloss_S2,logloss_S3,logloss_S4
split_diagnostic_logistic,random_kfold,noflat,50,0.01,0.6183460372558927,0.6442739122819576,0.6696805299355255,0.6743355905685994,0.5894868371062449,0.5750168887713991,0.5364508666810245,0.6391776354464979
split_diagnostic_logistic,random_kfold,noflat,20,0.03,0.6196983900967019,0.6611338940594608,0.6589359268757292,0.6679113381959284,0.5867057428981421,0.576182827597908,0.5306515779796698,0.6563674230700749
split_diagnostic_logistic,random_kfold,noflat,50,0.03,0.6198482742376098,0.6463800110822152,0.6737145111302981,0.6827272120098106,0.5908755096172174,0.5697532361604056,0.5327344463169639,0.642752993346358
split_diagnostic_logistic,random_kfold,noflat,20,0.1,0.6215101004208725,0.6647828163005194,0.6586583208390664,0.6737321015176454,0.5898537960475402,0.5751734124556771,0.5291790563968786,0.6591911993887809
split_diagnostic_logistic,random_kfold,noflat,20,0.01,0.6220848549023034,0.658974061502704,0.6619123196930483,0.667270640765077,0.5910663474797254,0.5827624948739611,0.5397104621079406,0.6528976578936667
split_diagnostic_logistic,random_kfold,noflat,50,0.003,0.6246159341279092,0.6473973323428436,0.6708714726897659,0.6744267344393651,0.5999648613442377,0.5877106500493066,0.552518419060869,0.6394220689689766
split_diagnostic_logistic,random_kfold,noflat,100,0.003,0.6265582472168927,0.6485569677201278,0.6781119668014315,0.6706680483508414,0.6070363101144977,0.5963270354450777,0.5534099132541825,0.6317974888320905
split_diagnostic_logistic,random_kfold,noflat,100,0.01,0.6275657581683276,0.6532769434311325,0.6800574566309946,0.6774677658855695,0.6062317904803949,0.5916959161728244,0.5463237283744705,0.637906706202908
split_diagnostic_logistic,random_kfold,noflat,50,0.1,0.6279778102857124,0.6544738713085738,0.6822486762867558,0.6987904688173996,0.6010494831246392,0.5712649094000869,0.537555262896832,0.6504620001656993
split_diagnostic_logistic,random_kfold,noflat,20,0.003,0.6300121103565637,0.661103236405341,0.669142223787172,0.674750973436218,0.601150240289918,0.5935836380468749,0.5593404112208564,0.6510140493095656
split_diagnostic_logistic,random_kfold,noflat,100,0.001,0.6323589880991918,0.6511094070348047,0.6785906185072927,0.6723015894209294,0.6154297419930053,0.6054630745566054,0.5694570856695614,0.6341613995121429
split_diagnostic_logistic,random_kfold,noflat,200,0.003,0.6333114179246584,0.6622652487936354,0.6819661260235842,0.6849116388641652,0.6073020838925748,0.6043117533701006,0.5562835303551971,0.6361395441733512
split_diagnostic_logistic,random_kfold,noflat,50,0.001,0.6337408928699901,0.6535869317577784,0.6757450895711085,0.6795321051027544,0.6112150736596053,0.5998143039066293,0.5729887023735912,0.6433040437184643
split_diagnostic_logistic,random_kfold,semantic,20,0.1,0.634149293054323,0.6662425094096784,0.6643734535458078,0.6870585982518201,0.658961477625491,0.5787412196493806,0.5368935285428217,0.646774264355261
split_diagnostic_logistic,random_kfold,semantic,20,0.03,0.6343181640930144,0.6662425094096784,0.6642197652590289,0.683421599042265,0.6578984233277293,0.579372509540467,0.5423018233366261,0.6467705187353067
split_diagnostic_logistic,random_kfold,noflat,200,0.001,0.6360654432056062,0.6613280279829119,0.6801830427458759,0.6828201514632803,0.6132382775706855,0.6094250205451511,0.5712879150751913,0.6341756670561474
split_diagnostic_logistic,random_kfold,semantic,20,0.01,0.6362742194999719,0.6662425094096784,0.6657864801911153,0.6810995271472519,0.6586533376032251,0.5833929527853388,0.5526312019944262,0.6461135273687677
split_diagnostic_logistic,random_kfold,noflat,100,0.03,0.6367307682523069,0.666757523446181,0.6855720031021857,0.6907254830424744,0.6189531051568367,0.5954025248950096,0.5498667856689107,0.64983795245455
split_diagnostic_logistic,random_kfold,noflat,20,0.001,0.6381779311585244,0.6665254423067004,0.6780991666864347,0.683235553586624,0.607433873171456,0.6019487538421758,0.5785985674281239,0.6514041610881555
split_diagnostic_logistic,random_kfold,semantic,20,0.003,0.6410206111648267,0.6662425094096784,0.66833549427879,0.6831471460341885,0.6605076788336725,0.589928535731425,0.5728280375475687,0.6461548763184639
split_diagnostic_logistic,random_kfold,noflat,200,0.01,0.6418766651552816,0.6702666636991637,0.6897181669278738,0.7000733639294066,0.6139888158608425,0.6092337993553333,0.556755594111381,0.6531002522029701
split_diagnostic_logistic,random_kfold,semantic,20,0.001,0.6469899066804526,0.6662425094096784,0.6711415910354359,0.6871886887767532,0.6615080564556475,0.5968564692910429,0.5983208178397202,0.6476712139548899
split_diagnostic_logistic,random_kfold,noflat,100,0.1,0.6520886372252104,0.6876398360607807,0.6962374027710985,0.7071834435418382,0.638007939693563,0.6068100784772035,0.560914509430819,0.6678272506011707
split_diagnostic_logistic,random_kfold,semantic,50,0.01,0.6611678846712028,0.6662425094096784,0.6776685292451424,0.6898581642332723,0.6863349891737526,0.6122869982136705,0.629093526554171,0.6666904758687309
split_diagnostic_logistic,random_kfold,semantic,50,0.03,0.6612010541449926,0.6662425094096784,0.6776685292451428,0.6902708063379008,0.6863349891737526,0.611193260066661,0.6300068089130824,0.6666904758687311
split_diagnostic_logistic,random_kfold,semantic,50,0.1,0.6615127460050949,0.6662425094096784,0.6776685292451438,0.6909864841519892,0.6863349891737525,0.6123237024416209,0.6303425317447485,0.666690475868731
split_diagnostic_logistic,random_kfold,semantic,50,0.003,0.6615635208973496,0.6662425094096784,0.6776685292451432,0.6900956978850725,0.6863349891737525,0.6162127385320597,0.6276997061670092,0.6666904758687311
split_diagnostic_logistic,random_kfold,semantic,50,0.001,0.6623325855769027,0.6662425094096784,0.6776685292451443,0.6909036912454167,0.6863349891737525,0.6216472306453351,0.6268406734502603,0.6666904758687309
split_diagnostic_logistic,random_kfold,semantic,100,0.1,0.6636613753119811,0.6662425094096784,0.6776675286701168,0.6937346140633177,0.6495983274260204,0.6536660679366715,0.6380301038093308,0.666690475868731
split_diagnostic_logistic,random_kfold,semantic,100,0.03,0.6636613753119811,0.6662425094096784,0.6776675286701175,0.6937346140633177,0.6495983274260204,0.6536660679366715,0.6380301038093308,0.6666904758687311
split_diagnostic_logistic,random_kfold,semantic,100,0.001,0.6636613753119811,0.6662425094096784,0.6776675286701173,0.6937346140633177,0.6495983274260204,0.6536660679366715,0.6380301038093308,0.666690475868731
split_diagnostic_logistic,random_kfold,semantic,100,0.003,0.6636613753119811,0.6662425094096784,0.6776675286701173,0.6937346140633178,0.6495983274260206,0.6536660679366715,0.6380301038093308,0.6666904758687311
split_diagnostic_logistic,random_kfold,semantic,100,0.01,0.6636613753119811,0.6662425094096784,0.6776675286701173,0.6937346140633178,0.6495983274260206,0.6536660679366715,0.6380301038093308,0.6666904758687309
split_diagnostic_logistic,random_kfold,noflat,200,0.03,0.6649114079423454,0.6892852744530543,0.7055641603590774,0.731089466423124,0.6373063242751246,0.6290521792538213,0.5775728950410111,0.6845095557912046
split_diagnostic_logistic,random_kfold,semantic,200,0.001,0.6649614263124435,0.6662425094096784,0.6800706809471644,0.694909769780937,0.6495984393946991,0.6591880049765637,0.6380301038093308,0.666690475868731
split_diagnostic_logistic,random_kfold,semantic,200,0.01,0.6649614263124435,0.6662425094096784,0.6800706809471645,0.694909769780937,0.6495984393946992,0.6591880049765637,0.6380301038093308,0.666690475868731
split_diagnostic_logistic,random_kfold,semantic,200,0.03,0.6649614263124435,0.6662425094096784,0.6800706809471644,0.694909769780937,0.6495984393946992,0.6591880049765637,0.6380301038093308,0.6666904758687311
split_diagnostic_logistic,random_kfold,semantic,200,0.003,0.6649614263124436,0.6662425094096784,0.6800706809471645,0.694909769780937,0.6495984393946992,0.6591880049765637,0.6380301038093308,0.6666904758687311
split_diagnostic_logistic,random_kfold,semantic,200,0.1,0.6649614263124436,0.6662425094096784,0.6800706809471644,0.694909769780937,0.6495984393946992,0.6591880049765637,0.6380301038093308,0.666690475868731
