rule,n_rows,inside_ratio,tail_ratio,has_future_ratio,mean_publiclike_score,mean_nearest_gap,date_min,date_max,w02_minus_w01_mean_abs,anchor_minus_w02_mean_abs,w03_minus_anchor_mean_abs,block_minus_anchor_mean_abs,bad_minus_base_mean_abs,calibration_probe_score
publiclike_top30pct,75,1.0,0.0,1.0,0.9322891137035094,2.7866666666666666,2024-07-10,2024-11-06,0.01337567711213118,0.0031581744066849285,0.00793727855026591,0.05956892334736082,0.03550474218772554,1.289939993997785
publiclike_top40pct,100,1.0,0.0,1.0,0.9147287697695587,2.94,2024-07-06,2024-11-07,0.0132619725626817,0.00309776064525015,0.008028994528119218,0.05815799811895423,0.03364113929748327,1.2696324088626372
inside_has_future,156,1.0,0.0,1.0,0.87119256116554,3.467948717948718,2024-07-06,2024-11-13,0.01320298391510267,0.0030243589104848694,0.007969841891287261,0.055254679971991245,0.036798439101582064,1.198486685989735
within_frac_0.25_0.50,58,1.0,0.0,1.0,0.9109590592426775,4.396551724137931,2024-07-12,2024-10-15,0.013075650417118485,0.0028771487247315052,0.00819775254284136,0.05549709939384721,0.03859780151898908,1.1971283384905376
subject_id04,27,0.8888888888888888,0.1111111111111111,0.8888888888888888,0.8311082524738397,2.0,2024-09-09,2024-10-29,0.011037265791359937,0.0025176026560192965,0.006712302371969376,0.04856959175029897,0.02608171710295823,1.1765010600864472
subject_id08,19,0.8947368421052632,0.10526315789473684,0.8947368421052632,0.8368426278672813,1.6842105263157894,2024-07-31,2024-09-19,0.01794561651303952,0.0051706415568723366,0.010200133820169146,0.06702329149879124,0.05067219306951542,1.1693350912673692
within_frac_0.00_0.25,64,1.0,0.0,1.0,0.829245552349303,3.6875,2024-07-06,2024-10-04,0.012409401716183197,0.002552318150139677,0.007604635579591089,0.05132999658280009,0.03759092132214663,1.1437919148535594
small_gap_le3,122,0.7868852459016393,0.21311475409836064,0.7868852459016393,0.7940850687378627,1.8852459016393444,2024-07-06,2024-11-17,0.014065914105366143,0.0037244285626777335,0.007987204014976457,0.05753882340839339,0.03577758660982525,1.0827604247195566
small_gap_le5,164,0.7621951219512195,0.23780487804878048,0.7621951219512195,0.7745848777498495,2.548780487804878,2024-07-06,2024-11-19,0.013532214585103317,0.003367091844260481,0.007958057995903997,0.0569731751998505,0.035925921897685,1.022476019173204
subject_id06,24,0.75,0.25,0.75,0.7639493301237579,2.4166666666666665,2024-07-06,2024-08-24,0.013029696770091607,0.004448526155788055,0.007657034220049478,0.04557375774090993,0.02969798021165428,1.0219757933440574
subject_id05,21,0.7619047619047619,0.23809523809523808,0.7619047619047619,0.7614984074129236,2.5238095238095237,2024-09-28,2024-11-19,0.013951195426303182,0.0026238136387406372,0.008595378229309706,0.09016868674703926,0.03081730510223902,1.0217173834873552
row_order_mod5_3,50,0.66,0.34,0.66,0.6941464305661407,5.14,2024-07-06,2024-11-15,0.013331284131255651,0.002824228191053565,0.008288140885878198,0.05356909845429199,0.033268547679138935,0.7920031876016298
row_order_mod5_2,50,0.66,0.34,0.66,0.6891849859494984,5.24,2024-07-10,2024-11-19,0.012766746772143608,0.002794942610268334,0.008164944618303673,0.057721527778954174,0.03668072057317555,0.7745237851195781
row_order_mod4_0,63,0.6349206349206349,0.36507936507936506,0.6349206349206349,0.6823726522475506,5.0,2024-07-06,2024-11-16,0.013066773496761766,0.002805965442511604,0.008042599648994604,0.05494966109289518,0.035163044983613424,0.7687072002309265
row_order_mod4_1,63,0.6507936507936508,0.3492063492063492,0.6507936507936508,0.685827964756294,5.333333333333333,2024-07-07,2024-11-17,0.012805860292036779,0.0030067715308404294,0.007736418080791084,0.058401351599409915,0.03704060680142886,0.7622278240930388
alternating_even_rows,125,0.632,0.368,0.632,0.6783597402784148,5.176,2024-07-06,2024-11-18,0.012956297693418077,0.002827453440513283,0.008123909562896013,0.053096466877819576,0.033966518624098295,0.7582555961104724
row_order_mod4_2,62,0.6290322580645161,0.3709677419354839,0.6290322580645161,0.6742821039226806,5.354838709677419,2024-07-08,2024-11-18,0.012844040022278527,0.0028492880191278913,0.008206530927021637,0.05121338243346856,0.03275069345233292,0.7476354177300115
alternating_odd_rows,125,0.616,0.384,0.616,0.6701768580845778,5.312,2024-07-07,2024-11-19,0.012852591505437383,0.0029977329004250205,0.007824347464765985,0.057218629569512944,0.038033935211453644,0.7281867621779827
row_order_mod5_4,50,0.6,0.4,0.6,0.6639457027045306,5.24,2024-07-07,2024-11-16,0.013168345868331073,0.0029451526195160577,0.008091192992195535,0.05261834710730489,0.03387943985644047,0.7260918605966428
row_order_mod5_0,50,0.6,0.4,0.6,0.6660232427491576,4.98,2024-07-08,2024-11-17,0.01222208011818375,0.0028870903882202916,0.007282478815280135,0.05835193617372512,0.04089531230200677,0.7216988584996952
row_order_mod5_1,50,0.6,0.4,0.6,0.658041133938155,5.62,2024-07-09,2024-11-18,0.013033766107224573,0.0031115520432875095,0.008043885257497455,0.05352683160405508,0.03527711417811814,0.7017882039035924
within_frac_0.50_0.75,62,0.41935483870967744,0.5806451612903226,0.41935483870967744,0.6461208998967286,3.1451612903225805,2024-07-20,2024-11-12,0.01361532817400434,0.0036262579780215972,0.007625549998392575,0.056419549155933044,0.03536083935741026,0.7001161734458566
row_order_mod4_3,62,0.5806451612903226,0.41935483870967744,0.5806451612903226,0.6542733142084787,5.290322580645161,2024-07-09,2024-11-19,0.012900076448086384,0.0029885484856480723,0.00791369506461145,0.05601683137784343,0.03904328504744658,0.6935966508771993
subject_id01,27,0.5185185185185185,0.48148148148148145,0.5185185185185185,0.613560516433842,6.407407407407407,2024-07-30,2024-09-14,0.012804619510727335,0.002020544159507298,0.007302696584420933,0.05390859278948166,0.04516095074607675,0.5646154364368334
subject_id09,27,0.5185185185185185,0.48148148148148145,0.5185185185185185,0.6058349733852213,7.0,2024-08-05,2024-09-21,0.015387872880083529,0.003999685730637312,0.010139925503235557,0.0608123259978428,0.03463068083308469,0.5619964896185616
subject_id07,30,0.5,0.5,0.5,0.6038042281971872,7.133333333333334,2024-07-13,2024-09-01,0.011369965450622034,0.002805594215236512,0.0076140126569253395,0.04753402997446898,0.030197156820455588,0.5421864775748086
subject_id03,21,0.5238095238095238,0.47619047619047616,0.5238095238095238,0.5909560628358561,7.9523809523809526,2024-08-16,2024-10-09,0.011009948851021745,0.0020796518094805543,0.007517155720794637,0.0647354925285723,0.017254434778737567,0.53328656364097
subject_id10,22,0.5,0.5,0.5,0.6041019700746536,6.590909090909091,2024-08-04,2024-09-26,0.011854882933277971,0.002544435372018494,0.007888619571518275,0.03330498479876562,0.05060031922735034,0.524829616783423
subject_id02,32,0.5,0.5,0.5,0.5988364324448384,7.0625,2024-08-25,2024-10-15,0.012098057026055372,0.001678181796788357,0.006982643154690527,0.05005038179834696,0.04491640176594949,0.5127977999911055
within_frac_0.75_1.01,66,0.12121212121212122,0.8787878787878788,0.12121212121212122,0.3424278517476704,9.469696969696969,2024-08-19,2024-11-19,0.012566232864243444,0.002622686520251245,0.008463359151193658,0.05738520397130865,0.03277565509948192,-0.0036065780403813155
tail_after_train,94,0.0,1.0,0.0,0.34745782184627527,8.191489361702128,2024-08-14,2024-11-19,0.012408996373414003,0.0027271096019324276,0.007981242483158903,0.05499635085410564,0.03467553435741693,-0.012325832216401711
