fold_id,alpha,clip,mean_logloss,logloss_Q1,logloss_Q2,logloss_Q3,logloss_S1,logloss_S2,logloss_S3,logloss_S4
chrono_last_20,0,0.0,0.6503477086271373,0.6697451697040497,0.7029478983249557,0.764064394261863,0.5187178716267472,0.6203163027419185,0.6473012708149413,0.6293410529154853
chrono_last_20,0,0.03,0.6503477086271373,0.6697451697040497,0.7029478983249557,0.764064394261863,0.5187178716267472,0.6203163027419185,0.6473012708149413,0.6293410529154853
chrono_last_20,0,0.05,0.6503477086271373,0.6697451697040497,0.7029478983249557,0.764064394261863,0.5187178716267472,0.6203163027419185,0.6473012708149413,0.6293410529154853
chrono_last_20,0,0.08,0.6491760425248067,0.6697451697040497,0.7029478983249557,0.764064394261863,0.5188435321434591,0.6203163027419185,0.6389739475819153,0.6293410529154853
chrono_last_20,1,0.0,0.6484010060676477,0.6692562240161218,0.7008811066609584,0.7586427863769203,0.5192982260757639,0.6205936886844959,0.6404153075875805,0.6297197030716937
chrono_last_20,1,0.03,0.6484010060676477,0.6692562240161218,0.7008811066609584,0.7586427863769203,0.5192982260757639,0.6205936886844959,0.6404153075875805,0.6297197030716937
chrono_last_20,1,0.05,0.6484010060676477,0.6692562240161218,0.7008811066609584,0.7586427863769203,0.5192982260757639,0.6205936886844959,0.6404153075875805,0.6297197030716937
chrono_last_20,1,0.08,0.6476055094500672,0.6692562240161218,0.7008811066609584,0.7586427863769203,0.5192982260757639,0.6205936886844959,0.6348468312645167,0.6297197030716937
chrono_last_20,3,0.0,0.6454805918518599,0.6687018150966784,0.6972722226099525,0.7491987938495538,0.5205646179013897,0.6215453844589075,0.6303249217887577,0.63075638725778
chrono_last_20,3,0.03,0.6454805918518599,0.6687018150966784,0.6972722226099525,0.7491987938495538,0.5205646179013897,0.6215453844589075,0.6303249217887577,0.63075638725778
chrono_last_20,3,0.05,0.6454805918518599,0.6687018150966784,0.6972722226099525,0.7491987938495538,0.5205646179013897,0.6215453844589075,0.6303249217887577,0.63075638725778
chrono_last_20,3,0.08,0.6452455889350264,0.6687018150966784,0.6972722226099525,0.7491987938495538,0.5205646179013897,0.6215453844589075,0.6286799013709232,0.63075638725778
chrono_last_20,5,0.0,0.643465395691438,0.6685304743508709,0.6942375222304659,0.7412549582319713,0.5219186978204411,0.6228577546207235,0.6234599556886811,0.6319984068969124
chrono_last_20,5,0.03,0.643465395691438,0.6685304743508709,0.6942375222304659,0.7412549582319713,0.5219186978204411,0.6228577546207235,0.6234599556886811,0.6319984068969124
chrono_last_20,5,0.05,0.643465395691438,0.6685304743508709,0.6942375222304659,0.7412549582319713,0.5219186978204411,0.6228577546207235,0.6234599556886811,0.6319984068969124
chrono_last_20,5,0.08,0.643465395691438,0.6685304743508709,0.6942375222304659,0.7412549582319713,0.5219186978204411,0.6228577546207235,0.6234599556886811,0.6319984068969124
chrono_last_20,10,0.0,0.6407465909984813,0.6690150473947182,0.6884680939004143,0.7260310953215585,0.5254299349160448,0.6269236603349132,0.6139735964055283,0.6353847087161921
chrono_last_20,10,0.03,0.6407465909984813,0.6690150473947182,0.6884680939004143,0.7260310953215585,0.5254299349160448,0.6269236603349132,0.6139735964055283,0.6353847087161921
chrono_last_20,10,0.05,0.6407465909984813,0.6690150473947182,0.6884680939004143,0.7260310953215585,0.5254299349160448,0.6269236603349132,0.6139735964055283,0.6353847087161921
