fold_family,target,mask,n,anchor_logloss,raw_model_logloss,best_logloss,best_delta_vs_anchor,best_mode,best_weight,best_temp,mean_abs_move
chrono_tail,Q1,all,336,0.6725161185432956,0.6894630292299916,0.6589208016934279,-0.0135953168498677,logit,0.4,1.08,0.06383291870068389
chrono_tail,Q1,tail_after,336,0.6725161185432956,0.6894630292299916,0.6589208016934279,-0.0135953168498677,logit,0.4,1.08,0.06383291870068389
chrono_tail,Q1,gap_le3,75,0.6502775850070176,0.6635194061679935,0.6332764579712767,-0.01700112703574086,logit,0.4,1.0,0.074062454024223
chrono_tail,Q2,all,336,0.6759961131991753,0.7392806381151777,0.6717690283651943,-0.004227084833981043,prob,0.25,1.0,0.041938377643801004
chrono_tail,Q2,tail_after,336,0.6759961131991753,0.7392806381151777,0.6717690283651943,-0.004227084833981043,prob,0.25,1.0,0.041938377643801004
chrono_tail,Q2,gap_le3,75,0.6838652945145822,0.84343779229269,0.6823730431992554,-0.0014922513153268202,logit,0.0,1.25,0.01649423875291272
chrono_tail,Q3,all,336,0.677595967732764,0.7240518748417367,0.6642249823091101,-0.013370985423653892,logit,0.35000000000000003,1.25,0.0543313498449682
chrono_tail,Q3,tail_after,336,0.677595967732764,0.7240518748417367,0.6642249823091101,-0.013370985423653892,logit,0.35000000000000003,1.25,0.0543313498449682
chrono_tail,Q3,gap_le3,75,0.6519666454423775,0.73950950604252,0.6495890620001431,-0.0023775834422343767,prob,0.15000000000000002,1.0,0.025107667493221315
chrono_tail,S1,all,336,0.5579252064175718,0.5513101277364337,0.5347167204843009,-0.02320848593327096,logit,0.5,1.0,0.07762069205282425
chrono_tail,S1,tail_after,336,0.5579252064175718,0.5513101277364337,0.5347167204843009,-0.02320848593327096,logit,0.5,1.0,0.07762069205282425
chrono_tail,S1,gap_le3,75,0.5896234676119072,0.5196576422194497,0.5196576422194497,-0.06996582539245755,raw,1.0,1.0,0.14546215970094525
chrono_tail,S2,all,336,0.6318307837569067,0.7669002370145426,0.6277428022666875,-0.004087981490219161,logit,0.0,1.25,0.033435433172992836
chrono_tail,S2,tail_after,336,0.6318307837569067,0.7669002370145426,0.6277428022666875,-0.004087981490219161,logit,0.0,1.25,0.033435433172992836
chrono_tail,S2,gap_le3,75,0.5905286999615967,0.5993451332097832,0.5716169131312437,-0.018911786830352995,logit,0.45,1.0,0.07628273705989198
chrono_tail,S3,all,336,0.593545978330092,0.7015854967778239,0.5928927096652415,-0.0006532686648504926,logit,0.0,1.08,0.012417841498955407
chrono_tail,S3,tail_after,336,0.593545978330092,0.7015854967778239,0.5928927096652415,-0.0006532686648504926,logit,0.0,1.08,0.012417841498955407
chrono_tail,S3,gap_le3,75,0.5685064255993867,0.5767986445350399,0.5508204810144592,-0.01768594458492745,logit,0.55,1.16,0.07419206757258565
chrono_tail,S4,all,336,0.656452425717814,0.7093923664369681,0.6540527118223548,-0.0023997138954592323,prob,0.2,1.0,0.028858209361032068
chrono_tail,S4,tail_after,336,0.656452425717814,0.7093923664369681,0.6540527118223548,-0.0023997138954592323,prob,0.2,1.0,0.028858209361032068
chrono_tail,S4,gap_le3,75,0.6541136386951393,0.7796208246668047,0.6541136386951393,0.0,prob,0.0,1.0,0.0
hole_v1,Q1,all,333,0.6870672911520803,0.751040325931486,0.6812673823234978,-0.005799908828582501,logit,0.2,1.25,0.028896780094641483
hole_v1,Q1,inside,333,0.6870672911520803,0.751040325931486,0.6812673823234978,-0.005799908828582501,logit,0.2,1.25,0.028896780094641483
hole_v1,Q1,has_future,333,0.6870672911520803,0.751040325931486,0.6812673823234978,-0.005799908828582501,logit,0.2,1.25,0.028896780094641483
hole_v1,Q1,gap_le3,309,0.679660872865313,0.7388499632335476,0.6745273991233374,-0.005133473741975592,logit,0.25,1.25,0.03584258809211207
hole_v1,Q2,all,333,0.6743834755084099,0.767679315405116,0.6734247972261744,-0.0009586782822355033,logit,0.05,1.16,0.013827671221097652
hole_v1,Q2,inside,333,0.6743834755084099,0.767679315405116,0.6734247972261744,-0.0009586782822355033,logit,0.05,1.16,0.013827671221097652
hole_v1,Q2,has_future,333,0.6743834755084099,0.767679315405116,0.6734247972261744,-0.0009586782822355033,logit,0.05,1.16,0.013827671221097652
hole_v1,Q2,gap_le3,309,0.6767206585079413,0.7706149048206228,0.6754662810466503,-0.0012543774612909786,logit,0.05,1.25,0.017811061246609056
hole_v1,Q3,all,333,0.6653598784533351,0.687531555008898,0.6473342208363617,-0.01802565761697339,logit,0.5,1.25,0.07423595851819031
hole_v1,Q3,inside,333,0.6653598784533351,0.687531555008898,0.6473342208363617,-0.01802565761697339,logit,0.5,1.25,0.07423595851819031
hole_v1,Q3,has_future,333,0.6653598784533351,0.687531555008898,0.6473342208363617,-0.01802565761697339,logit,0.5,1.25,0.07423595851819031
hole_v1,Q3,gap_le3,309,0.6660739731708892,0.6806798947346838,0.6442341425044076,-0.021839830666481652,logit,0.55,1.25,0.08261055847750824
hole_v1,S1,all,333,0.6018023909708411,0.5958939596064862,0.5713872965660112,-0.030415094404829923,logit,0.7000000000000001,1.25,0.0839332357836611
hole_v1,S1,inside,333,0.6018023909708411,0.5958939596064862,0.5713872965660112,-0.030415094404829923,logit,0.7000000000000001,1.25,0.0839332357836611
hole_v1,S1,has_future,333,0.6018023909708411,0.5958939596064862,0.5713872965660112,-0.030415094404829923,logit,0.7000000000000001,1.25,0.0839332357836611
hole_v1,S1,gap_le3,309,0.5941997029481251,0.5799808163555495,0.5607530444595203,-0.03344665848860473,logit,0.75,1.25,0.0908396534165722
hole_v1,S2,all,333,0.5729380795839452,0.6088628906274594,0.5675352035746974,-0.005402876009247715,logit,0.25,1.0,0.03948775266885424
hole_v1,S2,inside,333,0.5729380795839452,0.6088628906274594,0.5675352035746974,-0.005402876009247715,logit,0.25,1.0,0.03948775266885424
hole_v1,S2,has_future,333,0.5729380795839452,0.6088628906274594,0.5675352035746974,-0.005402876009247715,logit,0.25,1.0,0.03948775266885424
hole_v1,S2,gap_le3,309,0.5759575081150691,0.603292928671389,0.5683040438077446,-0.007653464307324498,logit,0.30000000000000004,1.0,0.04677779461748481
hole_v1,S3,all,333,0.5320404606852955,0.5766883120265279,0.5297775612650889,-0.002262899420206632,logit,0.15000000000000002,1.0,0.02262504630289576
hole_v1,S3,inside,333,0.5320404606852955,0.5766883120265279,0.5297775612650889,-0.002262899420206632,logit,0.15000000000000002,1.0,0.02262504630289576
hole_v1,S3,has_future,333,0.5320404606852955,0.5766883120265279,0.5297775612650889,-0.002262899420206632,logit,0.15000000000000002,1.0,0.02262504630289576
hole_v1,S3,gap_le3,309,0.5362066386634086,0.5840297409815177,0.5343352354821946,-0.0018714031812139265,logit,0.15000000000000002,1.0,0.02273631237075993
hole_v1,S4,all,333,0.6479128302720369,0.7007079563041402,0.6467549825953883,-0.0011578476766486157,prob,0.15000000000000002,1.0,0.020785771958527766
hole_v1,S4,inside,333,0.6479128302720369,0.7007079563041402,0.6467549825953883,-0.0011578476766486157,prob,0.15000000000000002,1.0,0.020785771958527766
hole_v1,S4,has_future,333,0.6479128302720369,0.7007079563041402,0.6467549825953883,-0.0011578476766486157,prob,0.15000000000000002,1.0,0.020785771958527766
hole_v1,S4,gap_le3,309,0.6473370145559536,0.6876383242292023,0.6437903750404257,-0.0035466395155279162,prob,0.25,1.0,0.03490793805236117
mirror_v1,Q1,all,591,0.6861219694517698,0.809736481659988,0.6830071174562995,-0.003114851995470347,logit,0.05,1.25,0.015705111714165682
mirror_v1,Q1,inside,384,0.6983412312577887,0.8937937231092224,0.6928081611307805,-0.0055330701270082105,logit,0.0,1.25,0.016375466053871305
mirror_v1,Q1,tail_after,207,0.6634543533478509,0.6538042076672053,0.6278054354416482,-0.035648917906202615,prob,0.6000000000000001,1.0,0.11462655516148292
mirror_v1,Q1,has_future,384,0.6983412312577887,0.8937937231092224,0.6928081611307805,-0.0055330701270082105,logit,0.0,1.25,0.016375466053871305
mirror_v1,Q1,gap_le3,379,0.675436799380588,0.8093271164923997,0.6743738195786857,-0.0010629798019022862,logit,0.05,1.25,0.01603470480263886
mirror_v1,Q2,all,591,0.7072722380713284,0.8286411639731992,0.6982570852303664,-0.009015152840961993,logit,0.15000000000000002,1.25,0.030474790994596452
mirror_v1,Q2,inside,384,0.7053692608503054,0.8186182941169645,0.695713810532787,-0.009655450317518355,logit,0.15000000000000002,1.25,0.0310603114289028
mirror_v1,Q2,tail_after,207,0.7108023987132263,0.8472343138514318,0.7026694274388086,-0.0081329712744177,logit,0.1,1.25,0.021433147272153414
mirror_v1,Q2,has_future,384,0.7053692608503054,0.8186182941169645,0.695713810532787,-0.009655450317518355,logit,0.15000000000000002,1.25,0.0310603114289028
mirror_v1,Q2,gap_le3,379,0.6949752375527848,0.836155165807194,0.6896656605851426,-0.005309576967642227,logit,0.05,1.25,0.018928431407344917
mirror_v1,Q3,all,591,0.6903063354500729,0.7661201760162809,0.6755550511976318,-0.0147512842524411,logit,0.30000000000000004,1.25,0.052505700664679245
mirror_v1,Q3,inside,384,0.6654966320999717,0.6851506843482502,0.6377805525293084,-0.027716079570663243,logit,0.55,1.25,0.09432487460602894
