split,seed,use_future,tau,alpha,mean,logloss_Q1,logloss_Q2,logloss_Q3,logloss_S1,logloss_S2,logloss_S3,logloss_S4
interleaved,0,True,3,1,0.6135729005871766,0.6182568345802972,0.6257813105842827,0.6164941710334585,0.5531233142943708,0.5998640438353298,0.6066041337171106,0.6748864960653862
interleaved,0,True,3,5,0.628555403743807,0.6476035197396556,0.6401851190938237,0.6338340677628181,0.572924581010759,0.6147796868787277,0.6295223038555858,0.6610385478652792
interleaved,0,True,3,10,0.6416381548343668,0.6635313391631562,0.6541609855418596,0.6476079069331423,0.5866073527666685,0.6268084400167511,0.646326837330811,0.6664242220881783
interleaved,0,True,7,1,0.6098877929056326,0.6228080343590269,0.6334058397002571,0.6327321952974357,0.5435331344837205,0.5726093077460415,0.5892147486633093,0.674911290089637
interleaved,0,True,7,5,0.6174603049223041,0.6427357451438299,0.6344674669085356,0.6334810981638934,0.5581625194106936,0.5924805833526589,0.6066744238079953,0.6542202976685226
interleaved,0,True,7,10,0.6296959013869337,0.656414345990854,0.6455146014142706,0.6428534451716594,0.5724955246122023,0.6078477792239373,0.6252627675987377,0.6574828456968739
interleaved,0,True,14,1,0.6060633423260242,0.6286319771224003,0.6485847681817085,0.6415686312506426,0.535399116803784,0.5513605028564147,0.5779369431212705,0.6589614569459487
interleaved,0,True,14,5,0.6113319699852541,0.6424379825592035,0.6416777120746289,0.6377589821457578,0.5475430534865549,0.5723921143564022,0.5907411826850584,0.646772762589173
interleaved,0,True,14,10,0.6214695712619678,0.653276195586224,0.6469280977241618,0.6427004325558265,0.5607415605748455,0.5893164550358975,0.6078124476696957,0.6495118096871236
interleaved,0,True,30,1,0.6038574624770536,0.6359581559298964,0.6612462299599459,0.6497690185103139,0.5302628693824349,0.5393650696597307,0.572583013426362,0.6378178804706922
interleaved,0,True,30,5,0.6075815570944062,0.643193864981459,0.6554216861811536,0.645837606238213,0.5392956255526145,0.555551826742885,0.5773736579486874,0.6363966320158313
interleaved,0,True,30,10,0.6149367068249285,0.650707393950045,0.6556209795416957,0.6469499869733903,0.5499328062668458,0.571100981327373,0.5899349823808772,0.6403098173342722
interleaved,0,False,3,1,0.6361630446429816,0.6517390953093353,0.658132453952352,0.6419740680757632,0.5935270265516799,0.6309855186850056,0.610530104533678,0.6662530453930574
interleaved,0,False,3,5,0.643600038479616,0.6685679096443183,0.6583571177884493,0.6494156479193132,0.5955744160750956,0.628517919692179,0.6424561872649485,0.6623110709730081
interleaved,0,False,3,10,0.652505800484625,0.6778845643361291,0.666916026401808,0.6587113501879092,0.6017885578795984,0.6361486418924347,0.657007335187255,0.6690841275072414
interleaved,0,False,7,1,0.6306616816341337,0.6496348317541374,0.6703328888365206,0.6626611228518098,0.5811146050172823,0.6114869162457275,0.5844167886740627,0.6549846180593955
interleaved,0,False,7,5,0.6318211092205088,0.6617064699839461,0.655010929882912,0.6479036414008303,0.5832588652781853,0.61153803567842,0.6163754406919681,0.6469543816273
interleaved,0,False,7,10,0.6421067060776259,0.671485121843607,0.6614340970851289,0.6544752006192578,0.5917901217147555,0.6224408342375372,0.6369508522243241,0.6561707148187705
interleaved,0,False,14,1,0.625530612975121,0.6494134640775859,0.6858457787676032,0.6736467829939997,0.5638860423473541,0.5870416273570243,0.5757112406589484,0.6431693546233319
interleaved,0,False,14,5,0.6233461373085765,0.6567892439574484,0.6610220494778761,0.6523431858507607,0.5695825552444926,0.5926630228086447,0.5957373020922897,0.635285601728523
