,marginal_H,subject_H,subject_3day_H,oracle_subj_LOO_ll
Q1,0.6931076738668435,0.6372488510438328,0.8479673306381472,0.6605441471362248
Q2,0.6853838600767068,0.6444984577969207,0.7141146640685161,0.6676927358088722
Q3,0.6730116670092565,0.6417367016687004,0.7655599964263134,0.6648933681189004
S1,0.6251830480167293,0.5519289139526912,0.7733649691739826,0.5757046261080864
S2,0.6467561030272875,0.5505218954885913,0.7740207354756519,0.5742232978855597
S3,0.6395504757704887,0.509791054504307,0.7082009299552271,0.5326110737137377
S4,0.6859298002523728,0.6196859214396375,0.8503804138022415,0.6430338506543605
__mean__,0.6641318040028121,0.593630256556383,0.77622986279144,0.6169575856322488
