target,feature,importance
Q1,v38_subject_margin_dist_low_minus_high,12.588062566284197
Q1,g4r__g4_crossnight_dark_h,3.6731950480289353
Q1,v38_pca_13,3.3711167632575383
Q1,g4r__g4_rest_boundary_confidence__subj_z,2.8629721972048605
Q1,g4r__g4_rest_event_long_confident__subj_z,2.799604762878506
Q1,g4r__g4_rest_activity_interrupt_h__prev_abs_delta,2.339794040301069
Q1,v38_t_margin_cos_high_minus_low,2.2338444086761595
Q1,v38_pca_19,2.0655574595828363
Q1,g4r__g4_crossnight_screen_on_h__subj_z,2.008952822955939
Q1,v38_t_low_cos,1.940397164599454
Q1,g4r__g4_rest_high_run_len_h__subj_z,1.874728684725927
Q1,g4h__g4_h07_wlight_max_h_rz,1.5573486184216636
Q1,sem__topapp_evening_통화_time,1.4388435131654547
Q1,g4h__g4_h14_wlight_max_h_rz,1.350850113924081
Q1,sem__topapp_21_03_통화_time,1.2877265462045102
Q1,sem__topapp_evening_전화_time,1.2695497910921285
Q1,mae__ssl_masked_ae_35,1.2232568371697232
Q1,mae__ssl_masked_ae_16,1.1926123565860893
Q1,tok__usage_app_name:시스템 UI,1.1473014677377844
Q1,g4h__g4_h08_wlight_max_h_rz,1.1401688884874042
Q2,v38_subject_margin_dist_low_minus_high,16.912987986777026
Q2,sem__topapp_all_시계_time,2.820835461475213
Q2,raw__raw_act_m_activity_std,1.9801078503991039
Q2,g4h__g4_morning_06_10_screen_use_sum_h_rz_mean,1.7376641408376154
Q2,mf__app_time_21_03__dev_roll7,1.7165275489092535
Q2,mf__q3x_day_app_browser_sum__subj_delta,1.5678764515301467
Q2,g4r__g4_rest_block_score_min__prev_delta,1.4703482847486722
Q2,sem__topapp_all_google_play_스토어_time,1.463580384666804
Q2,mf__topapp_00_06_one_ui_홈_time__subj_delta,1.3399900322039424
Q2,ext__ext_cal_doy_sin__subj_z,1.330011296478651
Q2,mf__q3x_day_app_social_sum,1.3222836899049033
Q2,mae__ssl_masked_ae_06,1.2782894013294086
Q2,g4h__g4_day_10_18_mlight_max_h_rz_maxabs__prev_abs_delta,1.273409534254022
Q2,v38_pca_12,1.245402438666051
Q2,anchor,1.2238076222870413
Q2,raw__raw_ac_m_charging_mean,1.2041721228331759
Q2,sem__topapp_00_06_시스템_ui_time,1.1725750505736163
Q2,g4r__g4_crossnight_screen_on_h__prev_abs_delta,1.1528401617957742
Q2,mae__ssl_masked_ae_28,1.1377229073596515
Q2,mf__topapp_00_06_시스템_ui_time,1.1060125501976388
Q3,v38_subject_margin_dist_low_minus_high,18.491049896550674
Q3,v38_subject_low_dist,4.649058823446368
Q3,g4h__g4_evening_18_23_mlight_max_h_rz_maxabs__prev_abs_delta,2.8859700510408746
Q3,g4h__g4_morning_06_10_mlight_max_h_rz_mean__prev_abs_delta,2.7141781324609244
Q3,g4h__g4_h00_mlight_max_h_rz,1.9922371847926892
Q3,v38_t_margin_cos_high_minus_low,1.6013575062602294
Q3,mf__app_browser_search_time__dev_weekday_mean__subj_delta,1.5242037945411206
Q3,v38_t_high_cos,1.4812898505117738
Q3,raw__raw_hr_std,1.2999279416719136
Q3,g4h__g4_evening_18_23_wlight_max_h_rz_mean,1.2167290995209081
Q3,raw__raw_mlight_m_light_max,1.18876140271196
Q3,mf__app_browser_search_time__dev_weekday_mean,1.1160437690750056
Q3,g4h__g4_h02_screen_use_sum_h_rz,1.0534263195005564
Q3,v38_pca_11,1.0485535419593313
Q3,mf__app_total_time__weekday_vs_subject_mean,1.0179296757524516
Q3,raw__raw_hr_n,0.9819706346751329
Q3,mf__app_time_21_03__weekday_vs_subject_mean,0.9767630470389337
Q3,mf__topapp_all_갤러리_time__subj_delta,0.9733690156947516
Q3,v38_t_low_l1,0.9411505195707511
Q3,ext__ext_cal_month__subj_z,0.8999499082796214
S1,v38_subject_margin_dist_low_minus_high,19.92220439829472
S1,g4r__g4_rest_event_long_confident__subj_z,4.5865570310435455
S1,mf__q1x_morning_app_time_sum__subj_delta,3.280946783014875
S1,v38_subject_target_rate,2.5078940581604083
S1,g4r__g4_rest_event_long_confident,2.2781271688199074
S1,anchor_logit,1.947922894465487
S1,anchor,1.7310781485480127
S1,g4h__g4_evening_18_23_mlight_max_h_rz_mean,1.7233118634112072
S1,g4r__g4_rest_high_run_len_h,1.6187389829599317
S1,mf__q1x_morning_app_social_sum,1.536300799144331
S1,mae__ssl_masked_ae_45,1.387498315397582
S1,g4h__g4_morning_06_10_wlight_max_h_rz_maxabs__prev_abs_delta,1.2975612689672054
S1,g4r__g4_crossnight_dark_h__subj_z,1.2676892667270125
S1,g4r__g4_rest_block_start_rel_h__subj_z,1.2318981722627471
S1,mae__ssl_masked_ae_20,1.2126772097794436
S1,g4r__g4_rest_activity_interrupt_h__subj_z,1.1982995757710266
S1,mf__q1x_morning_app_time_sum,1.1514332800979592
S1,mf__app_media_time__dev_roll7__subj_delta,1.0845962344552105
S1,g4r__g4_rest_block_start_rel_h,0.9976914969864218
S1,g4r__g4_rest_high_run_start_rel_h__subj_z,0.9682720356671359
S2,v38_subject_margin_dist_low_minus_high,13.587997349301968
